c501,c502,c001,c102,r003_0101
2026,P01,P01001,P02,32
2026,P01,P02002,P02,1
2026,P01,P08008,P02,2
2026,P01,P08019,P02,1
2026,P01,P08045,P02,1
2026,P01,P09002,P02,7
2026,P01,P09003,P02,1
2026,P01,P09004,P02,2
2026,P01,P09005,P02,3
2026,P01,P09006,P02,3
2026,P01,P09007,P02,3
2026,P01,P09008,P02,2
2026,P01,P09010,P02,9
2026,P01,P09012,P02,2
2026,P01,P09013,P02,2
2026,P01,P09014,P02,29
2026,P01,P09015,P02,31
2026,P01,P09016,P02,81
2026,P01,P09017,P02,1
2026,P01,P10007,P02,1
2026,P01,P13069,P02,1
2026,P01,P14039,P02,13
2026,P01,P14067,P02,1
2026,P01,P14094,P02,1
2026,P01,P14120,P02,1
2026,P01,P15002,P02,3
2026,P01,P15010,P02,14
2026,P01,P15013,P02,2
2026,P01,P15020,P02,1
2026,P01,P15033,P02,1
2026,P01,P15037,P02,9
2026,P01,P15045,P02,3
2026,P01,P15051,P02,2
2026,P01,P15057,P02,7
2026,P01,P15070,P02,3
2026,P01,P15095,P02,3
2026,P01,P15099,P02,1
2026,P01,P15104,P02,10
2026,P01,P15106,P02,4
2026,P01,P15108,P02,1
2026,P01,P15109,P02,1
2026,P01,P15120,P02,1
2026,P01,P15121,P02,3
2026,P01,P15125,P02,1
2026,P01,P17007,P02,1
2026,P01,P17008,P02,4
2026,P01,P17011,P02,2
2026,P01,P17029,P02,1
2026,P01,P18020,P02,1
2026,P01,P19006,P02,1
2026,P01,P19021,P02,2
2026,P01,P19039,P02,6
2026,P01,P19041,P02,1
2026,P01,P19046,P02,3
2026,P01,P21140,P02,1
2026,P01,P22014,P02,5
2026,P01,P23005,P02,1
2026,P01,P25006,P02,1
2026,P01,P27004,P02,1
2026,P01,P28009,P02,2
2026,P01,P28032,P02,1
