c501,c502,c001,r003_0401,r003_0402,r002_0403
2026,P01,P01001,7637,0,0
2026,P01,P02002,6302,0,0
2026,P01,P08008,124559,0,0
2026,P01,P08019,960,0,0
2026,P01,P08045,58847462,0,0
2026,P01,P09002,1415,0,0
2026,P01,P09003,34,0,0
2026,P01,P09004,8087,0,0
2026,P01,P09005,403,0,0
2026,P01,P09006,29183,0,0
2026,P01,P09007,19200,0,0
2026,P01,P09010,3121,0,0
2026,P01,P09013,1631,0,0
2026,P01,P09014,448111,0,0
2026,P01,P09015,7087490,0,0
2026,P01,P09016,16937778,0,0
2026,P01,P09017,638,0,0
2026,P01,P10007,718,0,0
2026,P01,P14039,3063,0,0
2026,P01,P14067,1,0,0
2026,P01,P14120,5,0,0
2026,P01,P15002,4725,0,0
2026,P01,P15010,2105,0,0
2026,P01,P15020,890241,0,0
2026,P01,P15037,0,0,0
2026,P01,P15051,10828,0,0
2026,P01,P15057,1033460,0,0
2026,P01,P15070,53668,0,0
2026,P01,P15095,1560,0,0
2026,P01,P15104,338698,0,0
2026,P01,P15106,1587,0,0
2026,P01,P15108,47,0,0
2026,P01,P15109,266,0,0
2026,P01,P15120,197,0,0
2026,P01,P15121,3199,0,0
2026,P01,P15125,457,0,0
2026,P01,P17007,225,0,0
2026,P01,P17011,2577,0,0
2026,P01,P18020,80,0,0
2026,P01,P19039,8036,0,0
2026,P01,P19046,17885,0,0
2026,P01,P21140,2379,0,0
2026,P01,P22014,14281,0,0
2026,P01,P23005,0,0,0
2026,P01,P28009,5392512,0,0
2026,P01,P28032,705,0,0
