C501,C502,C102,C001,C201,C301,R008_0201
2026,P01,P01,P09004,P03,P08,2
2026,P01,P01,P09004,P06,P19,2
2026,P01,P01,P09005,P06,P19,18
2026,P01,P01,P09006,P03,P08,2
2026,P01,P01,P09006,P06,P19,2
2026,P01,P01,P09007,P06,P19,1
2026,P01,P01,P09010,P03,P08,5
2026,P01,P01,P09010,P06,P19,5
2026,P01,P01,P09011,P03,P08,1
2026,P01,P01,P09011,P06,P19,5
2026,P01,P01,P09012,P06,P19,1
2026,P01,P01,P09014,P03,P08,11
2026,P01,P01,P09014,P06,P19,13
2026,P01,P01,P09015,P03,P08,27
2026,P01,P01,P09015,P06,P19,32
2026,P01,P01,P09016,P03,P08,45
2026,P01,P01,P09016,P06,P19,37
2026,P01,P01,P13008,P06,P19,2
2026,P01,P01,P14039,P06,P19,1
2026,P01,P01,P15010,P06,P19,2
2026,P01,P01,P15037,P06,P19,2
2026,P01,P01,P15042,P06,P19,1
2026,P01,P01,P15051,P06,P19,1
2026,P01,P01,P15057,P03,P08,2
2026,P01,P01,P15057,P06,P19,3
2026,P01,P01,P15067,P06,P19,1
2026,P01,P01,P15070,P06,P19,2
2026,P01,P01,P15095,P06,P19,1
2026,P01,P01,P15104,P03,P08,1
2026,P01,P01,P15104,P06,P19,2
2026,P01,P01,P15106,P03,P08,3
2026,P01,P01,P15106,P06,P19,2
2026,P01,P01,P15109,P06,P19,5
2026,P01,P01,P15121,P06,P19,1
2026,P01,P01,P17007,P06,P19,1
2026,P01,P01,P17011,P06,P19,1
2026,P01,P01,P17029,P06,P19,1
2026,P01,P01,P19006,P06,P19,2
2026,P01,P01,P19018,P03,P08,6
2026,P01,P01,P19018,P06,P19,3
2026,P01,P01,P19019,P03,P08,1
2026,P01,P01,P19019,P06,P19,2
2026,P01,P01,P19021,P06,P19,1
2026,P01,P01,P19039,P03,P08,5
2026,P01,P01,P19039,P06,P19,4
2026,P01,P01,P19046,P06,P19,2
2026,P01,P01,P19048,P03,P08,20
2026,P01,P01,P19048,P06,P19,76
2026,P01,P01,P19049,P06,P19,1
2026,P01,P01,P21114,P06,P19,1
2026,P01,P01,P21119,P06,P19,1
2026,P01,P01,P22006,P03,P08,15
2026,P01,P01,P22006,P06,P19,9
2026,P01,P01,P22011,P06,P19,1
2026,P01,P01,P22014,P03,P08,1
2026,P01,P01,P22014,P06,P19,4
2026,P01,P01,P24028,P03,P08,1
2026,P01,P01,P26030,P03,P08,1
2026,P01,P01,P32010,P06,P19,1
2026,P01,P02,P09002,P03,P08,1
2026,P01,P02,P09007,P06,P19,1
2026,P01,P02,P09016,P03,P08,3
2026,P01,P02,P09016,P06,P19,7
2026,P01,P02,P13069,P06,P19,1
2026,P01,P02,P13075,P06,P19,1
2026,P01,P02,P14039,P06,P19,1
2026,P01,P02,P15010,P06,P19,3
2026,P01,P02,P15014,P06,P19,1
2026,P01,P02,P15033,P06,P19,1
2026,P01,P02,P15037,P06,P19,3
2026,P01,P02,P15091,P06,P19,2
2026,P01,P02,P15104,P06,P19,1
2026,P01,P02,P15106,P06,P19,1
2026,P01,P02,P15120,P06,P19,2
2026,P01,P02,P15121,P06,P19,5
2026,P01,P02,P15125,P06,P19,1
2026,P01,P02,P19046,P06,P19,1
2026,P01,P02,P19048,P06,P19,27
2026,P01,P02,P22014,P06,P19,3
