C501,C502,C102,C001,C201,C301,R008-0201
2026,"ENE, FEB, MAR",PARTICULAR ,P15020,P03,P08,28
2026,"ENE, FEB, MAR",PARTICULAR ,P15061,P03,P08,3
2026,"ENE, FEB, MAR",PARTICULAR ,P15081,P03,P08,176
2026,"ENE, FEB, MAR",PARTICULAR ,P13069,P03,P08,7997
2026,"ENE, FEB, MAR",PARTICULAR ,P15104,P03,P08,44
2026,"ENE, FEB, MAR",PARTICULAR ,P13075,P03,P08,505
2026,"ENE, FEB, MAR",PARTICULAR ,P15120,P03,P08,552
2026,"ENE, FEB, MAR",EMPRESARIAL,P09014,P06,P08,1
2026,"ENE, FEB, MAR",EMPRESARIAL,P09005,P06,P19,2
2026,"ENE, FEB, MAR",EMPRESARIAL,P09007,P06,P19,1
2026,"ENE, FEB, MAR",EMPRESARIAL,P09016,P06,P08,1
2026,"ENE, FEB, MAR",EMPRESARIAL,P09016,P06,P19,1
2026,"ENE, FEB, MAR",EMPRESARIAL,P15010,P06,P19,1
2026,"ENE, FEB, MAR",EMPRESARIAL,P13010,P06,P19,1
2026,"ENE, FEB, MAR",EMPRESARIAL,P15013,P06,P19,1
2026,"ENE, FEB, MAR",EMPRESARIAL,P13013,P06,P19,1
2026,"ENE, FEB, MAR",EMPRESARIAL,P23005,P06,P19,1
2026,"ENE, FEB, MAR",EMPRESARIAL,P29006,P06,P19,1
2026,"ENE, FEB, MAR",EMPRESARIAL,P11007,P03,P08,1
2026,"ENE, FEB, MAR",EMPRESARIAL,P11007,P03,P08,1
2026,"ENE, FEB, MAR",EMPRESARIAL,P15025,P06,P19,3
2026,"ENE, FEB, MAR",EMPRESARIAL,P15029,P06,P19,1
2026,"ENE, FEB, MAR",EMPRESARIAL,P22006,P06,P19,1
2026,"ENE, FEB, MAR",EMPRESARIAL,P22011,P06,P19,1
2026,"ENE, FEB, MAR",EMPRESARIAL,P22007,P06,P19,1
2026,"ENE, FEB, MAR",EMPRESARIAL,P15035,P06,P19,2
2026,"ENE, FEB, MAR",EMPRESARIAL,P15036,P03,P08,1
2026,"ENE, FEB, MAR",EMPRESARIAL,P15037,P06,P19,2
2026,"ENE, FEB, MAR",EMPRESARIAL,P11017,P06,P19,2
2026,"ENE, FEB, MAR",EMPRESARIAL,P23003,P06,P19,1
2026,"ENE, FEB, MAR",EMPRESARIAL,P15045,P06,P19,3
2026,"ENE, FEB, MAR",EMPRESARIAL,P15046,P06,P19,1
2026,"ENE, FEB, MAR",EMPRESARIAL,P03008,P06,P19,1
2026,"ENE, FEB, MAR",EMPRESARIAL,P31050,P06,P19,1
2026,"ENE, FEB, MAR",EMPRESARIAL,P19039,P06,P19,1
2026,"ENE, FEB, MAR",EMPRESARIAL,P15057,P03,P08,1
2026,"ENE, FEB, MAR",EMPRESARIAL,P15057,P06,P19,3
2026,"ENE, FEB, MAR",EMPRESARIAL,P15065,P03,P19,1
2026,"ENE, FEB, MAR",EMPRESARIAL,P22014,P06,P19,1
2026,"ENE, FEB, MAR",EMPRESARIAL,P22014,P03,P08,1
2026,"ENE, FEB, MAR",EMPRESARIAL,P05031,P06,P19,1
2026,"ENE, FEB, MAR",EMPRESARIAL,P11032,P06,P19,1
2026,"ENE, FEB, MAR",EMPRESARIAL,P22016,P06,P19,2
2026,"ENE, FEB, MAR",EMPRESARIAL,P14098,P06,P19,1
2026,"ENE, FEB, MAR",EMPRESARIAL,P15081,P06,P19,3
2026,"ENE, FEB, MAR",EMPRESARIAL,P15091,P06,P19,1
2026,"ENE, FEB, MAR",EMPRESARIAL,P13063,P06,P19,1
2026,"ENE, FEB, MAR",EMPRESARIAL,P22017,P06,P19,1
2026,"ENE, FEB, MAR",EMPRESARIAL,P13067,P06,P19,1
2026,"ENE, FEB, MAR",EMPRESARIAL,P13069,P06,P19,1
2026,"ENE, FEB, MAR",EMPRESARIAL,P13069,P03,P08,1
2026,"ENE, FEB, MAR",EMPRESARIAL,P15104,P03,P08,2
2026,"ENE, FEB, MAR",EMPRESARIAL,P15104,P03,P19,1
2026,"ENE, FEB, MAR",EMPRESARIAL,P13074,P06,P19,1
2026,"ENE, FEB, MAR",EMPRESARIAL,P15120,P06,P19,1
,,,,,,
,,,,,,
