C501,C502,C001,C402,R008-0301,,,,
2026,"ENE, FEB., MAR",P15020,P18,16,,,,
2026,"ENE, FEB., MAR",P15020,P19,3,,,,
2026,"ENE, FEB., MAR",P15020,P08,9,,,,
2026,"ENE, FEB., MAR",P15061,P11,2,,,,
2026,"ENE, FEB., MAR",P15061,P13,1,,,,
2026,"ENE, FEB., MAR",P15081,P08,40,,,,
2026,"ENE, FEB., MAR",P15081,P09,66,,,,
2026,"ENE, FEB., MAR",P15081,P11,40,,,,
2026,"ENE, FEB., MAR",P15081,P13,25,,,,
2026,"ENE, FEB., MAR",P15081,P18,3,,,,
2026,"ENE, FEB., MAR",P15081,P09,2,,,,
2026,"ENE, FEB., MAR",P13069,P08,149,,,,
2026,"ENE, FEB., MAR",P13069,P09,14,,,,
2026,"ENE, FEB., MAR",P13069,P11,6843,,,,
2026,"ENE, FEB., MAR",P13069,P13,901,,,,
2026,"ENE, FEB., MAR",P13069,P18,90,,,,
2026,"ENE, FEB., MAR",P15104,P11,1,,,,
2026,"ENE, FEB., MAR",P15104,P13,14,,,,
2026,"ENE, FEB., MAR",P15104,P18,19,,,,
2026,"ENE, FEB., MAR",P15104,P19,10,,,,
2026,"ENE, FEB., MAR",P13075,P11,462,,,,
2026,"ENE, FEB., MAR",P13075,P09,23,,,,
2026,"ENE, FEB., MAR",P13075,P13,18,,,,
2026,"ENE, FEB., MAR",P13075,P18,2,,,,
2026,"ENE, FEB., MAR",P15120,P11,473,,,,
2026,"ENE, FEB., MAR",P15120,P13,71,,,,
2026,"ENE, FEB., MAR",P15120,P17,8,,,,
2026,"ENE, FEB., MAR",P09007,P08,1,,,,
2026,"ENE, FEB., MAR",P13010,P08,1,,,,
2026,"ENE, FEB., MAR",P22006,P08,1,,,,
2026,"ENE, FEB., MAR",P22011,P08,1,,,,
2026,"ENE, FEB., MAR",P15035,P08,2,,,,
2026,"ENE, FEB., MAR",P11017,P08,2,,,,
2026,"ENE, FEB., MAR",P03008,P08,1,,,,
2026,"ENE, FEB., MAR",P15057,P08,1,,,,
2026,"ENE, FEB., MAR",P22014,P08,1,,,,
2026,"ENE, FEB., MAR",P05031,P08,1,,,,
2026,"ENE, FEB., MAR",P22016,P08,1,,,,
2026,"ENE, FEB., MAR",P14098,P08,1,,,,
2026,"ENE, FEB., MAR",P15081,P08,3,,,,
2026,"ENE, FEB., MAR",P13067,P08,1,,,,
2026,"ENE, FEB., MAR",P13074,P08,1,,,,
2026,"ENE, FEB., MAR",P15120,P08,1,,,,
2026,"ENE, FEB., MAR",P15045,P09,1,,,,
2026,"ENE, FEB., MAR",P15057,P09,1,,,,
2026,"ENE, FEB., MAR",P13013,P09,1,,,,
2026,"ENE, FEB., MAR",P15010,P09,1,,,,
2026,"ENE, FEB., MAR",P15025,P11,1,,,,
2026,"ENE, FEB., MAR",P15013,P11,1,,,,
2026,"ENE, FEB., MAR",P11032,P11,1,,,,
2026,"ENE, FEB., MAR",P23005,P11,1,,,,
2026,"ENE, FEB., MAR",P23003,P11,1,,,,
2026,"ENE, FEB., MAR",P22007,P11,1,,,,
2026,"ENE, FEB., MAR",P22017,P11,1,,,,
2026,"ENE, FEB., MAR",P15057,P11,1,,,,
2026,"ENE, FEB., MAR",P15046,P12,1,,,,
2026,"ENE, FEB., MAR",P15029,P13,1,,,,
2026,"ENE, FEB., MAR",P15091,P13,1,,,,
2026,"ENE, FEB., MAR",P29006,P13,1,,,,
2026,"ENE, FEB., MAR",P22016,P13,1,,,,
2026,"ENE, FEB., MAR",P09005,P13,2,,,,
2026,"ENE, FEB., MAR",P13063,P13,1,,,,
2026,"ENE, FEB., MAR",P15025,P13,2,,,,
2026,"ENE, FEB., MAR",P15036,P14,1,,,,
2026,"ENE, FEB., MAR",P13069,P18,2,,,,
2026,"ENE, FEB., MAR",P09016,P18,2,,,,
2026,"ENE, FEB., MAR",P15037,P18,2,,,,
2026,"ENE, FEB., MAR",P19039,P18,1,,,,
2026,"ENE, FEB., MAR",P31050,P18,1,,,,
2026,"ENE, FEB., MAR",P15045,P19,2,,,,
2026,"ENE, FEB., MAR",P09014,P19,1,,,,
2026,"ENE, FEB., MAR",P11007,P20,1,,,,
2026,"ENE, FEB., MAR",P11007,P21,1,,,,
2026,"ENE, FEB., MAR",P15065,P22,1,,,,
2026,"ENE, FEB., MAR",P15104,P22,1,,,,
2026,"ENE, FEB., MAR",P15057,P22,1,,,,
2026,"ENE, FEB., MAR",P22014,P22,1,,,,
2026,"ENE, FEB., MAR",P15104,P23,2,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
