C501,C502,C001,R003-0401,R003-0402,R003-0403
2026,"ENE, FEB, MAR",P01001,13.53,0,0
2026,"ENE, FEB, MAR",P25001,4.58,0,0
2026,"ENE, FEB, MAR",P09010,101.12,0,0
2026,"ENE, FEB, MAR",P15013,1.68,0,0
2026,"ENE, FEB, MAR",P09002,353.27,0,0
2026,"ENE, FEB, MAR",P09014,78.62,0,0
2026,"ENE, FEB, MAR",P27004,9.17,0,0
2026,"ENE, FEB, MAR",P09003,28.27,0,0
2026,"ENE, FEB, MAR",P06005,981.57,0,0
2026,"ENE, FEB, MAR",P15121,7.63,0,0
2026,"ENE, FEB, MAR",P17007,6.47,0,0
2026,"ENE, FEB, MAR",P14039,48.40,0,0
2026,"ENE, FEB, MAR",P09005,53.30,0,0
2026,"ENE, FEB, MAR",P15037,21.13,0,0
2026,"ENE, FEB, MAR",P12035,1.95,0,0
2026,"ENE, FEB, MAR",P15039,4.63,0,0
2026,"ENE, FEB, MAR",P05015,3.70,0,0
2026,"ENE, FEB, MAR",P09008,5.40,0,0
2026,"ENE, FEB, MAR",P16069,1.58,0,0
2026,"ENE, FEB, MAR",P11020,6.48,0,0
2026,"ENE, FEB, MAR",P06007,1.12,0,0
2026,"ENE, FEB, MAR",P13035,0.57,0,0
2026,"ENE, FEB, MAR",P09016,98.52,0,0
2026,"ENE, FEB, MAR",P19039,1.32,0,0
2026,"ENE, FEB, MAR",P16053,28.53,0,0
2026,"ENE, FEB, MAR",P20067,0.75,0,0
2026,"ENE, FEB, MAR",P13048,40.58,0,0
2026,"ENE, FEB, MAR",P21114,17.07,0,0
2026,"ENE, FEB, MAR",P22014,9.82,0,0
2026,"ENE, FEB, MAR",P28033,1.13,0,0
2026,"ENE, FEB, MAR",P21119,0.35,0,0
2026,"ENE, FEB, MAR",P24028,3.85,0,0
2026,"ENE, FEB, MAR",P19046,2.00,0,0
2026,"ENE, FEB, MAR",P28038,1.02,0,0
2026,"ENE, FEB, MAR",P15081,4.02,0,0
2026,"ENE, FEB, MAR",P15095,3.13,0,0
2026,"ENE, FEB, MAR",P13069,0.53,0,0
2026,"ENE, FEB, MAR",P09011,3.33,0,0
2026,"ENE, FEB, MAR",P15104,154.58,0,0
2026,"ENE, FEB, MAR",P15106,17.73,0,0
2026,"ENE, FEB, MAR",P05035,12.02,0,0
2026,"ENE, FEB, MAR",P13077,22.30,0,0
2026,"ENE, FEB, MAR",P15110,3.90,0,0
2026,"ENE, FEB, MAR",P07106,30.92,0,0
2026,"ENE, FEB, MAR",P30193,0.32,0,0
2026,"ENE, FEB, MAR",P13081,16.58,0,0
