C501;C502;C001;C101;C102;R001-0301
Año;Trimestre;Desagregador por Municipio;Desagregador por Paquete Comercial;Desagregador por Modalidad de Contrato;"	
Suscripciones"
2026;P01;ZZZ;P02;P02;4
2026;P01;ZZZ;P02;P02;8
2026;P01;P270040001;P02;P02;3
2026;P01;P270040001;P02;P02;1
2026;P01;P310500001;P02;P02;1
2026;P01;P310500001;P02;P02;1
2026;P01;P310500001;P02;P02;2
2026;P01;P040030001;P02;P02;4
2026;P01;P190160270;P02;P02;1
2026;P01;P190160270;P02;P02;1
2026;P01;P270020001;P02;P02;1
2026;P01;P080370001;P02;P02;1
2026;P01;P130480001;P02;P02;1
2026;P01;P260300001;P02;P02;1
2026;P01;P320100581;P02;P02;1
2026;P01;P150430006;P02;P02;1
2026;P01;P190450334;P02;P02;1
2026;P01;P240200001;P02;P02;1
2026;P01;P110150001;P02;P02;1
2026;P01;P110010439;P02;P02;1
2026;P01;P240130001;P02;P02;1
2026;P01;P050210117;P02;P02;1
2026;P01;P110170001;P02;P02;1
2026;P01;P110050001;P02;P02;1
2026;P01;P200430001;P02;P02;1
2026;P01;P030011731;P02;P02;1
2026;P01;P280320001;P02;P02;1
2026;P01;P130750001;P02;P02;1
2026;P01;P040060001;P02;P02;1
2026;P01;P311010001;P02;P02;1
2026;P01;P240200196;P02;P02;1
2026;P01;P130290001;P02;P02;1
2026;P01;P220130015;P02;P02;1
2026;P01;P120010001;P02;P02;1
2026;P01;P170070001;P02;P02;1
2026;P01;P020015105;P02;P02;1
