Registro de adquirientes de Servicio Mayorista de Provisión de Capacidad Satelital* ,,,,,,,
Código del Archivo de Presentación: R026-02.CSV,,,,,,,
C601,C602,C203,R026-0201,R026-0202,R026-0203,R026-0204,R026-0205
C601_AÑO,C602_MES,C203_BANDA_SATELITAL,Alfanumérico (Máx 100 caracteres),Booleano (Sí/No),Booleano (Sí/No),Booleano (Sí/No),Booleano (Sí/No)
2024,P01,NA,NA,No,No,No,No
2024,P02,NA,NA,No,No,No,No
2024,P03,NA,NA,No,No,No,No
2024,P04,NA,NA,No,No,No,No
2024,P05,NA,NA,No,No,No,No
2024,P06,NA,NA,No,No,No,No
2024,P07,NA,NA,No,No,No,No
2024,P08,NA,NA,No,No,No,No
2024,P09,NA,NA,No,No,No,No
2024,P10,NA,NA,No,No,No,No
2024,P11,NA,NA,No,No,No,No
2024,P12,NA,NA,No,No,No,No
