Volumen de Servicio Mayorista Provisto de Capacidad Satelital* ,,,,,,,,
Código del Archivo de Presentación: R026-03.CSV,,,,,,,,
C601,C602,C203,R026-0301,R026-0302,R026-0303,R026-0304,R026-0305,R026-0306
C601_AÑO,C602_MES,C203_BANDA_SATELITAL,Numérico Decimal (Máx 20.2 dígitos),Numérico Decimal (Máx 20.2 dígitos),Numérico Decimal (Máx 20.2 dígitos),Numérico Decimal (Máx 20.2 dígitos),Numérico Decimal (Máx 20.2 dígitos),Numérico Decimal (Máx 20.2 dígitos)
2024,P01,NA,NA,NA,NA,NA,NA,NA
2024,P02,NA,NA,NA,NA,NA,NA,NA
2024,P03,NA,NA,NA,NA,NA,NA,NA
2024,P04,NA,NA,NA,NA,NA,NA,NA
2024,P05,NA,NA,NA,NA,NA,NA,NA
2024,P06,NA,NA,NA,NA,NA,NA,NA
2024,P07,NA,NA,NA,NA,NA,NA,NA
2024,P08,NA,NA,NA,NA,NA,NA,NA
2024,P09,NA,NA,NA,NA,NA,NA,NA
2024,P10,NA,NA,NA,NA,NA,NA,NA
2024,P11,NA,NA,NA,NA,NA,NA,NA
2024,P12,NA,NA,NA,NA,NA,NA,NA
