C601,C602,C003,C006,C101,C102,C103,R001 0501
2024,P10,NA,844,P206,P01,P01,427
2024,P10,NA,445,P206,P01,P01,269
2024,P10,NA,921,P206,P01,P01,338
2024,P10,NA,833,P206,P01,P01,501
2024,P10,NA,313,P206,P01,P01,25
2024,P10,NA,492,P206,P01,P01,472
2024,P10,NA,247,P206,P01,P01,63
2024,P10,NA,285,P206,P01,P01,8
2024,P10,NA,448,P206,P01,P01,3
2024,P10,NA,965,P206,P01,P01,9
2024,P10,NA,938,P206,P01,P01,80
2024,P10,NA,451,P206,P01,P01,2
2024,P10,NA,463,P206,P01,P01,2
2024,P10,NA,671,P206,P01,P01,1
2024,P10,NA,714,P206,P01,P01,25
2024,P10,NA,232,P206,P01,P01,84
2024,P10,NA,461,P206,P01,P01,472
2024,P10,NA,673,P206,P01,P01,38
2024,P10,NA,442,P206,P01,P01,850
2024,P10,NA,917,P206,P01,P01,17
2024,P10,NA,968,P206,P01,P01,25
2024,P10,NA,235,P206,P01,P01,1
2024,P10,NA,964,P206,P01,P01,22
2024,P10,NA,764,P206,P01,P01,33
2024,P10,NA,785,P206,P01,P01,1
2024,P10,NA,648,P206,P01,P01,5
2024,P10,NA,669,P206,P01,P01,164
2024,P10,NA,877,P206,P01,P01,16
2024,P10,NA,868,P206,P01,P01,172
2024,P10,NA,273,P206,P01,P01,8
2024,P10,NA,755,P206,P01,P01,20
2024,P10,NA,768,P206,P01,P01,6
2024,P10,NA,867,P206,P01,P01,48
2024,P10,NA,424,P206,P01,P01,2
2024,P10,NA,346,P206,P01,P01,8
2024,P10,NA,566,P206,P01,P01,3
2024,P10,NA,951,P206,P01,P01,415
2024,P10,NA,449,P206,P01,P01,1097
2024,P10,NA,647,P206,P01,P01,22
2024,P10,NA,249,P206,P01,P01,28
2024,P10,NA,934,P206,P01,P01,14
2024,P10,NA,698,P206,P01,P01,11
2024,P10,NA,767,P206,P01,P01,2
2024,P10,NA,588,P206,P01,P01,1
2024,P10,NA,773,P206,P01,P01,168
2024,P10,NA,355,P206,P01,P01,2
2024,P10,NA,899,P206,P01,P01,186
2024,P10,NA,312,P206,P01,P01,307
2024,P10,NA,348,P206,P01,P01,70
2024,P10,NA,729,P206,P01,P01,445
2024,P10,NA,866,P206,P01,P01,90
2024,P10,NA,747,P206,P01,P01,147
2024,P10,NA,428,P206,P01,P01,5
2024,P10,NA,971,P206,P01,P01,78
2024,P10,NA,244,P206,P01,P01,129
2024,P10,NA,972,P206,P01,P01,13
2024,P10,NA,784,P206,P01,P01,64
2024,P10,NA,375,P206,P01,P01,45
2024,P10,NA,821,P206,P01,P01,17
2024,P10,NA,987,P206,P01,P01,32
2024,P10,NA,933,P206,P01,P01,49
2024,P10,NA,797,P206,P01,P01,7
2024,P10,NA,677,P206,P01,P01,1
2024,P10,NA,967,P206,P01,P01,83
2024,P10,NA,993,P206,P01,P01,309
2024,P10,NA,614,P206,P01,P01,448
2024,P10,NA,644,P206,P01,P01,141
2024,P10,NA,393,P206,P01,P01,19
2024,P10,NA,323,P206,P01,P01,7
2024,P10,NA,687,P206,P01,P01,42
2024,P10,NA,662,P206,P01,P01,249
2024,P10,NA,639,P206,P01,P01,80
2024,P10,NA,485,P206,P01,P01,3
2024,P10,NA,353,P206,P01,P01,141
2024,P10,NA,783,P206,P01,P01,69
2024,P10,NA,322,P206,P01,P01,156
2024,P10,NA,81,P206,P01,P01,1495
2024,P10,NA,284,P206,P01,P01,34
2024,P10,NA,836,P206,P01,P01,19
2024,P10,NA,488,P206,P01,P01,31
2024,P10,NA,772,P206,P01,P01,66
2024,P10,NA,411,P206,P01,P01,41
2024,P10,NA,872,P206,P01,P01,34
2024,P10,NA,861,P206,P01,P01,46
2024,P10,NA,489,P206,P01,P01,1
2024,P10,NA,563,P206,P01,P01,225
2024,P10,NA,864,P206,P01,P01,13
2024,P10,NA,457,P206,P01,P01,1
2024,P10,NA,415,P206,P01,P01,39
2024,P10,NA,275,P206,P01,P01,2
2024,P10,NA,452,P206,P01,P01,155
2024,P10,NA,33,P206,P01,P01,4459
2024,P10,NA,431,P206,P01,P01,4
2024,P10,NA,924,P206,P01,P01,30
2024,P10,NA,722,P206,P01,P01,943
2024,P10,NA,834,P206,P01,P01,152
2024,P10,NA,918,P206,P01,P01,5
2024,P10,NA,734,P206,P01,P01,160
2024,P10,NA,296,P206,P01,P01,33
2024,P10,NA,618,P206,P01,P01,566
2024,P10,NA,561,P206,P01,P01,884
2024,P10,NA,994,P206,P01,P01,1
2024,P10,NA,271,P206,P01,P01,412
2024,P10,NA,459,P206,P01,P01,6
2024,P10,NA,389,P206,P01,P01,5
2024,P10,NA,341,P206,P01,P01,88
2024,P10,NA,315,P206,P01,P01,4
2024,P10,NA,672,P206,P01,P01,2
2024,P10,NA,412,P206,P01,P01,43
2024,P10,NA,786,P206,P01,P01,51
2024,P10,NA,388,P206,P01,P01,1
2024,P10,NA,663,P206,P01,P01,10
2024,P10,NA,248,P206,P01,P01,213
2024,P10,NA,477,P206,P01,P01,1113
2024,P10,NA,386,P206,P01,P01,4
2024,P10,NA,664,P206,P01,P01,388
2024,P10,NA,413,P206,P01,P01,40
2024,P10,NA,481,P206,P01,P01,54
2024,P10,NA,434,P206,P01,P01,128
2024,P10,NA,229,P206,P01,P01,860
2024,P10,NA,765,P206,P01,P01,5
2024,P10,NA,828,P206,P01,P01,12
2024,P10,NA,220,P206,P01,P01,8
2024,P10,NA,475,P206,P01,P01,15
2024,P10,NA,937,P206,P01,P01,37
2024,P10,NA,638,P206,P01,P01,2
2024,P10,NA,226,P206,P01,P01,29
2024,P10,NA,748,P206,P01,P01,2
2024,P10,NA,376,P206,P01,P01,1
2024,P10,NA,986,P206,P01,P01,16
2024,P10,NA,845,P206,P01,P01,1
2024,P10,NA,656,P206,P01,P01,399
2024,P10,NA,626,P206,P01,P01,1
2024,P10,NA,453,P206,P01,P01,27
2024,P10,NA,241,P206,P01,P01,217
2024,P10,NA,282,P206,P01,P01,43
2024,P10,NA,990,P206,P01,P01,1
2024,P10,NA,991,P206,P01,P01,15
2024,P10,NA,612,P206,P01,P01,68
2024,P10,NA,438,P206,P01,P01,5
2024,P10,NA,432,P206,P01,P01,15
2024,P10,NA,779,P206,P01,P01,119
2024,P10,NA,325,P206,P01,P01,9
2024,P10,NA,593,P206,P01,P01,1
2024,P10,NA,479,P206,P01,P01,18
2024,P10,NA,327,P206,P01,P01,5
2024,P10,NA,961,P206,P01,P01,511
2024,P10,NA,245,P206,P01,P01,36
2024,P10,NA,395,P206,P01,P01,12
2024,P10,NA,791,P206,P01,P01,81
2024,P10,NA,632,P206,P01,P01,5
2024,P10,NA,897,P206,P01,P01,3
2024,P10,NA,417,P206,P01,P01,35
2024,P10,NA,478,P206,P01,P01,16
2024,P10,NA,914,P206,P01,P01,26
2024,P10,NA,374,P206,P01,P01,31
2024,P10,NA,832,P206,P01,P01,1
2024,P10,NA,319,P206,P01,P01,3
2024,P10,NA,276,P206,P01,P01,29
2024,P10,NA,762,P206,P01,P01,43
2024,P10,NA,754,P206,P01,P01,3
2024,P10,NA,237,P206,P01,P01,6
2024,P10,NA,871,P206,P01,P01,553
2024,P10,NA,891,P206,P01,P01,1
2024,P10,NA,916,P206,P01,P01,15
2024,P10,NA,429,P206,P01,P01,25
2024,P10,NA,314,P206,P01,P01,64
2024,P10,NA,996,P206,P01,P01,22
2024,P10,NA,624,P206,P01,P01,28
2024,P10,NA,419,P206,P01,P01,26
2024,P10,NA,641,P206,P01,P01,1
2024,P10,NA,496,P206,P01,P01,8
2024,P10,NA,782,P206,P01,P01,224
2024,P10,NA,221,P206,P01,P01,342
2024,P10,NA,984,P206,P01,P01,57
2024,P10,NA,962,P206,P01,P01,84
2024,P10,NA,414,P206,P01,P01,30
2024,P10,NA,391,P206,P01,P01,31
2024,P10,NA,279,P206,P01,P01,1
2024,P10,NA,646,P206,P01,P01,162
2024,P10,NA,246,P206,P01,P01,551
2024,P10,NA,715,P206,P01,P01,56
2024,P10,NA,444,P206,P01,P01,1026
2024,P10,NA,236,P206,P01,P01,49
2024,P10,NA,668,P206,P01,P01,251
2024,P10,NA,227,P206,P01,P01,41
2024,P10,NA,720,P206,P01,P01,8
2024,P10,NA,456,P206,P01,P01,46
2024,P10,NA,633,P206,P01,P01,2
2024,P10,NA,433,P206,P01,P01,5
2024,P10,NA,274,P206,P01,P01,28
2024,P10,NA,472,P206,P01,P01,26
2024,P10,NA,667,P206,P01,P01,480
2024,P10,NA,713,P206,P01,P01,40
2024,P10,NA,686,P206,P01,P01,262
2024,P10,NA,238,P206,P01,P01,546
2024,P10,NA,468,P206,P01,P01,40
2024,P10,NA,919,P206,P01,P01,8
2024,P10,NA,564,P206,P01,P01,93
2024,P10,NA,746,P206,P01,P01,8
2024,P10,NA,770,P206,P01,P01,1
2024,P10,NA,222,P206,P01,P01,3480
2024,P10,NA,55,P206,P01,P01,28775
2024,P10,NA,436,P206,P01,P01,41
2024,P10,NA,988,P206,P01,P01,3
2024,P10,NA,352,P206,P01,P01,72
2024,P10,NA,446,P206,P01,P01,20
2024,P10,NA,342,P206,P01,P01,28
2024,P10,NA,466,P206,P01,P01,56
2024,P10,NA,347,P206,P01,P01,5
2024,P10,NA,985,P206,P01,P01,37
2024,P10,NA,712,P206,P01,P01,96
2024,P10,NA,789,P206,P01,P01,9
2024,P10,NA,473,P206,P01,P01,152
2024,P10,NA,476,P206,P01,P01,46
2024,P10,NA,474,P206,P01,P01,50
