C601,C003,R027-0301,R027-0302,R027-0303,R027-0304,R027-0305,R027-0306
2024,140190001,NA,NA,NA,NA,NA,NA
2024,140190002,NA,NA,NA,NA,NA,NA
2024,140190003,NA,NA,NA,NA,NA,NA
2024,140190004,NA,NA,NA,NA,NA,NA
2024,140190007,NA,NA,NA,NA,NA,NA
2024,140190010,NA,NA,NA,NA,NA,NA
2024,140190011,NA,NA,NA,NA,NA,NA
2024,140190013,NA,NA,NA,NA,NA,NA
2024,140190015,NA,NA,NA,NA,NA,NA
2024,140190017,NA,NA,NA,NA,NA,NA
2024,140190018,NA,NA,NA,NA,NA,NA
2024,140190020,NA,NA,NA,NA,NA,NA
2024,140190021,NA,NA,NA,NA,NA,NA
2024,140190022,NA,NA,NA,NA,NA,NA
2024,140190023,NA,NA,NA,NA,NA,NA
2024,140190024,NA,NA,NA,NA,NA,NA
2024,140190026,NA,NA,NA,NA,NA,NA
2024,140190027,NA,NA,NA,NA,NA,NA
2024,140190028,NA,NA,NA,NA,NA,NA
2024,140190030,NA,NA,NA,NA,NA,NA
2024,140190031,NA,NA,NA,NA,NA,NA
2024,140190032,NA,NA,NA,NA,NA,NA
2024,140190033,NA,NA,NA,NA,NA,NA
2024,140190034,NA,NA,NA,NA,NA,NA
2024,140190035,NA,NA,NA,NA,NA,NA
2024,140190036,NA,NA,NA,NA,NA,NA
2024,140190037,NA,NA,NA,NA,NA,NA
2024,140190039,NA,NA,NA,NA,NA,NA
2024,140190040,NA,NA,NA,NA,NA,NA
2024,140190041,NA,NA,NA,NA,NA,NA
2024,140190043,NA,NA,NA,NA,NA,NA
2024,140190044,NA,NA,NA,NA,NA,NA
2024,140190047,NA,NA,NA,NA,NA,NA
2024,140190048,NA,NA,NA,NA,NA,NA
2024,140190049,NA,NA,NA,NA,NA,NA
2024,140190050,NA,NA,NA,NA,NA,NA
2024,140190052,NA,NA,NA,NA,NA,NA
2024,140190054,NA,NA,NA,NA,NA,NA
2024,140190055,NA,NA,NA,NA,NA,NA
2024,140190056,NA,NA,NA,NA,NA,NA
2024,140190057,NA,NA,NA,NA,NA,NA
2024,140190058,NA,NA,NA,NA,NA,NA
2024,140190059,NA,NA,NA,NA,NA,NA
2024,140190060,NA,NA,NA,NA,NA,NA
2024,140190061,NA,NA,NA,NA,NA,NA
2024,140190063,NA,NA,NA,NA,NA,NA
2024,140190064,NA,NA,NA,NA,NA,NA
2024,140190066,NA,NA,NA,NA,NA,NA
2024,140190067,NA,NA,NA,NA,NA,NA
2024,140190070,NA,NA,NA,NA,NA,NA
2024,140190072,NA,NA,NA,NA,NA,NA
2024,140190073,NA,NA,NA,NA,NA,NA
2024,140190075,NA,NA,NA,NA,NA,NA
2024,140190076,NA,NA,NA,NA,NA,NA
2024,140190077,NA,NA,NA,NA,NA,NA
2024,140190078,NA,NA,NA,NA,NA,NA
2024,140190079,NA,NA,NA,NA,NA,NA
2024,140190080,NA,NA,NA,NA,NA,NA
2024,140190081,NA,NA,NA,NA,NA,NA
2024,140190083,NA,NA,NA,NA,NA,NA
2024,140190085,NA,NA,NA,NA,NA,NA
2024,140190089,NA,NA,NA,NA,NA,NA
2024,140190090,NA,NA,NA,NA,NA,NA
2024,140190092,NA,NA,NA,NA,NA,NA
2024,140190093,NA,NA,NA,NA,NA,NA
2024,140190094,NA,NA,NA,NA,NA,NA
2024,140190096,NA,NA,NA,NA,NA,NA
2024,140190097,NA,NA,NA,NA,NA,NA
2024,140190098,NA,NA,NA,NA,NA,NA
2024,140190100,NA,NA,NA,NA,NA,NA
2024,140190101,NA,NA,NA,NA,NA,NA
2024,140190102,NA,NA,NA,NA,NA,NA
2024,140190103,NA,NA,NA,NA,NA,NA
2024,140190105,NA,NA,NA,NA,NA,NA
2024,140190107,NA,NA,NA,NA,NA,NA
2024,140190108,NA,NA,NA,NA,NA,NA
2024,140190109,NA,NA,NA,NA,NA,NA
2024,140190110,NA,NA,NA,NA,NA,NA
2024,140190111,NA,NA,NA,NA,NA,NA
2024,140190114,NA,NA,NA,NA,NA,NA
2024,140190115,NA,NA,NA,NA,NA,NA
2024,140190118,NA,NA,NA,NA,NA,NA
2024,140190119,NA,NA,NA,NA,NA,NA
2024,140190120,NA,NA,NA,NA,NA,NA
2024,140190122,NA,NA,NA,NA,NA,NA
2024,140190123,NA,NA,NA,NA,NA,NA
2024,140190124,NA,NA,NA,NA,NA,NA
2024,140190125,NA,NA,NA,NA,NA,NA
2024,140190127,NA,NA,NA,NA,NA,NA
2024,140190130,NA,NA,NA,NA,NA,NA
2024,140190131,NA,NA,NA,NA,NA,NA
2024,140190133,NA,NA,NA,NA,NA,NA
2024,140190135,NA,NA,NA,NA,NA,NA
2024,140190136,NA,NA,NA,NA,NA,NA
2024,140190137,NA,NA,NA,NA,NA,NA
2024,140190138,NA,NA,NA,NA,NA,NA
2024,140190150,NA,NA,NA,NA,NA,NA
2024,140190151,NA,NA,NA,NA,NA,NA
2024,140190152,NA,NA,NA,NA,NA,NA
2024,140190153,NA,NA,NA,NA,NA,NA
2024,140190154,NA,NA,NA,NA,NA,NA
2024,140190158,NA,NA,NA,NA,NA,NA
2024,140190160,NA,NA,NA,NA,NA,NA
2024,140190162,NA,NA,NA,NA,NA,NA
2024,140190164,NA,NA,NA,NA,NA,NA
2024,140190165,NA,NA,NA,NA,NA,NA
2024,140190167,NA,NA,NA,NA,NA,NA
2024,140190172,NA,NA,NA,NA,NA,NA
2024,140190174,NA,NA,NA,NA,NA,NA
2024,140190177,NA,NA,NA,NA,NA,NA
2024,140190183,NA,NA,NA,NA,NA,NA
2024,140190187,NA,NA,NA,NA,NA,NA
2024,140190188,NA,NA,NA,NA,NA,NA
2024,140190190,NA,NA,NA,NA,NA,NA
2024,140190193,NA,NA,NA,NA,NA,NA
2024,140190196,NA,NA,NA,NA,NA,NA
2024,140190197,NA,NA,NA,NA,NA,NA
2024,140190198,NA,NA,NA,NA,NA,NA
2024,140190199,NA,NA,NA,NA,NA,NA
2024,140190200,NA,NA,NA,NA,NA,NA
2024,140190201,NA,NA,NA,NA,NA,NA
2024,140190203,NA,NA,NA,NA,NA,NA
2024,140190205,NA,NA,NA,NA,NA,NA
2024,140190206,NA,NA,NA,NA,NA,NA
2024,140190208,NA,NA,NA,NA,NA,NA
2024,140190209,NA,NA,NA,NA,NA,NA
2024,140190210,NA,NA,NA,NA,NA,NA
2024,140190211,NA,NA,NA,NA,NA,NA
2024,140190212,NA,NA,NA,NA,NA,NA
2024,140190213,NA,NA,NA,NA,NA,NA
2024,140190214,NA,NA,NA,NA,NA,NA
2024,140190215,NA,NA,NA,NA,NA,NA
2024,140190216,NA,NA,NA,NA,NA,NA
2024,140190217,NA,NA,NA,NA,NA,NA
2024,140190218,NA,NA,NA,NA,NA,NA
2024,140190221,NA,NA,NA,NA,NA,NA
2024,140190224,NA,NA,NA,NA,NA,NA
2024,140190226,NA,NA,NA,NA,NA,NA
2024,140190227,NA,NA,NA,NA,NA,NA
2024,140190229,NA,NA,NA,NA,NA,NA
2024,140190230,NA,NA,NA,NA,NA,NA
2024,140190234,NA,NA,NA,NA,NA,NA
2024,140190238,NA,NA,NA,NA,NA,NA
2024,140190239,NA,NA,NA,NA,NA,NA
2024,140190240,NA,NA,NA,NA,NA,NA
2024,140190241,NA,NA,NA,NA,NA,NA
2024,140190242,NA,NA,NA,NA,NA,NA
2024,140190243,NA,NA,NA,NA,NA,NA
2024,140190244,NA,NA,NA,NA,NA,NA
2024,140190245,NA,NA,NA,NA,NA,NA
2024,140190246,NA,NA,NA,NA,NA,NA
2024,140190249,NA,NA,NA,NA,NA,NA
2024,140190253,NA,NA,NA,NA,NA,NA
2024,140190256,NA,NA,NA,NA,NA,NA
2024,140190257,NA,NA,NA,NA,NA,NA
2024,140190258,NA,NA,NA,NA,NA,NA
2024,140190259,NA,NA,NA,NA,NA,NA
2024,140190260,NA,NA,NA,NA,NA,NA
2024,140190261,NA,NA,NA,NA,NA,NA
2024,140190262,NA,NA,NA,NA,NA,NA
2024,140190263,NA,NA,NA,NA,NA,NA
2024,140190266,NA,NA,NA,NA,NA,NA
2024,140190267,NA,NA,NA,NA,NA,NA
2024,140190268,NA,NA,NA,NA,NA,NA
2024,140190272,NA,NA,NA,NA,NA,NA
2024,140190274,NA,NA,NA,NA,NA,NA
2024,140190275,NA,NA,NA,NA,NA,NA
2024,140190276,NA,NA,NA,NA,NA,NA
2024,140190277,NA,NA,NA,NA,NA,NA
2024,140190278,NA,NA,NA,NA,NA,NA
2024,140190279,NA,NA,NA,NA,NA,NA
2024,140190280,NA,NA,NA,NA,NA,NA
2024,140190281,NA,NA,NA,NA,NA,NA
2024,140190282,NA,NA,NA,NA,NA,NA
2024,140190283,NA,NA,NA,NA,NA,NA
2024,140190285,NA,NA,NA,NA,NA,NA
2024,140190286,NA,NA,NA,NA,NA,NA
2024,140190287,NA,NA,NA,NA,NA,NA
2024,140190288,NA,NA,NA,NA,NA,NA
2024,140190291,NA,NA,NA,NA,NA,NA
2024,140190292,NA,NA,NA,NA,NA,NA
2024,140190293,NA,NA,NA,NA,NA,NA
2024,140190294,NA,NA,NA,NA,NA,NA
2024,140190295,NA,NA,NA,NA,NA,NA
2024,140190296,NA,NA,NA,NA,NA,NA
2024,140190297,NA,NA,NA,NA,NA,NA
2024,140190300,NA,NA,NA,NA,NA,NA
2024,140190307,NA,NA,NA,NA,NA,NA
2024,140190308,NA,NA,NA,NA,NA,NA
2024,140190309,NA,NA,NA,NA,NA,NA
2024,140190315,NA,NA,NA,NA,NA,NA
2024,140190322,NA,NA,NA,NA,NA,NA
2024,140190323,NA,NA,NA,NA,NA,NA
2024,140190327,NA,NA,NA,NA,NA,NA
2024,140190330,NA,NA,NA,NA,NA,NA
2024,140190332,NA,NA,NA,NA,NA,NA
2024,140190333,NA,NA,NA,NA,NA,NA
2024,140190334,NA,NA,NA,NA,NA,NA
2024,140190335,NA,NA,NA,NA,NA,NA
2024,140190336,NA,NA,NA,NA,NA,NA
2024,140190337,NA,NA,NA,NA,NA,NA
2024,140190338,NA,NA,NA,NA,NA,NA
2024,140190339,NA,NA,NA,NA,NA,NA
2024,140190340,NA,NA,NA,NA,NA,NA
2024,140190341,NA,NA,NA,NA,NA,NA
2024,140190342,NA,NA,NA,NA,NA,NA
2024,140190343,NA,NA,NA,NA,NA,NA
2024,140190344,NA,NA,NA,NA,NA,NA
2024,140190345,NA,NA,NA,NA,NA,NA
2024,140190346,NA,NA,NA,NA,NA,NA
2024,140190347,NA,NA,NA,NA,NA,NA
2024,140190348,NA,NA,NA,NA,NA,NA
2024,140190349,NA,NA,NA,NA,NA,NA
2024,140190350,NA,NA,NA,NA,NA,NA
2024,140190351,NA,NA,NA,NA,NA,NA
2024,140190352,NA,NA,NA,NA,NA,NA
2024,140190353,NA,NA,NA,NA,NA,NA
2024,140190354,NA,NA,NA,NA,NA,NA
2024,140190355,NA,NA,NA,NA,NA,NA
2024,140190356,NA,NA,NA,NA,NA,NA
2024,140190357,NA,NA,NA,NA,NA,NA
2024,140190358,NA,NA,NA,NA,NA,NA
2024,140190359,NA,NA,NA,NA,NA,NA
2024,140190360,NA,NA,NA,NA,NA,NA
2024,140190361,NA,NA,NA,NA,NA,NA
2024,140190362,NA,NA,NA,NA,NA,NA
2024,140190363,NA,NA,NA,NA,NA,NA
2024,140190364,NA,NA,NA,NA,NA,NA
2024,140190365,NA,NA,NA,NA,NA,NA
2024,140190367,NA,NA,NA,NA,NA,NA
2024,140190368,NA,NA,NA,NA,NA,NA
2024,140190369,NA,NA,NA,NA,NA,NA
2024,140190370,NA,NA,NA,NA,NA,NA
2024,140190371,NA,NA,NA,NA,NA,NA
2024,140190372,NA,NA,NA,NA,NA,NA
2024,140190373,NA,NA,NA,NA,NA,NA
2024,140190374,NA,NA,NA,NA,NA,NA
2024,140190375,NA,NA,NA,NA,NA,NA
2024,140190376,NA,NA,NA,NA,NA,NA
2024,140190377,NA,NA,NA,NA,NA,NA
2024,140190378,NA,NA,NA,NA,NA,NA
2024,140190379,NA,NA,NA,NA,NA,NA
2024,140190380,NA,NA,NA,NA,NA,NA
2024,140190381,NA,NA,NA,NA,NA,NA
2024,140190382,NA,NA,NA,NA,NA,NA
2024,140190383,NA,NA,NA,NA,NA,NA
2024,140190384,NA,NA,NA,NA,NA,NA
2024,140190385,NA,NA,NA,NA,NA,NA
2024,140190386,NA,NA,NA,NA,NA,NA
2024,140190387,NA,NA,NA,NA,NA,NA
2024,140190388,NA,NA,NA,NA,NA,NA
2024,140190389,NA,NA,NA,NA,NA,NA
2024,140190390,NA,NA,NA,NA,NA,NA
2024,140190391,NA,NA,NA,NA,NA,NA
2024,140190392,NA,NA,NA,NA,NA,NA
2024,140190393,NA,NA,NA,NA,NA,NA
2024,140190394,NA,NA,NA,NA,NA,NA
2024,140190395,NA,NA,NA,NA,NA,NA
2024,140190396,NA,NA,NA,NA,NA,NA
2024,140190397,NA,NA,NA,NA,NA,NA
2024,140190398,NA,NA,NA,NA,NA,NA
2024,140190399,NA,NA,NA,NA,NA,NA
2024,140190400,NA,NA,NA,NA,NA,NA
2024,140190401,NA,NA,NA,NA,NA,NA
2024,140190402,NA,NA,NA,NA,NA,NA
2024,140190403,NA,NA,NA,NA,NA,NA
2024,140190404,NA,NA,NA,NA,NA,NA
2024,140190405,NA,NA,NA,NA,NA,NA
2024,140190406,NA,NA,NA,NA,NA,NA
2024,140190407,NA,NA,NA,NA,NA,NA
2024,140190408,NA,NA,NA,NA,NA,NA
2024,140190409,NA,NA,NA,NA,NA,NA
2024,140190410,NA,NA,NA,NA,NA,NA
2024,140190411,NA,NA,NA,NA,NA,NA
2024,140190412,NA,NA,NA,NA,NA,NA
2024,140190413,NA,NA,NA,NA,NA,NA
2024,140190414,NA,NA,NA,NA,NA,NA
2024,140190415,NA,NA,NA,NA,NA,NA
2024,140190416,NA,NA,NA,NA,NA,NA
2024,140190417,NA,NA,NA,NA,NA,NA
2024,140190418,NA,NA,NA,NA,NA,NA
2024,140190419,NA,NA,NA,NA,NA,NA
2024,140190420,NA,NA,NA,NA,NA,NA
2024,140190421,NA,NA,NA,NA,NA,NA
2024,140190422,NA,NA,NA,NA,NA,NA
2024,140190423,NA,NA,NA,NA,NA,NA
2024,140190424,NA,NA,NA,NA,NA,NA
2024,140190425,NA,NA,NA,NA,NA,NA
2024,140190426,NA,NA,NA,NA,NA,NA
2024,140190427,NA,NA,NA,NA,NA,NA
2024,140190428,NA,NA,NA,NA,NA,NA
2024,140190429,NA,NA,NA,NA,NA,NA
2024,140190430,NA,NA,NA,NA,NA,NA
2024,140190431,NA,NA,NA,NA,NA,NA
2024,140190432,NA,NA,NA,NA,NA,NA
2024,140190433,NA,NA,NA,NA,NA,NA
2024,140190434,NA,NA,NA,NA,NA,NA
2024,140190435,NA,NA,NA,NA,NA,NA
2024,140190436,NA,NA,NA,NA,NA,NA
2024,140190437,NA,NA,NA,NA,NA,NA
2024,140190438,NA,NA,NA,NA,NA,NA
2024,140190439,NA,NA,NA,NA,NA,NA
2024,140190440,NA,NA,NA,NA,NA,NA
2024,140190441,NA,NA,NA,NA,NA,NA
2024,140190442,NA,NA,NA,NA,NA,NA
2024,140190443,NA,NA,NA,NA,NA,NA
2024,140190444,NA,NA,NA,NA,NA,NA
2024,140250001,NA,NA,NA,NA,NA,NA
2024,140250003,NA,NA,NA,NA,NA,NA
2024,140250005,NA,NA,NA,NA,NA,NA
2024,140250006,NA,NA,NA,NA,NA,NA
2024,140250007,NA,NA,NA,NA,NA,NA
2024,140250008,NA,NA,NA,NA,NA,NA
2024,140250012,NA,NA,NA,NA,NA,NA
2024,140250013,NA,NA,NA,NA,NA,NA
2024,140250014,NA,NA,NA,NA,NA,NA
2024,140250016,NA,NA,NA,NA,NA,NA
2024,140250018,NA,NA,NA,NA,NA,NA
2024,140250019,NA,NA,NA,NA,NA,NA
2024,140250020,NA,NA,NA,NA,NA,NA
2024,140250021,NA,NA,NA,NA,NA,NA
2024,140250023,NA,NA,NA,NA,NA,NA
2024,140250026,NA,NA,NA,NA,NA,NA
2024,140250028,NA,NA,NA,NA,NA,NA
2024,140250029,NA,NA,NA,NA,NA,NA
2024,140250031,NA,NA,NA,NA,NA,NA
2024,140250032,NA,NA,NA,NA,NA,NA
2024,140250035,NA,NA,NA,NA,NA,NA
2024,140250037,NA,NA,NA,NA,NA,NA
2024,140250039,NA,NA,NA,NA,NA,NA
2024,140250041,NA,NA,NA,NA,NA,NA
2024,140250042,NA,NA,NA,NA,NA,NA
2024,140250043,NA,NA,NA,NA,NA,NA
2024,140250045,NA,NA,NA,NA,NA,NA
2024,140250047,NA,NA,NA,NA,NA,NA
2024,140250049,NA,NA,NA,NA,NA,NA
2024,140250050,NA,NA,NA,NA,NA,NA
2024,140250051,NA,NA,NA,NA,NA,NA
2024,140250053,NA,NA,NA,NA,NA,NA
2024,140250054,NA,NA,NA,NA,NA,NA
2024,140250058,NA,NA,NA,NA,NA,NA
2024,140250059,NA,NA,NA,NA,NA,NA
2024,140250060,NA,NA,NA,NA,NA,NA
2024,140250061,NA,NA,NA,NA,NA,NA
2024,140250062,NA,NA,NA,NA,NA,NA
2024,140250063,NA,NA,NA,NA,NA,NA
2024,140250064,NA,NA,NA,NA,NA,NA
2024,140250065,NA,NA,NA,NA,NA,NA
2024,140250066,NA,NA,NA,NA,NA,NA
2024,140250067,NA,NA,NA,NA,NA,NA
2024,140250068,NA,NA,NA,NA,NA,NA
2024,140250070,NA,NA,NA,NA,NA,NA
2024,140250071,NA,NA,NA,NA,NA,NA
2024,140250073,NA,NA,NA,NA,NA,NA
2024,140250074,NA,NA,NA,NA,NA,NA
2024,140250075,NA,NA,NA,NA,NA,NA
2024,140250076,NA,NA,NA,NA,NA,NA
2024,140250077,NA,NA,NA,NA,NA,NA
2024,140250078,NA,NA,NA,NA,NA,NA
2024,140250079,NA,NA,NA,NA,NA,NA
2024,140250080,NA,NA,NA,NA,NA,NA
2024,140250081,NA,NA,NA,NA,NA,NA
2024,140250085,NA,NA,NA,NA,NA,NA
2024,140250087,NA,NA,NA,NA,NA,NA
2024,140250089,NA,NA,NA,NA,NA,NA
2024,140250090,NA,NA,NA,NA,NA,NA
2024,140250094,NA,NA,NA,NA,NA,NA
