C601,C602,R002-0701,R002-0702,R002-0703,R002-0704,R002-0705,R002-0706,R002-0707,R002-0708,R002-0709,R002-0710,R002-0711,R002-0712
2024,P01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,P02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,P03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,P04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,P05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,P06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,P07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,P08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,P09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,P10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,P11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,P12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
