C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208,,,,,
2021,P01,26300,23561,265333,NA,149186,133192,NA,112672,,,,,
2021,P02,17337,23902,271967,NA,59543,131354,NA,128127,,,,,
2021,P03,1561,23902,254970,NA,434147,153836,NA,87025,,,,,
2021,P04,8450,23902,258002,NA,110790,164905,NA,117773,,,,,
2021,P05,8000,23902,264435,NA,93522,160458,NA,62487,,,,,
2021,P06,3000,45931,271232,NA,252010,166883,NA,115450,,,,,
2021,P07,5400,45931,273408,NA,563069,171831,NA,107471,,,,,
2021,P08,2250,44457,268757,NA,67910,178892,NA,141174,,,,,
2021,P09,0,48653,264774,NA,402595,194756,NA,82315,,,,,
2021,P10,0,46555,263671,NA,741310,229298,NA,87691,,,,,
2021,P11,3315,44457,264228,NA,151722,234182,NA,94742,,,,,
2021,P12,0,48653,270101,NA,648458,282214,NA,132996,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
