C601,C602,C101,R002-0501,,,,
2021,P01,P108,120,,,,
2021,P01,P115,4,,,,
2021,P02,P108,128,,,,
2021,P02,P115,4,,,,
2021,P03,P108,138,,,,
2021,P03,P115,4,,,,
2021,P04,P108,147,,,,
2021,P04,P115,4,,,,
2021,P05,P108,159,,,,
2021,P05,P115,4,,,,
2021,P06,P108,167,,,,
2021,P06,P115,4,,,,
2021,P07,P108,174,,,,
2021,P07,P115,4,,,,
2021,P08,P108,184,,,,
2021,P08,P115,4,,,,
2021,P09,P108,193,,,,
2021,P09,P115,4,,,,
2021,P10,P108,201,,,,
2021,P10,P115,4,,,,
2021,P11,P108,213,,,,
2021,P11,P115,4,,,,
2021,P12,P108,222,,,,
2021,P12,P115,4,,,,
