C601,C602,R002-0601,R002-0602,R002-0603,R002-0604,R002-0605,R002-0606,R002-0607,R002-0608,R002-0609,R002-0610,R002-0611,R002-0612,R002-0613
2024,P01,NA,NA,NA,NA,NA,3956,NA,NA,NA,958,NA,NA,NA
2024,P02,NA,NA,NA,NA,NA,3941,NA,NA,NA,945,NA,NA,NA
2024,P03,NA,NA,NA,NA,NA,3945,NA,NA,NA,949,NA,NA,NA
2024,P04,NA,NA,NA,NA,NA,3936,NA,NA,NA,936,NA,NA,NA
2024,P05,NA,NA,NA,NA,NA,3931,NA,NA,NA,932,NA,NA,NA
2024,P06,NA,NA,NA,NA,NA,3925,NA,NA,NA,925,NA,NA,NA
2024,P07,NA,NA,NA,NA,NA,3920,NA,NA,NA,919,NA,NA,NA
2024,P08,NA,NA,NA,NA,NA,3914,NA,NA,NA,913,NA,NA,NA
2024,P09,NA,NA,NA,NA,NA,3909,NA,NA,NA,907,NA,NA,NA
2024,P10,NA,NA,NA,NA,NA,3903,NA,NA,NA,901,NA,NA,NA
2024,P11,NA,NA,NA,NA,NA,3898,NA,NA,NA,894,NA,NA,NA
2024,P12,NA,NA,NA,NA,NA,3892,NA,NA,NA,888,NA,NA,NA
