C601,C602,C101,R002-0501
2024,P01,P108,3956
2024,P02,P108,3941
2024,P03,P108,3945
2024,P04,P108,3936
2024,P05,P108,3931
2024,P06,P108,3925
2024,P07,P108,3920
2024,P08,P108,3914
2024,P09,P108,3909
2024,P10,P108,3903
2024,P11,P108,3898
2024,P12,P108,3892
2024,P01,P114,958
2024,P02,P114,945
2024,P03,P114,949
2024,P04,P114,936
2024,P05,P114,932
2024,P06,P114,925
2024,P07,P114,919
2024,P08,P114,913
2024,P09,P114,907
2024,P10,P114,901
2024,P11,P114,894
2024,P12,P114,888
2024,P01,P207,1768
2024,P02,P207,1730
2024,P03,P207,1752
2024,P04,P207,1734
2024,P05,P207,1726
2024,P06,P207,1718
2024,P07,P207,1710
2024,P08,P207,1702
2024,P09,P207,1694
2024,P10,P207,1686
2024,P11,P207,1678
2024,P12,P207,1670
