C601,C602, R002-0201 ,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208
2024,P01,69345.11,0,317456.40,NA,29453.50,404990.35,0,0
2024,P02,67222.75,0,308667.80,NA,28467.30,399775.23,0,0
2024,P03,67100.39,0, 309.550.07 ,NA,28733.29,394560.11,0,0
2024,P04,65644.70,0,299879.20,NA,28164.49,389344.99,0,0
2024,P05,66522.34,0,297090.60,NA,27804.38,384129.87,0,0
2024,P06,64999.98,0,299879.20,NA,27444.28,378914.75,0,0
2024,P07,64277.62,0,291090.60,NA,27084.17,373699.63,0,0
2024,P08,65555.26,0, 309.550.08 ,NA,26724.07,368484.51,0,0
2024,P09,63832.90,0,294302.00,NA,26363.96,363269.39,0,0
2024,P10,63277.20,0,291513.40,NA,26003.86,358054.27,0,0
2024,P11,62721.51,0,282302.00,NA,25643.75,352839.15,0,0
2024,P12,62165.82,0,273513.40,NA,25283.65,347624.03,0,0
