C601,C003,R027-0401,R027-0402,R027-0403,R027-0404
2024,P310800001,NO,SI,SI,NO
2024,P310750001,NO,SI,SI,NO
2024,P310240001,NO,SI,SI,NO
2024,P310180001,NO,SI,SI,NO
2024,P310460001,NO,SI,SI,NO
2024,P310490001,NO,SI,SI,NO
2024,P310360001,NO,SI,SI,NO
2024,P310370001,NO,SI,SI,NO
2024,P310690001,NO,SI,SI,NO
2024,P310150001,NO,SI,SI,NO
2024,P310420001,NO,SI,SI,NO
2024,P310420002,NO,SI,SI,NO
2024,P310100001,NO,SI,SI,NO
2024,P311030001,NO,SI,SI,NO
2024,P310340001,NO,SI,SI,NO
2024,P310350001,NO,SI,SI,NO
2024,P310740001,NO,SI,SI,NO
