C601,C003,R027-0301,R027-0302,R027-0303,R027-0304,R027-0305,R027-0306
2024,P310800001,0,0,0,0,0,1984
2024,P310750001,0,0,0,0,0,1024
2024,P310240001,0,0,0,0,0,512
2024,P310180001,0,0,0,0,0,512
2024,P310460001,0,0,0,0,0,512
2024,P310490001,0,0,0,0,0,512
2024,P310360001,0,0,0,0,0,1056
2024,P310370001,0,0,0,0,0,800
2024,P310690001,0,0,0,0,0,896
2024,P310150001,0,0,0,0,0,624
2024,P310420001,0,0,0,0,0,704
2024,P310420002,0,0,0,0,0,576
2024,P310100001,0,0,0,0,0,512
2024,P311030001,0,0,0,0,0,512
2024,P310340001,0,0,0,0,0,448
2024,P310350001,0,0,0,0,0,576
2024,P310740001,0,0,0,0,0,448
