C601,C003,R027-0201,R027-0202,R027-0203,R027-0204,R027-0205
2024,P310800001,SI,NO,NO,NO,NO
2024,P310750001,SI,NO,NO,NO,NO
2024,P310240001,SI,NO,NO,NO,NO
2024,P310180001,SI,NO,NO,NO,NO
2024,P310460001,SI,NO,NO,NO,NO
2024,P310490001,SI,NO,NO,NO,NO
2024,P310360001,SI,NO,NO,NO,NO
2024,P310370001,SI,NO,NO,NO,NO
2024,P310690001,SI,NO,NO,NO,NO
2024,P310150001,SI,NO,NO,NO,NO
2024,P310420001,SI,NO,NO,NO,NO
2024,P310420002,SI,NO,NO,NO,NO
2024,P310100001,SI,NO,NO,NO,NO
2024,P311030001,SI,NO,NO,NO,NO
2024,P310340001,SI,NO,NO,NO,NO
2024,P310350001,SI,NO,NO,NO,NO
2024,P310740001,SI,NO,NO,NO,NO
