C601,C602,R014-0301,R014-0302,R014-0303,R014-0304,R014-0305
2024,P10,Tv Azteca S A B de C V,SI,No,No,No
2024,P10,"ESPN México, S.A de C.V",SI,No,No,No
2024,P10,WDC México S de RL de CV,SI,No,No,No
2024,P10,"DMS Media Services, LLC",SI,No,No,No
2024,P10,"Ole Distribution, LLC",SI,No,No,No
2024,P10,MTV Networks Latin America Inc.,SI,No,No,No
2024,P10,"Televisión Digital, S.A de C.V",SI,No,No,No
2024,P10,"Televisa, S.A de C.V",SI,No,No,No
2024,P10,"Turner Broadcasting System Latin America, Inc",SI,No,No,No
2024,P10,AMX Contenido,SI,No,No,No
2024,P10,Grupo Imagen,SI,No,No,No
2024,P10,Mariavisión,SI,No,No,No
2024,P10,Claxson Media B.V,SI,No,No,No
2024,P10,Conaculta,SI,No,No,No
2024,P10,Congreso Unión,SI,No,No,No
2024,P10,NBC Universal Global Networks,SI,No,No,No
2024,P10,El Financiero,SI,No,No,No
2024,P10,Grupo Intermedia,SI,No,No,No
2024,P10,IPN,SI,No,No,No
2024,P10,Poder Judicial,SI,No,No,No
2024,P10,S. Educación,SI,No,No,No
2024,P10,UNAM,SI,No,No,No
2024,P10,MVS Net S.A de C.V,SI,No,No,No
2024,P10,Stingray,SI,No,No,No
2024,P10,Agrotendencia,SI,No,No,No
2024,P10,Blue Ant International Limited,SI,No,No,No
2024,P10,Media Deportes México,SI,No,No,No
2024,P10,"Corporación Radio TV Española, S.A S.M.E",SI,No,No,No
2024,P10,"Olympusat, Inc",SI,No,No,No
2024,P10,"Discovery Networks, S.L",SI,No,No,No
2024,P11,Tv Azteca S A B de C V,SI,No,No,No
2024,P11,"ESPN México, S.A de C.V",SI,No,No,No
2024,P11,WDC México S de RL de CV,SI,No,No,No
2024,P11,"DMS Media Services, LLC",SI,No,No,No
2024,P11,"Ole Distribution, LLC",SI,No,No,No
2024,P11,MTV Networks Latin America Inc.,SI,No,No,No
2024,P11,"Televisión Digital, S.A de C.V",SI,No,No,No
2024,P11,"Televisa, S.A de C.V",SI,No,No,No
2024,P11,"Turner Broadcasting System Latin America, Inc",SI,No,No,No
2024,P11,AMX Contenido,SI,No,No,No
2024,P11,Grupo Imagen,SI,No,No,No
2024,P11,Mariavisión,SI,No,No,No
2024,P11,Claxson Media B.V,SI,No,No,No
2024,P11,Conaculta,SI,No,No,No
2024,P11,Congreso Unión,SI,No,No,No
2024,P11,NBC Universal Global Networks,SI,No,No,No
2024,P11,El Financiero,SI,No,No,No
2024,P11,Grupo Intermedia,SI,No,No,No
2024,P11,IPN,SI,No,No,No
2024,P11,Poder Judicial,SI,No,No,No
2024,P11,S. Educación,SI,No,No,No
2024,P11,UNAM,SI,No,No,No
2024,P11,MVS Net S.A de C.V,SI,No,No,No
2024,P11,Stingray,SI,No,No,No
2024,P11,Agrotendencia,SI,No,No,No
2024,P11,Blue Ant International Limited,SI,No,No,No
2024,P11,Media Deportes México,SI,No,No,No
2024,P11,"Corporación Radio TV Española, S.A S.M.E",SI,No,No,No
2024,P11,"Olympusat, Inc",SI,No,No,No
2024,P11,"Discovery Networks, S.L",SI,No,No,No
2024,P12,Tv Azteca S A B de C V,SI,No,No,No
2024,P12,"ESPN México, S.A de C.V",SI,No,No,No
2024,P12,WDC México S de RL de CV,SI,No,No,No
2024,P12,"DMS Media Services, LLC",SI,No,No,No
2024,P12,"Ole Distribution, LLC",SI,No,No,No
2024,P12,MTV Networks Latin America Inc.,SI,No,No,No
2024,P12,"Televisión Digital, S.A de C.V",SI,No,No,No
2024,P12,"Televisa, S.A de C.V",SI,No,No,No
2024,P12,"Turner Broadcasting System Latin America, Inc",SI,No,No,No
2024,P12,AMX Contenido,SI,No,No,No
2024,P12,Grupo Imagen,SI,No,No,No
2024,P12,Mariavisión,SI,No,No,No
2024,P12,Claxson Media B.V,SI,No,No,No
2024,P12,Conaculta,SI,No,No,No
2024,P12,Congreso Unión,SI,No,No,No
2024,P12,NBC Universal Global Networks,SI,No,No,No
2024,P12,El Financiero,SI,No,No,No
2024,P12,Grupo Intermedia,SI,No,No,No
2024,P12,IPN,SI,No,No,No
2024,P12,Poder Judicial,SI,No,No,No
2024,P12,S. Educación,SI,No,No,No
2024,P12,UNAM,SI,No,No,No
2024,P12,MVS Net S.A de C.V,SI,No,No,No
2024,P12,Stingray,SI,No,No,No
2024,P12,Agrotendencia,SI,No,No,No
2024,P12,Blue Ant International Limited,SI,No,No,No
2024,P12,Media Deportes México,SI,No,No,No
2024,P12,"Corporación Radio TV Española, S.A S.M.E",SI,No,No,No
2024,P12,"Olympusat, Inc",SI,No,No,No
2024,P12,"Discovery Networks, S.L",SI,No,No,No
