C601,C003,R027-0401,R027-0402,R027-0403,R027-0404
2024,P010010295,No,Si,No,No
2024,P010100421,No,Si,No,No
2024,P020010001,No,Si,No,No
2024,P020011265,No,Si,No,No
2024,P020011959,No,Si,No,No
2024,P020014101,No,Si,No,No
2024,P020020075,No,Si,No,No
2024,P020020194,No,Si,No,No
2024,P020020209,No,Si,No,No
2024,P020020296,No,Si,No,No
2024,P020021119,No,Si,No,No
2024,P020030254,No,Si,No,No
2024,P020030266,No,Si,No,No
2024,P020032093,No,Si,No,No
2024,P020040969,No,Si,No,No
2024,P020041044,No,Si,No,No
2024,P020041403,No,Si,No,No
2024,P020041534,No,Si,No,No
2024,P020041629,No,Si,No,No
2024,P020041653,No,Si,No,No
2024,P020042647,No,Si,No,No
2024,P020050004,No,Si,No,No
2024,P020060000,No,Si,No,No
2024,P030021515,No,Si,No,No
2024,P030090761,No,Si,No,No
2024,P040020203,No,Si,No,No
2024,P040020333,No,Si,No,No
2024,P040040987,No,Si,No,No
2024,P050022686,No,Si,No,No
2024,P050040068,No,Si,No,No
2024,P050070014,No,Si,No,No
2024,P050070093,No,Si,No,No
2024,P010010083,No,Si,No,No
2024,P020010004,No,Si,No,No
2024,P020010023,No,Si,No,No
2024,P020011094,No,Si,No,No
2024,P020011148,No,Si,No,No
2024,P020011226,No,Si,No,No
2024,P020012725,No,Si,No,No
2024,P020015110,No,Si,No,No
2024,P010050014,No,Si,No,No
2024,P020010124,No,Si,No,No
2024,P020010139,No,Si,No,No
2024,P020011174,No,Si,No,No
2024,P020020001,No,Si,No,No
2024,P020020171,No,Si,No,No
2024,P020020185,No,Si,No,No
2024,P020020336,No,Si,No,No
2024,P020011190,No,Si,No,No
2024,P020020016,No,Si,No,No
2024,P020020265,No,Si,No,No
2024,P020024766,No,Si,No,No
2024,P020030065,No,Si,No,No
2024,P020030230,No,Si,No,No
2024,P020031521,No,Si,No,No
2024,P020040721,No,Si,No,No
2024,P020030246,No,Si,No,No
2024,P020040536,No,Si,No,No
2024,P020040798,No,Si,No,No
2024,P020041699,No,Si,No,No
2024,P020040838,No,Si,No,No
2024,P020040871,No,Si,No,No
2024,P020040931,No,Si,No,No
2024,P020041415,No,Si,No,No
2024,P010111026,No,Si,No,No
2024,P020010012,No,Si,No,No
2024,P020010243,No,Si,No,No
2024,P020011160,No,Si,No,No
2024,P020041838,No,Si,No,No
2024,P020041889,No,Si,No,No
2024,P020042402,No,Si,No,No
2024,P030020049,No,Si,No,No
