C601,C602,C003 No llenar,C006,C101,C102,C103,R001-0501
2024,P10,NA,55,P108,P01,P01,426
2024,P10,NA,676,P108,P01,P01,1
2024,P10,NA,33,P108,P01,P02,"1,367"
2024,P10,NA,55,P108,P01,P02,"2,593"
2024,P10,NA,81,P108,P01,P02,746
2024,P10,NA,222,P108,P01,P02,511
2024,P10,NA,227,P108,P01,P02,3
2024,P10,NA,228,P108,P01,P02,200
2024,P10,NA,229,P108,P01,P02,221
2024,P10,NA,231,P108,P01,P02,10
2024,P10,NA,232,P108,P01,P02,19
2024,P10,NA,237,P108,P01,P02,1
2024,P10,NA,238,P108,P01,P02,30
2024,P10,NA,241,P108,P01,P02,46
2024,P10,NA,244,P108,P01,P02,40
2024,P10,NA,245,P108,P01,P02,1
2024,P10,NA,246,P108,P01,P02,56
2024,P10,NA,247,P108,P01,P02,26
2024,P10,NA,248,P108,P01,P02,63
2024,P10,NA,249,P108,P01,P02,1
2024,P10,NA,271,P108,P01,P02,72
2024,P10,NA,272,P108,P01,P02,73
2024,P10,NA,274,P108,P01,P02,2
2024,P10,NA,287,P108,P01,P02,8
2024,P10,NA,294,P108,P01,P02,1
2024,P10,NA,296,P108,P01,P02,2
2024,P10,NA,311,P108,P01,P02,166
2024,P10,NA,312,P108,P01,P02,139
2024,P10,NA,313,P108,P01,P02,13
2024,P10,NA,314,P108,P01,P02,95
2024,P10,NA,315,P108,P01,P02,5
2024,P10,NA,322,P108,P01,P02,72
2024,P10,NA,325,P108,P01,P02,0
2024,P10,NA,341,P108,P01,P02,45
2024,P10,NA,348,P108,P01,P02,90
2024,P10,NA,351,P108,P01,P02,70
2024,P10,NA,352,P108,P01,P02,46
2024,P10,NA,353,P108,P01,P02,3
2024,P10,NA,373,P108,P01,P02,1
2024,P10,NA,374,P108,P01,P02,1
2024,P10,NA,378,P108,P01,P02,68
2024,P10,NA,392,P108,P01,P02,37
2024,P10,NA,393,P108,P01,P02,9
2024,P10,NA,395,P108,P01,P02,13
2024,P10,NA,411,P108,P01,P02,18
2024,P10,NA,412,P108,P01,P02,9
2024,P10,NA,414,P108,P01,P02,2
2024,P10,NA,415,P108,P01,P02,23
2024,P10,NA,417,P108,P01,P02,11
2024,P10,NA,418,P108,P01,P02,7
2024,P10,NA,419,P108,P01,P02,9
2024,P10,NA,427,P108,P01,P02,61
2024,P10,NA,428,P108,P01,P02,1
2024,P10,NA,429,P108,P01,P02,7
2024,P10,NA,434,P108,P01,P02,19
2024,P10,NA,441,P108,P01,P02,1
2024,P10,NA,442,P108,P01,P02,354
2024,P10,NA,443,P108,P01,P02,233
2024,P10,NA,444,P108,P01,P02,315
2024,P10,NA,445,P108,P01,P02,1
2024,P10,NA,448,P108,P01,P02,9
2024,P10,NA,449,P108,P01,P02,315
2024,P10,NA,452,P108,P01,P02,69
2024,P10,NA,453,P108,P01,P02,16
2024,P10,NA,456,P108,P01,P02,21
2024,P10,NA,461,P108,P01,P02,176
2024,P10,NA,462,P108,P01,P02,155
2024,P10,NA,464,P108,P01,P02,110
2024,P10,NA,466,P108,P01,P02,1
2024,P10,NA,468,P108,P01,P02,1
2024,P10,NA,469,P108,P01,P02,3
2024,P10,NA,472,P108,P01,P02,47
2024,P10,NA,473,P108,P01,P02,79
2024,P10,NA,474,P108,P01,P02,23
2024,P10,NA,476,P108,P01,P02,134
2024,P10,NA,477,P108,P01,P02,950
2024,P10,NA,478,P108,P01,P02,5
2024,P10,NA,481,P108,P01,P02,2
2024,P10,NA,488,P108,P01,P02,29
2024,P10,NA,492,P108,P01,P02,161
2024,P10,NA,493,P108,P01,P02,3
2024,P10,NA,494,P108,P01,P02,2
2024,P10,NA,495,P108,P01,P02,12
2024,P10,NA,496,P108,P01,P02,3
2024,P10,NA,612,P108,P01,P02,2
2024,P10,NA,614,P108,P01,P02,172
2024,P10,NA,618,P108,P01,P02,109
2024,P10,NA,622,P108,P01,P02,90
2024,P10,NA,624,P108,P01,P02,0
2024,P10,NA,625,P108,P01,P02,24
2024,P10,NA,627,P108,P01,P02,0
2024,P10,NA,629,P108,P01,P02,1
2024,P10,NA,631,P108,P01,P02,70
2024,P10,NA,638,P108,P01,P02,0
2024,P10,NA,639,P108,P01,P02,28
2024,P10,NA,642,P108,P01,P02,52
2024,P10,NA,644,P108,P01,P02,145
2024,P10,NA,646,P108,P01,P02,292
2024,P10,NA,648,P108,P01,P02,9
2024,P10,NA,653,P108,P01,P02,45
2024,P10,NA,656,P108,P01,P02,228
2024,P10,NA,661,P108,P01,P02,33
2024,P10,NA,662,P108,P01,P02,256
2024,P10,NA,664,P108,P01,P02,326
2024,P10,NA,665,P108,P01,P02,58
2024,P10,NA,667,P108,P01,P02,375
2024,P10,NA,668,P108,P01,P02,134
2024,P10,NA,669,P108,P01,P02,216
2024,P10,NA,673,P108,P01,P02,67
2024,P10,NA,686,P108,P01,P02,193
2024,P10,NA,687,P108,P01,P02,63
2024,P10,NA,712,P108,P01,P02,89
2024,P10,NA,715,P108,P01,P02,1
2024,P10,NA,722,P108,P01,P02,40
2024,P10,NA,729,P108,P01,P02,277
2024,P10,NA,733,P108,P01,P02,8
2024,P10,NA,735,P108,P01,P02,80
2024,P10,NA,744,P108,P01,P02,102
2024,P10,NA,747,P108,P01,P02,30
2024,P10,NA,753,P108,P01,P02,17
2024,P10,NA,755,P108,P01,P02,14
2024,P10,NA,762,P108,P01,P02,1
2024,P10,NA,771,P108,P01,P02,162
2024,P10,NA,773,P108,P01,P02,21
2024,P10,NA,775,P108,P01,P02,40
2024,P10,NA,776,P108,P01,P02,1
2024,P10,NA,777,P108,P01,P02,217
2024,P10,NA,782,P108,P01,P02,67
2024,P10,NA,783,P108,P01,P02,24
2024,P10,NA,784,P108,P01,P02,12
2024,P10,NA,821,P108,P01,P02,8
2024,P10,NA,824,P108,P01,P02,1
2024,P10,NA,826,P108,P01,P02,53
2024,P10,NA,828,P108,P01,P02,3
2024,P10,NA,831,P108,P01,P02,0
2024,P10,NA,833,P108,P01,P02,106
2024,P10,NA,834,P108,P01,P02,58
2024,P10,NA,844,P108,P01,P02,168
2024,P10,NA,866,P108,P01,P02,70
2024,P10,NA,867,P108,P01,P02,138
2024,P10,NA,868,P108,P01,P02,41
2024,P10,NA,871,P108,P01,P02,137
2024,P10,NA,877,P108,P01,P02,1
2024,P10,NA,878,P108,P01,P02,23
2024,P10,NA,899,P108,P01,P02,129
2024,P10,NA,916,P108,P01,P02,1
2024,P10,NA,921,P108,P01,P02,77
2024,P10,NA,922,P108,P01,P02,40
2024,P10,NA,923,P108,P01,P02,21
2024,P10,NA,924,P108,P01,P02,3
2024,P10,NA,932,P108,P01,P02,2
2024,P10,NA,933,P108,P01,P02,24
2024,P10,NA,936,P108,P01,P02,14
2024,P10,NA,937,P108,P01,P02,14
2024,P10,NA,938,P108,P01,P02,95
2024,P10,NA,951,P108,P01,P02,53
2024,P10,NA,953,P108,P01,P02,5
2024,P10,NA,961,P108,P01,P02,192
2024,P10,NA,962,P108,P01,P02,42
2024,P10,NA,963,P108,P01,P02,1
2024,P10,NA,966,P108,P01,P02,4
2024,P10,NA,967,P108,P01,P02,19
2024,P10,NA,971,P108,P01,P02,1
2024,P10,NA,981,P108,P01,P02,186
2024,P10,NA,982,P108,P01,P02,15
2024,P10,NA,983,P108,P01,P02,106
2024,P10,NA,984,P108,P01,P02,111
2024,P10,NA,985,P108,P01,P02,45
2024,P10,NA,986,P108,P01,P02,17
2024,P10,NA,987,P108,P01,P02,28
2024,P10,NA,993,P108,P01,P02,316
2024,P10,NA,998,P108,P01,P02,132
2024,P10,NA,999,P108,P01,P02,551
2024,P10,NA,33,P109,P01,P02,4
2024,P10,NA,55,P109,P01,P02,58
2024,P10,NA,81,P109,P01,P02,4
2024,P10,NA,222,P109,P01,P02,2
2024,P10,NA,228,P109,P01,P02,0
2024,P10,NA,229,P109,P01,P02,0
2024,P10,NA,311,P109,P01,P02,0
2024,P10,NA,322,P109,P01,P02,0
2024,P10,NA,442,P109,P01,P02,1
2024,P10,NA,443,P109,P01,P02,0
2024,P10,NA,444,P109,P01,P02,1
2024,P10,NA,449,P109,P01,P02,1
2024,P10,NA,461,P109,P01,P02,0
2024,P10,NA,462,P109,P01,P02,0
2024,P10,NA,464,P109,P01,P02,1
2024,P10,NA,473,P109,P01,P02,0
2024,P10,NA,477,P109,P01,P02,0
2024,P10,NA,656,P109,P01,P02,0
2024,P10,NA,664,P109,P01,P02,0
2024,P10,NA,686,P109,P01,P02,0
2024,P10,NA,722,P109,P01,P02,2
2024,P10,NA,735,P109,P01,P02,0
2024,P10,NA,744,P109,P01,P02,0
2024,P10,NA,771,P109,P01,P02,0
2024,P10,NA,777,P109,P01,P02,1
2024,P10,NA,844,P109,P01,P02,0
2024,P10,NA,921,P109,P01,P02,0
2024,P10,NA,951,P109,P01,P02,0
2024,P10,NA,961,P109,P01,P02,0
2024,P10,NA,981,P109,P01,P02,0
2024,P10,NA,983,P109,P01,P02,0
2024,P10,NA,984,P109,P01,P02,0
2024,P10,NA,993,P109,P01,P02,1
2024,P10,NA,999,P109,P01,P02,0
2024,P10,NA,33,P109,P01,P03,73
2024,P10,NA,55,P109,P01,P03,252
2024,P10,NA,442,P109,P01,P03,29
2024,P10,NA,469,P109,P01,P03,29
2024,P10,NA,722,P109,P01,P03,73
2024,P10,NA,921,P109,P01,P03,29
2024,P10,NA,998,P109,P01,P03,29
2024,P10,NA,33,P109,P02,P02,390
2024,P10,NA,55,P109,P02,P02,"7,574"
2024,P10,NA,81,P109,P02,P02,"4,298"
2024,P10,NA,222,P109,P02,P02,582
2024,P10,NA,227,P109,P02,P02,1
2024,P10,NA,228,P109,P02,P02,390
2024,P10,NA,229,P109,P02,P02,71
2024,P10,NA,237,P109,P02,P02,960
2024,P10,NA,247,P109,P02,P02,24
2024,P10,NA,271,P109,P02,P02,244
2024,P10,NA,272,P109,P02,P02,241
2024,P10,NA,311,P109,P02,P02,4
2024,P10,NA,312,P109,P02,P02,3
2024,P10,NA,314,P109,P02,P02,35
2024,P10,NA,351,P109,P02,P02,52
2024,P10,NA,441,P109,P02,P02,6
2024,P10,NA,442,P109,P02,P02,99
2024,P10,NA,443,P109,P02,P02,6
2024,P10,NA,444,P109,P02,P02,77
2024,P10,NA,449,P109,P02,P02,26
2024,P10,NA,452,P109,P02,P02,51
2024,P10,NA,461,P109,P02,P02,8
2024,P10,NA,462,P109,P02,P02,17
2024,P10,NA,464,P109,P02,P02,4
2024,P10,NA,472,P109,P02,P02,17
2024,P10,NA,473,P109,P02,P02,3
2024,P10,NA,477,P109,P02,P02,161
2024,P10,NA,612,P109,P02,P02,1
2024,P10,NA,614,P109,P02,P02,79
2024,P10,NA,631,P109,P02,P02,3
2024,P10,NA,644,P109,P02,P02,1
2024,P10,NA,646,P109,P02,P02,408
2024,P10,NA,653,P109,P02,P02,1
2024,P10,NA,656,P109,P02,P02,386
2024,P10,NA,662,P109,P02,P02,63
2024,P10,NA,664,P109,P02,P02,751
2024,P10,NA,667,P109,P02,P02,9
2024,P10,NA,668,P109,P02,P02,1
2024,P10,NA,669,P109,P02,P02,1
2024,P10,NA,673,P109,P02,P02,1
2024,P10,NA,686,P109,P02,P02,356
2024,P10,NA,687,P109,P02,P02,26
2024,P10,NA,722,P109,P02,P02,650
2024,P10,NA,729,P109,P02,P02,26
2024,P10,NA,735,P109,P02,P02,4
2024,P10,NA,744,P109,P02,P02,15
2024,P10,NA,771,P109,P02,P02,49
2024,P10,NA,777,P109,P02,P02,51
2024,P10,NA,782,P109,P02,P02,1
2024,P10,NA,833,P109,P02,P02,6
2024,P10,NA,834,P109,P02,P02,4
2024,P10,NA,844,P109,P02,P02,177
2024,P10,NA,866,P109,P02,P02,95
2024,P10,NA,867,P109,P02,P02,171
2024,P10,NA,868,P109,P02,P02,4
2024,P10,NA,871,P109,P02,P02,91
2024,P10,NA,899,P109,P02,P02,191
2024,P10,NA,938,P109,P02,P02,6
2024,P10,NA,951,P109,P02,P02,1
2024,P10,NA,981,P109,P02,P02,1
2024,P10,NA,991,P109,P02,P02,3
2024,P10,NA,993,P109,P02,P02,20
2024,P10,NA,998,P109,P02,P02,171
