C601,C602,C101,C102,R004-0201,R004-0202,,
2024,P10,P108,P01,78900,6867665,,
2024,P10,P109,P01,0,318256,,
2024,P10,P109,P02,0,4986007,,
2024,P10,P110,P02,0,17015999,,
2024,P10,P205,P01,1613409176,1511871371,,
2024,P10,P205,P02,0,647944873,,
2024,P11,P108,P01,76900,5461796,,
2024,P11,P109,P01,0,318405,,
2024,P11,P109,P02,0,4988345,,
2024,P11,P110,P02,0,18039658,,
2024,P11,P205,P01,1571288496,1494292628,,
2024,P11,P205,P02,0,640411126,,
2024,P12,P108,P01,76400,7596725,,
2024,P12,P109,P01,0,316850,,
2024,P12,P109,P02,0,4963978,,
2024,P12,P110,P02,0,18301067,,
2024,P12,P205,P01,1639794723,1532949218,,
2024,P12,P205,P02,0,656978236,,
