C601,C602,C101,C102,C106,R004-0301,R004-0302
2024,P10,P108,P01,P01,1671586,8587
2024,P10,P108,P01,P02,4196079,9017
2024,P10,P109,P01,P02,211402,466
2024,P10,P109,P01,P03,84984,108
2024,P10,P109,P01,P04,19114,16
2024,P10,P109,P02,P01,1277924,33436
2024,P10,P109,P02,P02,1539350,4525
2024,P10,P109,P02,P03,1742754,2707
2024,P10,P109,P02,P04,425979,298
2024,P10,P110,P02,P01,17015999,589068
2024,P10,P205,P01,P01,595347148,3363685
2024,P10,P205,P01,P02,369115232,830538
2024,P10,P205,P01,P03,154790258,159550
2024,P10,P205,P01,P04,29767357,17484
2024,P10,P205,P01,P05,2245,1
2024,P10,P205,P02,P01,25782212,180256
2024,P10,P205,P02,P02,240633986,595938
2024,P10,P205,P02,P03,83792191,111737
2024,P10,P205,P02,P04,60158496,41901
2024,P10,P205,P02,P05,3781390,1256
2024,P10,P205,P02,P06,404546,45
2024,P10,P205,P02,P07,246207,17
2024,P11,P108,P01,P01,1693156,8649
2024,P11,P108,P01,P02,3768640,8240
2024,P11,P109,P01,P02,211501,454
2024,P11,P109,P01,P03,85024,105
2024,P11,P109,P01,P04,19114,16
2024,P11,P109,P02,P01,1579907,33493
2024,P11,P109,P02,P02,1316688,4541
2024,P11,P109,P02,P03,1735156,2734
2024,P11,P109,P02,P04,356594,293
2024,P11,P110,P02,P01,18039658,625951
2024,P11,P205,P01,P01,600038613,3388657
2024,P11,P205,P01,P02,372023940,836704
2024,P11,P205,P01,P03,156010039,160734
2024,P11,P205,P01,P04,30001930,17613
2024,P11,P205,P01,P05,2245,1
2024,P11,P205,P02,P01,25681520,180243
2024,P11,P205,P02,P02,239694195,595895
2024,P11,P205,P02,P03,83464942,111729
2024,P11,P205,P02,P04,59923548,41898
2024,P11,P205,P02,P05,3766622,1256
2024,P11,P205,P02,P06,404546,45
2024,P11,P205,P02,P07,246207,17
2024,P12,P108,P01,P01,1619999,8322
2024,P12,P108,P01,P02,3576726,7856
2024,P12,P109,P01,P02,208240,447
2024,P12,P109,P01,P03,84609,104
2024,P12,P109,P01,P04,19114,16
2024,P12,P109,P02,P01,1610615,34007
2024,P12,P109,P02,P02,1283661,4466
2024,P12,P109,P02,P03,1713367,2710
2024,P12,P109,P02,P04,356335,294
2024,P12,P110,P02,P01,18301067,653772
2024,P12,P205,P01,P01,605632899,3420295
2024,P12,P205,P01,P02,375492397,844516
2024,P12,P205,P01,P03,157464553,162235
2024,P12,P205,P01,P04,30281645,17778
2024,P12,P205,P01,P05,2245,1
2024,P12,P205,P02,P01,26141656,180753
2024,P12,P205,P02,P02,243988799,597580
2024,P12,P205,P02,P03,84960385,112045
2024,P12,P205,P02,P04,60997199,42017
2024,P12,P205,P02,P05,3834109,1259
2024,P12,P205,P02,P06,404546,45
2024,P12,P205,P02,P07,246207,17
