C601,C602,C105,R004-0401,R004-0402,R004-0403
2024, P10 , P01 ,4707693,46549237,2604627
2024, P10 , P02 ,15800653,584442382,8901321
2024, P10 , P03 ,6076907,590040566,4500449
2024, P10 , P04 ,1393292,202310010,1239364
2024, P10 , P05 ,843443,166933276,807982
2024, P10 , P06 ,92009,27955322,52646
2024, P10 , P07 ,2558,1850847,2109
2024, P10 , P08 ,898,1970659,758
2024, P11 , P01 ,4616417,45584322,2546666
2024, P11 , P02 ,15400823,571976320,8858957
2024, P11 , P03 ,6091426,591604799,4573584
2024, P11 , P04 ,1407692,204662621,654314
2024, P11 , P05 ,867627,171687188,429643
2024, P11 , P06 ,92343,28002443,52707
2024, P11 , P07 ,6328,5580766,4070
2024, P11 , P08 ,5267,8535079,2958
2024, P12 , P01 ,4740019,46811136,2584256
2024, P12 , P02 ,15500592,577747836,8913980
2024, P12 , P03 ,6363450,618256382,4733919
2024, P12 , P04 ,1425194,207120744,1281818
2024, P12 , P05 ,898507,177764946,869406
2024, P12 , P06 ,96764,29349907,106764
2024, P12 , P07 ,4873,4175371,6419
2024, P12 , P08 ,5849,9456280,6398
