C601,C602,C101,C001,R004-0601,R004-0602,R004-0603,R004-0604,R004-0605,R004-0606,R004-0607,R004-0608,R004-0609,R004-0610,R004-0611,R004-0612,R004-0613,R004-0614,
2024,P10,P108,P02,0,0,0,0,0,0,0,0,0,0,0,0,1,515,
2024,P10,P108,P09,0,0,0,0,0,0,0,0,0,0,0,0,2,1204,
2024,P10,P108,P14,0,0,0,0,0,0,0,0,0,0,0,0,2,800,
2024,P10,P108,P19,0,0,0,0,0,0,0,0,0,0,0,0,1,964,
2024,P10,P205,P01,209,42,0,0,13,3,18,261,5,7,12,4,29,24547,
2024,P10,P205,P02,613,2,0,0,47,6,71,677,29,11,22,4,83,30374,
2024,P10,P205,P03,87,7,0,0,6,3,7,103,2,3,2,2,16,6125,
2024,P10,P205,P04,135,18,0,0,9,4,7,156,9,3,5,0,18,12378,
2024,P10,P205,P05,271,10,0,0,19,5,52,333,11,3,10,3,15,48870,
2024,P10,P205,P06,169,11,0,0,6,4,11,189,6,0,6,1,8,3533,
2024,P10,P205,P07,159,25,0,0,4,1,71,234,6,4,16,1,20,10301,
2024,P10,P205,P08,391,503,0,0,16,4,52,935,11,3,17,3,37,55091,
2024,P10,P205,P09,7038,3,0,0,333,174,804,7660,250,108,334,55,1066,2012171,
2024,P10,P205,P10,61,60,0,0,11,2,15,136,7,2,4,0,3,1127,
2024,P10,P205,P11,831,11,0,0,25,7,173,964,13,15,55,2,142,62255,
2024,P10,P205,P12,173,22,0,0,15,4,15,217,8,0,4,0,16,5609,
2024,P10,P205,P13,271,110,0,0,9,8,22,398,5,6,11,0,41,28499,
2024,P10,P205,P14,1995,62,0,0,45,25,207,2185,58,21,70,10,211,181427,
2024,P10,P205,P15,589,23,0,0,45,13,33,647,21,11,24,5,67,86680,
2024,P10,P205,P16,459,24,0,0,7,3,30,492,11,2,18,4,19,5186,
2024,P10,P205,P17,331,5,0,0,25,8,52,389,12,4,16,3,116,42859,
2024,P10,P205,P18,63,67,0,0,2,0,18,147,2,0,1,2,8,23623,
2024,P10,P205,P19,1497,15,0,0,36,15,1207,2705,17,10,38,5,115,180628,
2024,P10,P205,P20,127,48,0,0,4,5,18,185,4,3,10,1,10,47922,
2024,P10,P205,P21,813,24,0,0,45,16,206,1017,32,12,43,5,181,246108,
2024,P10,P205,P22,435,14,0,0,14,15,67,514,11,3,17,4,22,15987,
2024,P10,P205,P23,225,17,0,0,7,7,56,294,4,1,13,1,10,14747,
2024,P10,P205,P24,297,13,0,0,11,3,41,328,14,3,20,0,12,7186,
2024,P10,P205,P25,261,17,0,0,6,1,26,284,6,4,17,2,17,83615,
2024,P10,P205,P26,297,13,0,0,12,7,30,322,11,6,20,1,49,21913,
2024,P10,P205,P27,139,38,0,0,9,0,11,181,3,5,8,1,4,4852,
2024,P10,P205,P28,497,12,0,0,8,2,312,789,12,7,23,4,275,293852,
2024,P10,P205,P29,85,56,0,0,6,0,7,147,2,1,4,1,17,9142,
2024,P10,P205,P30,647,19,0,0,22,11,120,752,20,9,38,4,141,49328,
2024,P10,P205,P31,339,8,0,0,14,3,135,470,15,3,11,0,35,14947,
2024,P10,P205,P32,83,0,0,0,8,2,3,78,8,2,8,2,8,2670,
2024,P11,P108,P02,0,0,0,0,0,0,0,0,0,0,0,0,1,515,
2024,P11,P108,P09,0,0,0,0,0,0,0,0,0,0,0,0,1,325,
2024,P11,P108,P14,0,0,0,0,0,0,0,0,0,0,0,0,2,800,
2024,P11,P205,P01,218,40,0,0,8,6,13,265,7,0,13,3,40,21719,
2024,P11,P205,P02,67,40,0,0,11,1,0,113,4,2,0,14,75,53288,
2024,P11,P205,P03,110,40,0,0,4,2,8,155,3,2,4,2,21,5017,
2024,P11,P205,P04,301,40,0,0,18,2,17,353,13,3,9,2,11,3642,
2024,P11,P205,P05,150,40,0,0,2,5,4,188,4,2,7,5,24,78692,
2024,P11,P205,P06,220,40,0,0,6,2,31,276,12,2,9,0,6,3253,
2024,P11,P205,P07,380,40,0,0,11,6,35,446,14,2,10,5,9,3130,
2024,P11,P205,P08,6614,40,0,0,339,194,623,7265,223,76,246,7,31,39744,
2024,P11,P205,P09,44,40,0,0,7,2,8,95,1,0,5,91,301,369100,
2024,P11,P205,P10,788,40,0,0,22,13,102,909,16,8,32,0,8,5869,
2024,P11,P205,P11,142,40,0,0,7,3,22,201,5,3,5,8,112,94279,
2024,P11,P205,P12,299,40,0,0,11,8,0,339,10,3,6,3,20,7031,
2024,P11,P205,P13,1911,40,0,0,46,44,147,2037,59,18,74,2,24,13108,
2024,P11,P205,P14,994,33,0,0,68,8,122,1137,23,22,43,20,163,173377,
2024,P11,P205,P15,460,40,0,0,8,6,40,524,13,7,10,5,643,770741,
2024,P11,P205,P16,267,40,0,0,19,5,57,357,10,3,18,5,14,6622,
2024,P11,P205,P17,63,40,0,0,4,2,8,111,1,1,4,5,125,51711,
2024,P11,P205,P18,1404,40,0,0,31,15,1631,3045,35,8,33,1,3,15281,
2024,P11,P205,P19,121,40,0,0,5,1,22,179,3,1,6,10,113,130784,
2024,P11,P205,P20,658,40,0,0,24,13,182,843,30,8,36,4,10,32198,
2024,P11,P205,P21,426,40,0,0,9,3,17,468,7,2,18,3,220,237602,
2024,P11,P205,P22,246,40,0,0,10,7,17,300,7,1,12,6,23,39231,
2024,P11,P205,P23,280,40,0,0,7,3,44,357,9,1,7,1,17,21125,
2024,P11,P205,P24,246,40,0,0,11,2,31,309,8,5,8,1,8,2341,
2024,P11,P205,P25,269,40,0,0,10,5,66,366,11,4,9,0,17,38440,
2024,P11,P205,P26,110,40,0,0,9,1,8,155,4,3,6,1,51,24240,
2024,P11,P205,P27,484,40,0,0,14,2,227,724,13,5,25,2,12,3093,
2024,P11,P205,P28,95,40,0,0,8,2,17,152,6,2,2,5,193,176236,
2024,P11,P205,P29,630,40,0,0,18,14,71,723,25,4,21,0,15,4603,
2024,P11,P205,P30,331,40,0,0,16,8,124,489,9,7,14,8,112,32653,
2024,P11,P205,P31,165,40,0,0,4,2,4,203,3,3,6,1,18,32678,
2024,P11,P205,P32,78,0,0,0,4,2,1,73,3,3,6,1,4,1344,
2024,P12,P108,P02,0,0,0,0,0,0,0,0,0,0,0,0,1,515,
2024,P12,P108,P09,0,0,0,0,0,0,0,0,0,0,0,0,1,325,
2024,P12,P108,P14,0,0,0,0,0,0,0,0,0,0,0,0,1,400,
2024,P12,P205,P01,198,10,0,0,9,3,3,197,7,4,15,3,30,21984,
2024,P12,P205,P02,567,37,0,0,24,2,67,646,23,5,23,10,64,25234,
2024,P12,P205,P03,68,1,0,0,8,4,0,73,5,2,1,2,13,8573,
2024,P12,P205,P04,88,6,0,0,4,5,0,99,2,1,1,2,11,3926,
2024,P12,P205,P05,260,16,0,0,20,3,9,291,10,0,7,4,15,11059,
2024,P12,P205,P06,134,9,0,0,2,2,4,145,2,3,1,5,10,2056,
2024,P12,P205,P07,167,10,0,0,4,3,62,222,7,5,12,1,12,5290,
2024,P12,P205,P08,324,22,0,0,26,4,38,387,13,6,8,9,47,54833,
2024,P12,P205,P09,5980,449,0,0,319,170,531,6963,212,102,172,122,278,356538,
2024,P12,P205,P10,41,3,0,0,0,0,4,48,0,0,0,1,6,2295,
2024,P12,P205,P11,790,53,0,0,16,10,140,948,21,9,31,15,104,83767,
2024,P12,P205,P12,163,9,0,0,7,1,28,193,3,5,7,1,13,5684,
2024,P12,P205,P13,207,19,0,0,14,4,4,231,5,6,6,1,21,21150,
2024,P12,P205,P14,1738,98,0,0,36,30,125,1914,41,21,51,27,179,149925,
2024,P12,P205,P15,495,49,0,0,38,8,92,637,22,8,15,9,666,812057,
2024,P12,P205,P16,424,20,0,0,11,1,82,503,17,4,14,6,18,54916,
2024,P12,P205,P17,318,22,0,0,18,5,38,370,13,1,17,9,120,39631,
2024,P12,P205,P18,50,4,0,0,3,1,4,58,1,1,2,0,4,852,
2024,P12,P205,P19,1497,60,0,0,25,14,1468,3011,19,11,23,10,105,90183,
2024,P12,P205,P20,150,13,0,0,6,2,14,171,6,1,7,3,12,6157,
2024,P12,P205,P21,620,43,0,0,37,10,154,792,26,15,31,11,322,345195,
2024,P12,P205,P22,368,21,0,0,6,13,14,395,11,3,13,9,16,47767,
2024,P12,P205,P23,276,13,0,0,10,7,48,333,4,6,11,4,18,9025,
2024,P12,P205,P24,300,16,0,0,7,2,33,338,9,2,9,7,13,18934,
2024,P12,P205,P25,205,12,0,0,9,0,28,230,7,5,12,1,10,7686,
2024,P12,P205,P26,335,15,0,0,10,9,38,369,14,5,19,4,35,28670,
2024,P12,P205,P27,123,11,0,0,2,1,9,141,0,3,2,0,9,10368,
2024,P12,P205,P28,466,34,0,0,15,3,231,720,9,5,15,9,191,221216,
2024,P12,P205,P29,86,10,0,0,4,2,14,113,1,0,2,0,20,12239,
2024,P12,P205,P30,647,50,0,0,21,8,77,750,19,14,20,10,133,44890,
2024,P12,P205,P31,320,17,0,0,9,3,111,438,8,3,11,1,32,15208,
2024,P12,P205,P32,101,7,0,0,3,0,9,107,5,3,5,2,3,1282,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
