C601,C602,R004-0801,R004-0802,R004-0803
2023,P10,42646,24745032,328890
2023,P10,117210,85044262,189482
2023,P10,203564,55644895,191221
2023,P10,203575,118124211,337322
2023,P10,203577,130246242,276039
2023,P10,203627,79450433,137681
2023,P10,203744,65669558,261071
2023,P10,424076,36264762,533351
2023,P10,424077,128944729,1490846
2023,P10,561716,239955326,2893907
2023,P10,618395,149168323,275448
2023,P10,575125,662419552,8584836
2023,P10,567755,443540177,750657
2023,P10,567736,178751204,641832
2023,P10,567742,195796395,775360
2023,P10,826843,51971945,243545
2023,P11,42646,25487263,240046
2023,P11,117210,82269370,185426
2023,P11,203564,53428269,185735
2023,P11,203575,113379487,327530
2023,P11,203577,125295152,268628
2023,P11,203627,76721320,134494
2023,P11,203744,62880121,252882
2023,P11,424076,34560664,609027
2023,P11,424077,131857000,1813352
2023,P11,561716,239317592,2882440
2023,P11,618395,144789085,270464
2023,P11,575125,651354628,8431131
2023,P11,567755,429782401,735814
2023,P11,567736,178039742,646696
2023,P11,567742,197776751,792292
2023,P11,826843,65323434,309665
2023,P12,42646,25745322,238381
2023,P12,117210,83018026,180959
2023,P12,203564,53594222,180183
2023,P12,203575,113800683,317933
2023,P12,203577,126029462,261314
2023,P12,203627,77321082,131087
2023,P12,203744,62981493,244958
2023,P12,424076,31390327,440899
2023,P12,424077,133555051,1448336
2023,P12,561716,249489293,3585232
2023,P12,618395,146401304,264480
2023,P12,575125,676559726,8450532
2023,P12,567755,433200405,717269
2023,P12,567736,185525633,651720
2023,P12,567742,208111977,806271
2023,P12,826843,83783564,384110
,,,,
,,,,
