C601,C602,C102,C103,R006-0201,
2024,P10,P01,P01,"17,058,007 ",
2024,P10,P01,P02,"2,025,542 ",
2024,P10,P01,P03,"2,345,716 ",
2024,P10,P02,P02,"74,211 ",
2024,P10,P02,P03,"856,939 ",
2024,P11,P01,P01,"17,247,691 ",
2024,P11,P01,P02,"2,039,704 ",
2024,P11,P01,P03,"2,364,005 ",
2024,P11,P02,P02,"72,873 ",
2024,P11,P02,P03,"858,210 ",
2024,P12,P01,P01,"17,485,240 ",
2024,P12,P01,P02,"2,058,332 ",
2024,P12,P01,P03,"2,386,493 ",
2024,P12,P02,P02,"71,570 ",
2024,P12,P02,P03,"862,146 ",
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
