C601,C602,C006,R006-0301,R006-0302,R006-0303,R006-0304,R006-0305,R006-0306,R006-0307
2024,P10,33,NA,NA,807058,NA,402940,NA,NA
2024,P10,55,NA,NA,5770886,NA,1756349,NA,NA
2024,P10,56,NA,NA,1731584,NA,771840,NA,NA
2024,P10,81,NA,NA,418226,NA,274264,NA,NA
2024,P10,220,NA,NA,20,NA,4317,NA,NA
2024,P10,221,NA,NA,210084,NA,88079,NA,NA
2024,P10,222,NA,NA,344687,NA,111601,NA,NA
2024,P10,223,NA,NA,1559,NA,908,NA,NA
2024,P10,224,NA,NA,166,NA,110,NA,NA
2024,P10,225,NA,NA,6680,NA,3078,NA,NA
2024,P10,226,NA,NA,435,NA,221,NA,NA
2024,P10,227,NA,NA,4886,NA,2401,NA,NA
2024,P10,228,NA,NA,148136,NA,51485,NA,NA
2024,P10,229,NA,NA,234364,NA,85606,NA,NA
2024,P10,231,NA,NA,8701,NA,3651,NA,NA
2024,P10,232,NA,NA,10317,NA,4291,NA,NA
2024,P10,233,NA,NA,20,NA,56,NA,NA
2024,P10,235,NA,NA,320,NA,228,NA,NA
2024,P10,236,NA,NA,11,NA,19,NA,NA
2024,P10,237,NA,NA,22913,NA,6629,NA,NA
2024,P10,238,NA,NA,38822,NA,17139,NA,NA
2024,P10,241,NA,NA,33738,NA,14396,NA,NA
2024,P10,243,NA,NA,3671,NA,2374,NA,NA
2024,P10,244,NA,NA,15934,NA,7817,NA,NA
2024,P10,245,NA,NA,461,NA,241,NA,NA
2024,P10,246,NA,NA,50879,NA,22379,NA,NA
2024,P10,247,NA,NA,8775,NA,3869,NA,NA
2024,P10,248,NA,NA,16399,NA,7524,NA,NA
2024,P10,249,NA,NA,1656,NA,760,NA,NA
2024,P10,271,NA,NA,73727,NA,27453,NA,NA
2024,P10,272,NA,NA,73996,NA,29448,NA,NA
2024,P10,273,NA,NA,1682,NA,983,NA,NA
2024,P10,274,NA,NA,2822,NA,1249,NA,NA
2024,P10,275,NA,NA,2,NA,12,NA,NA
2024,P10,276,NA,NA,550,NA,373,NA,NA
2024,P10,278,NA,NA,1378,NA,763,NA,NA
2024,P10,279,NA,NA,283,NA,188,NA,NA
2024,P10,281,NA,NA,375,NA,215,NA,NA
2024,P10,282,NA,NA,1636,NA,790,NA,NA
2024,P10,283,NA,NA,0,NA,50,NA,NA
2024,P10,284,NA,NA,197,NA,170,NA,NA
2024,P10,285,NA,NA,1304,NA,783,NA,NA
2024,P10,287,NA,NA,7322,NA,3622,NA,NA
2024,P10,288,NA,NA,2997,NA,1474,NA,NA
2024,P10,294,NA,NA,2292,NA,1081,NA,NA
2024,P10,296,NA,NA,1994,NA,945,NA,NA
2024,P10,297,NA,NA,550,NA,364,NA,NA
2024,P10,311,NA,NA,34743,NA,19722,NA,NA
2024,P10,312,NA,NA,38661,NA,26049,NA,NA
2024,P10,313,NA,NA,4561,NA,4001,NA,NA
2024,P10,314,NA,NA,25757,NA,15568,NA,NA
2024,P10,315,NA,NA,1700,NA,1092,NA,NA
2024,P10,317,NA,NA,265,NA,247,NA,NA
2024,P10,319,NA,NA,259,NA,259,NA,NA
2024,P10,321,NA,NA,6,NA,4,NA,NA
2024,P10,322,NA,NA,43305,NA,25608,NA,NA
2024,P10,323,NA,NA,684,NA,560,NA,NA
2024,P10,324,NA,NA,203,NA,149,NA,NA
2024,P10,325,NA,NA,222,NA,153,NA,NA
2024,P10,327,NA,NA,208,NA,183,NA,NA
2024,P10,341,NA,NA,11728,NA,6986,NA,NA
2024,P10,342,NA,NA,183,NA,156,NA,NA
2024,P10,343,NA,NA,0,NA,4,NA,NA
2024,P10,344,NA,NA,0,NA,1,NA,NA
2024,P10,346,NA,NA,10,NA,5,NA,NA
2024,P10,347,NA,NA,206,NA,178,NA,NA
2024,P10,348,NA,NA,13572,NA,7671,NA,NA
2024,P10,351,NA,NA,12403,NA,8810,NA,NA
2024,P10,352,NA,NA,8005,NA,5042,NA,NA
2024,P10,353,NA,NA,2513,NA,1986,NA,NA
2024,P10,354,NA,NA,1300,NA,897,NA,NA
2024,P10,356,NA,NA,1,NA,4,NA,NA
2024,P10,358,NA,NA,23,NA,16,NA,NA
2024,P10,373,NA,NA,430,NA,164,NA,NA
2024,P10,374,NA,NA,743,NA,439,NA,NA
2024,P10,375,NA,NA,1269,NA,1202,NA,NA
2024,P10,376,NA,NA,55,NA,46,NA,NA
2024,P10,378,NA,NA,9060,NA,5939,NA,NA
2024,P10,384,NA,NA,354,NA,244,NA,NA
2024,P10,386,NA,NA,72,NA,98,NA,NA
2024,P10,387,NA,NA,0,NA,2,NA,NA
2024,P10,388,NA,NA,12,NA,11,NA,NA
2024,P10,389,NA,NA,77,NA,77,NA,NA
2024,P10,391,NA,NA,154,NA,136,NA,NA
2024,P10,392,NA,NA,5835,NA,3363,NA,NA
2024,P10,393,NA,NA,2089,NA,1645,NA,NA
2024,P10,395,NA,NA,1044,NA,1409,NA,NA
2024,P10,411,NA,NA,4955,NA,2858,NA,NA
2024,P10,412,NA,NA,1910,NA,936,NA,NA
2024,P10,413,NA,NA,931,NA,563,NA,NA
2024,P10,414,NA,NA,2787,NA,1799,NA,NA
2024,P10,415,NA,NA,23626,NA,11678,NA,NA
2024,P10,417,NA,NA,1560,NA,899,NA,NA
2024,P10,418,NA,NA,13555,NA,6243,NA,NA
2024,P10,419,NA,NA,1729,NA,928,NA,NA
2024,P10,421,NA,NA,24,NA,38,NA,NA
2024,P10,425,NA,NA,619,NA,536,NA,NA
2024,P10,427,NA,NA,27231,NA,14084,NA,NA
2024,P10,428,NA,NA,727,NA,404,NA,NA
2024,P10,429,NA,NA,1718,NA,913,NA,NA
2024,P10,431,NA,NA,211,NA,221,NA,NA
2024,P10,432,NA,NA,481,NA,369,NA,NA
2024,P10,433,NA,NA,140,NA,142,NA,NA
2024,P10,434,NA,NA,2910,NA,2485,NA,NA
2024,P10,435,NA,NA,0,NA,5,NA,NA
2024,P10,436,NA,NA,337,NA,262,NA,NA
2024,P10,437,NA,NA,0,NA,8,NA,NA
2024,P10,438,NA,NA,4,NA,4,NA,NA
2024,P10,440,NA,NA,856,NA,772,NA,NA
2024,P10,441,NA,NA,2173,NA,1413,NA,NA
2024,P10,442,NA,NA,274019,NA,109070,NA,NA
2024,P10,443,NA,NA,78215,NA,46980,NA,NA
2024,P10,444,NA,NA,208748,NA,96994,NA,NA
2024,P10,445,NA,NA,1946,NA,790,NA,NA
2024,P10,446,NA,NA,19056,NA,16171,NA,NA
2024,P10,447,NA,NA,400,NA,324,NA,NA
2024,P10,448,NA,NA,4946,NA,4848,NA,NA
2024,P10,449,NA,NA,141658,NA,79682,NA,NA
2024,P10,451,NA,NA,0,NA,1,NA,NA
2024,P10,452,NA,NA,18033,NA,12062,NA,NA
2024,P10,453,NA,NA,2253,NA,1482,NA,NA
2024,P10,454,NA,NA,0,NA,1,NA,NA
2024,P10,456,NA,NA,5186,NA,2552,NA,NA
2024,P10,457,NA,NA,4,NA,16,NA,NA
2024,P10,458,NA,NA,723,NA,569,NA,NA
2024,P10,459,NA,NA,0,NA,13,NA,NA
2024,P10,461,NA,NA,89824,NA,35859,NA,NA
2024,P10,462,NA,NA,88425,NA,38705,NA,NA
2024,P10,463,NA,NA,0,NA,4,NA,NA
2024,P10,464,NA,NA,43790,NA,20428,NA,NA
2024,P10,465,NA,NA,2273,NA,1859,NA,NA
2024,P10,466,NA,NA,1048,NA,556,NA,NA
2024,P10,467,NA,NA,0,NA,6,NA,NA
2024,P10,468,NA,NA,1950,NA,921,NA,NA
2024,P10,469,NA,NA,2426,NA,1215,NA,NA
2024,P10,472,NA,NA,21750,NA,11197,NA,NA
2024,P10,473,NA,NA,53872,NA,26354,NA,NA
2024,P10,474,NA,NA,9567,NA,5680,NA,NA
2024,P10,475,NA,NA,257,NA,187,NA,NA
2024,P10,476,NA,NA,25221,NA,13169,NA,NA
2024,P10,477,NA,NA,374299,NA,148504,NA,NA
2024,P10,478,NA,NA,1067,NA,738,NA,NA
2024,P10,479,NA,NA,12489,NA,10527,NA,NA
2024,P10,481,NA,NA,2979,NA,2219,NA,NA
2024,P10,482,NA,NA,0,NA,2,NA,NA
2024,P10,483,NA,NA,84,NA,107,NA,NA
2024,P10,485,NA,NA,240,NA,211,NA,NA
2024,P10,486,NA,NA,9,NA,16,NA,NA
2024,P10,487,NA,NA,1597,NA,1187,NA,NA
2024,P10,488,NA,NA,1072,NA,1088,NA,NA
2024,P10,489,NA,NA,193,NA,186,NA,NA
2024,P10,492,NA,NA,43742,NA,26605,NA,NA
2024,P10,493,NA,NA,9292,NA,7169,NA,NA
2024,P10,494,NA,NA,1299,NA,888,NA,NA
2024,P10,495,NA,NA,1566,NA,1082,NA,NA
2024,P10,496,NA,NA,243,NA,173,NA,NA
2024,P10,498,NA,NA,520,NA,384,NA,NA
2024,P10,499,NA,NA,0,NA,4,NA,NA
2024,P10,591,NA,NA,0,NA,5,NA,NA
