C601,C602,C005,R011-0601,R011-0602,R011-0603,R011-0604,R011-0605,R011-0606,R011-0607,R011-0608
2024,P10,P01,0,0,16210,0,461380,0,291514,0
2024,P10,P02,0,0,14895,0,206640,0,9881,0
2024,P10,P03,0,0,24560,0,470387,0,192812,0
2024,P10,P04,0,0,74516,0,659092,0,560059,0
2024,P10,P05,0,0,59609,0,1246149,0,10444,0
2024,P10,P06,0,0,91219,0,1779248,0,44303,0
2024,P10,P07,0,0,107922,0,2086236,0,63555,0
2024,P10,P08,0,0,126339,0,1908099,0,45585,0
2024,P10,P09,0,0,505219,0,8482817,0,941730,0
2024,P11,P01,0,0,15058,0,468041,0,274646,0
2024,P11,P02,0,0,13184,0,211340,0,10298,0
2024,P11,P03,0,0,24387,0,474761,0,257663,0
2024,P11,P04,0,0,75037,0,626751,0,573056,0
2024,P11,P05,0,0,60618,0,1260714,0,10956,0
2024,P11,P06,0,0,91775,0,1778306,0,80229,0
2024,P11,P07,0,0,103488,0,2123009,0,63883,0
2024,P11,P08,0,0,116139,0,1922392,0,48323,0
2024,P11,P09,0,0,487940,0,8387595,0,1064725,0
2024,P12,P01,0,0,13529,0,472125,0,214070,0
2024,P12,P02,0,0,11367,0,227742,0,7528,0
2024,P12,P03,0,0,23638,0,503528,0,163206,0
2024,P12,P04,0,0,74465,0,729441,0,509792,0
2024,P12,P05,0,0,58353,0,1283784,0,14944,0
2024,P12,P06,0,0,90707,0,1778859,0,81124,0
2024,P12,P07,0,0,103952,0,2437667,0,48840,0
2024,P12,P08,0,0,104417,0,1957184,0,37850,0
2024,P12,P09,0,0,459673,0,8381566,0,1120662,0
,,,,,,,,,,
