C601,C602,R011-1201,R011-1202,R011-1203,R011-1204,R011-1205
2024,P10,"IP MATRIX, S.A. DE C.V.",No,No,No,Si
2024,P10,CTL MEXICO LANDING S. DE R.L.,No,No,No,Si
2024,P10,Total Play Telecomunicaciones S.A. de .C.V.,No,No,No,Si
2024,P10,"AXTEL, S.A.B. DE C.V.",No,No,No,Si
2024,P10,Gold Data Mexico S. de RL. de CV.,No,No,No,Si
2024,P10,"Arelion México, S.A, de C.V",No,No,No,Si
2024,P10,Edge Network Services Limited,No,No,Si,No
2024,P10,"GOOGLE, INC",No,No,Si,No
2024,P10,Netflix Streaming Services International B.V.,No,No,Si,No
2024,P11,"IP MATRIX, S.A. DE C.V.",No,No,No,Si
2024,P11,CTL MEXICO LANDING S. DE R.L.,No,No,No,Si
2024,P11,Total Play Telecomunicaciones S.A. de .C.V.,No,No,No,Si
2024,P11,"AXTEL, S.A.B. DE C.V.",No,No,No,Si
2024,P11,Gold Data Mexico S. de RL. de CV.,No,No,No,Si
2024,P11,"Arelion México, S.A, de C.V",No,No,No,Si
2024,P11,Edge Network Services Limited,No,No,Si,No
2024,P11,"GOOGLE, INC",No,No,Si,No
2024,P11,Netflix Streaming Services International B.V.,No,No,Si,No
2024,P12,"IP MATRIX, S.A. DE C.V.",No,No,No,Si
2024,P12,CTL MEXICO LANDING S. DE R.L.,No,No,No,Si
2024,P12,Total Play Telecomunicaciones S.A. de .C.V.,No,No,No,Si
2024,P12,"AXTEL, S.A.B. DE C.V.",No,No,No,Si
2024,P12,Gold Data Mexico S. de RL. de CV.,No,No,No,Si
2024,P12,"Arelion México, S.A, de C.V",No,No,No,Si
2024,P12,Edge Network Services Limited,No,No,Si,No
2024,P12,"GOOGLE, INC",No,No,Si,No
2024,P12,Netflix Streaming Services International B.V.,No,No,Si,No
