C601,C602,R019-0201,R019-0202,R019-0203,R019-0204,R019-0205,R019-0206
2024,P10,ALTAN,NA,NA,NA,142175772,5098182
2024,P10,AXTEL,NA,NA,NA,6603438,10242
2024,P10,CABLECOM REY,NA,NA,NA,14451,0
2024,P10,CABLEMAS,NA,NA,NA,4928200,0
2024,P10,"CELMAX MOVIL, S.A. DE C.V.",NA,NA,NA,0,2760
2024,P10,CENTERNEXT,NA,NA,NA,1315951,0
2024,P10,COEFICIENTE,NA,NA,NA,21602,0
2024,P10,COMUNICALO,NA,NA,NA,559026,0
2024,P10,CONNECT,NA,NA,NA,144368,425181
2024,P10,CONVERGIA,NA,NA,NA,5239190,0
2024,P10,COORDINADORA DE CARRIERS,NA,NA,NA,3937942,0
2024,P10,DIALOGA,NA,NA,NA,708,0
2024,P10,"DIRECTO TELECOM, S.A. DE C.V.",NA,NA,NA,12217280,12299585
2024,P10,FLYNODE,NA,NA,NA,542274,0
2024,P10,"IENTC, S. DE R.L. DE C.V.",NA,NA,NA,12485,0
2024,P10,"INBTEL, S.A. DE C.V.",NA,NA,NA,1995201,0
2024,P10,IP MATRIX,NA,NA,NA,49684,0
2024,P10,JAPIFON,NA,NA,NA,0,20857778
2024,P10,KIWI NETWORKS,NA,NA,NA,1065,0
2024,P10,MAXCOM,NA,NA,NA,459745,0
2024,P10,MEGA CABLE,NA,NA,NA,6686438,1037669
2024,P10,MEGACABLE (MCM),NA,NA,NA,6120181,6762746
2024,P10,METRORED,NA,NA,NA,424547,0
2024,P10,Movistar PCS,NA,NA,NA,272789259,5732565
2024,P10,NGX NETWORKS,NA,NA,NA,31402,0
2024,P10,OPENIP,NA,NA,NA,1395847,2042127
2024,P10,OPERBES,NA,NA,NA,12747729,0
2024,P10,"OXIO MOBILE, S.A. DE C.V.",NA,NA,NA,70148,2284
2024,P10,ROBOT,NA,NA,NA,2961044,8278718
2024,P10,SERVNET,NA,NA,NA,5250545,151564
2024,P10,SPARKTELECOMM,NA,NA,NA,0,5732506
2024,P10,STARSATEL,NA,NA,NA,55,0
2024,P10,TELCEL,NA,NA,NA,1230779783,33689521
2024,P10,TELECOMMERCE,NA,NA,NA,1531344,3670275
2024,P10,TELEVISION INTERNACIONAL,NA,NA,NA,5992727,106042
2024,P10,TELIGENTIA,NA,NA,NA,1770598,0
2024,P10,TELMEX,NA,NA,NA,40658010,0
2024,P10,TELNOR,NA,NA,NA,137266,0
2024,P10,TOTAL PLAY,NA,NA,NA,10955434,0
2024,P10,UC TELECOM,NA,NA,NA,1218807,0
2024,P10,VADSA,NA,NA,NA,13,5639471
2024,P10,VINOC,NA,NA,NA,38849,4140237
2024,P11,ALTAN,NA,NA,NA,142415641,4655059
2024,P11,AXTEL,NA,NA,NA,6509641,9737
2024,P11,CABLECOM REY,NA,NA,NA,13052,0
2024,P11,CABLEMAS,NA,NA,NA,4389121,0
2024,P11,"CELMAX MOVIL, S.A. DE C.V.",NA,NA,NA,0,2091
2024,P11,CENTERNEXT,NA,NA,NA,1561179,0
2024,P11,COEFICIENTE,NA,NA,NA,21972,0
2024,P11,COMUNICALO,NA,NA,NA,729174,0
2024,P11,CONNECT,NA,NA,NA,210208,249668
2024,P11,CONVERGIA,NA,NA,NA,5437395,0
2024,P11,COORDINADORA DE CARRIERS,NA,NA,NA,3595515,0
2024,P11,DIALOGA,NA,NA,NA,426,0
2024,P11,"DIRECTO TELECOM, S.A. DE C.V.",NA,NA,NA,14485464,10707050
2024,P11,FLYNODE,NA,NA,NA,600541,0
2024,P11,"IENTC, S. DE R.L. DE C.V.",NA,NA,NA,13441,0
2024,P11,"INBTEL, S.A. DE C.V.",NA,NA,NA,2072941,0
2024,P11,IP MATRIX,NA,NA,NA,213260,0
2024,P11,JAPIFON,NA,NA,NA,0,27763775
2024,P11,KIWI NETWORKS,NA,NA,NA,812,0
2024,P11,LAYER7,NA,NA,NA,5,0
2024,P11,MAXCOM,NA,NA,NA,149494,0
2024,P11,MEGA CABLE,NA,NA,NA,6187180,702924
2024,P11,MEGACABLE (MCM),NA,NA,NA,6315222,4728797
2024,P11,METRORED,NA,NA,NA,394166,0
2024,P11,Movistar PCS,NA,NA,NA,263913037,5574029
2024,P11,NGX NETWORKS,NA,NA,NA,27755,0
2024,P11,OPENIP,NA,NA,NA,1182552,1721473
2024,P11,OPERBES,NA,NA,NA,9561339,0
2024,P11,"OXIO MOBILE, S.A. DE C.V.",NA,NA,NA,68445,2295
2024,P11,ROBOT,NA,NA,NA,2355449,6337417
2024,P11,SERVNET,NA,NA,NA,6895525,117874
2024,P11,SPARKTELECOMM,NA,NA,NA,0,10118515
2024,P11,STARSATEL,NA,NA,NA,15,0
2024,P11,TELCEL,NA,NA,NA,1174613540,33627905
2024,P11,TELECOMMERCE,NA,NA,NA,977432,1009710
2024,P11,TELEVISION INTERNACIONAL,NA,NA,NA,5950420,123733
2024,P11,TELIGENTIA,NA,NA,NA,1631814,0
2024,P11,TELMEX,NA,NA,NA,37385707,0
2024,P11,TELNOR,NA,NA,NA,125933,0
2024,P11,TOTAL PLAY,NA,NA,NA,10274369,0
2024,P11,UC TELECOM,NA,NA,NA,836139,0
2024,P11,VADSA,NA,NA,NA,3597,5418706
2024,P11,VINOC,NA,NA,NA,75182,7726221
2024,P12,ALTAN,NA,NA,NA,144472280,4836472
2024,P12,AXTEL,NA,NA,NA,6700488,8529
2024,P12,CABLECOM REY,NA,NA,NA,7002,0
