C601,C602,R021-0201,R021-0202,R021-0203,R021-0204
2024,P10,Antel,No,Si,Si
2024,P10,AT&T,No,Si,Si
2024,P10,AT&T MOBILITY - MX_UK,No,Si,Si
2024,P10,China Mobile International Limited,No,Si,Si
2024,P10,China Unicom,No,Si,Si
2024,P10,COMUNICACIONES CELULARES - S.A. COMCEL,No,Si,Si
2024,P10,Entel Peru S.A.,No,Si,Si
2024,P10,ETECSA,No,Si,Si
2024,P10,Hong Kong Telecommunications (HKT) Limited,No,Si,Si
2024,P10,JT (Jersey) Limited,No,Si,Si
2024,P10,KT Corporation,No,Si,Si
2024,P10,Manx Telecom,No,Si,Si
2024,P10,Otros,No,Si,Si
2024,P10,Polkomtel Sp. z o.o.,No,Si,Si
2024,P10,Proximus SA/NV,No,Si,Si
2024,P10,TELECOM ARGENTINA S.A.,No,Si,Si
2024,P10,Telekom Deutschland GmbH,No,Si,Si
2024,P10,Telenor Sverige AB,No,Si,Si
2024,P10,TELUS,No,Si,Si
2024,P10,T-Mobile Austria GmbH,No,Si,Si
2024,P10,U.S. Cellular Corporation,No,Si,Si
2024,P10,Vodafone Roaming Services S.a.r.l.,No,Si,Si
2024,P11,Antel,No,Si,Si
2024,P11,AT&T,No,Si,Si
2024,P11,AT&T MOBILITY - MX_UK,No,Si,Si
2024,P11,China Mobile International Limited,No,Si,Si
2024,P11,China Unicom,No,Si,Si
2024,P11,COMUNICACIONES CELULARES - S.A. COMCEL,No,Si,Si
2024,P11,Entel Peru S.A.,No,Si,Si
2024,P11,ETECSA,No,Si,Si
2024,P11,Hong Kong Telecommunications (HKT) Limited,No,Si,Si
2024,P11,JT (Jersey) Limited,No,Si,Si
2024,P11,KT Corporation,No,Si,Si
2024,P11,Manx Telecom,No,Si,Si
2024,P11,Otros,No,Si,Si
2024,P11,Polkomtel Sp. z o.o.,No,Si,Si
2024,P11,Proximus SA/NV,No,Si,Si
2024,P11,TELECOM ARGENTINA S.A.,No,Si,Si
2024,P11,Telekom Deutschland GmbH,No,Si,Si
2024,P11,Telenor Sverige AB,No,Si,Si
2024,P11,TELUS,No,Si,Si
2024,P11,T-Mobile Austria GmbH,No,Si,Si
2024,P11,U.S. Cellular Corporation,No,Si,Si
2024,P11,Vodafone Roaming Services S.a.r.l.,No,Si,Si
2024,P12,Antel,No,Si,Si
2024,P12,AT&T,No,Si,Si
2024,P12,AT&T MOBILITY - MX_UK,No,Si,Si
2024,P12,China Mobile International Limited,No,Si,Si
2024,P12,China Unicom,No,Si,Si
2024,P12,COMUNICACIONES CELULARES - S.A. COMCEL,No,Si,Si
2024,P12,Entel Peru S.A.,No,Si,Si
2024,P12,ETECSA,No,Si,Si
2024,P12,Hong Kong Telecommunications (HKT) Limited,No,Si,Si
2024,P12,JT (Jersey) Limited,No,Si,Si
2024,P12,KT Corporation,No,Si,Si
2024,P12,Manx Telecom,No,Si,Si
2024,P12,Otros,No,Si,Si
2024,P12,Polkomtel Sp. z o.o.,No,Si,Si
2024,P12,Proximus SA/NV,No,Si,Si
2024,P12,TELECOM ARGENTINA S.A.,No,Si,Si
2024,P12,Telekom Deutschland GmbH,No,Si,Si
2024,P12,Telenor Sverige AB,No,Si,Si
2024,P12,TELUS,No,Si,Si
2024,P12,T-Mobile Austria GmbH,No,Si,Si
2024,P12,U.S. Cellular Corporation,No,Si,Si
2024,P12,Vodafone Roaming Services S.a.r.l.,No,Si,Si
