C601,C003,R027-0201,R027-0202,R027-0203,R027-0204,R027-0205
2024,P140020001,SI,NO,SI,NO,NO
2024,P140020002,SI,NO,SI,NO,NO
2024,P141140001,SI,NO,SI,NO,NO
2024,P141140002,SI,NO,SI,NO,NO
2024,P141140005,SI,NO,SI,NO,NO
2024,P141190001,SI,NO,SI,NO,NO
2024,P141190005,SI,NO,SI,NO,NO
2024,P141190011,SI,NO,SI,NO,NO
2024,P141190002,NO,NO,NO,NO,NO
2024,P141190003,SI,NO,SI,NO,NO
2024,P141190004,SI,NO,SI,NO,NO
2024,P141190014,SI,NO,SI,NO,NO
2024,P141190006,SI,NO,SI,NO,NO
2024,P141190009,SI,NO,SI,NO,NO
2024,P141190018,SI,NO,SI,NO,NO
2024,P140020025,SI,NO,SI,NO,NO
2024,P140820001,SI,NO,NO,NO,NO
2024,P210530001,SI,NO,NO,NO,NO
2024,P212080001,SI,NO,NO,NO,NO
2024,P240110001,SI,NO,SI,NO,NO
2024,P240240069,SI,NO,SI,NO,NO
2024,P240240001,SI,NO,SI,NO,NO
