C601,C003,R027-0401,R027-0402,R027-0403,R027-0404
2024,P140020001,NO,SI,SI ,NO
2024,P140020002,NO,SI,SI ,NO
2024,P141140001,NO,SI,SI ,NO
2024,P141140002,NO,SI,SI ,NO
2024,P141140005,NO,SI,SI ,NO
2024,P141190001,NO,SI,SI ,NO
2024,P141190005,NO,SI,SI ,NO
2024,P141190011,NO,SI,SI ,NO
2024,P141190002,NO,SI,SI ,NO
2024,P141190003,NO,SI,SI ,NO
2024,P141190004,NO,SI,SI ,NO
2024,P141190014,NO,SI,SI ,NO
2024,P141190006,NO,SI,SI ,NO
2024,P141190009,NO,SI,SI ,NO
2024,P141190018,NO,SI,SI ,NO
2024,P140020025,NO,SI,SI ,NO
2024,P140820001,NO,SI,SI ,NO
2024,P140890001,NO,SI,SI ,NO
2024,P140140001,NO,SI,SI ,NO
2024,P140040001,NO,SI,SI ,NO
2024,P210530001,NO,SI,SI ,NO
2024,P212080001,NO,SI,SI ,NO
2024,P240110001,NO,SI,SI ,NO
2024,P240240069,NO,SI,SI ,NO
2024,P240240001,NO,SI,SI ,NO
