C601,C003,R027-0501,R027-0502,R027-0503,R027-0504,R027-0505,R027-0506
2024,P140020001,NO,NO,NO,NO,NO,NO
2024,P140020002,NO,NO,NO,NO,NO,NO
2024,P141140001,NO,NO,NO,NO,NO,NO
2024,P141140002,NO,NO,NO,NO,NO,NO
2024,P141140005,NO,NO,NO,NO,NO,NO
2024,P141190001,NO,NO,NO,NO,NO,NO
2024,P141190005,NO,NO,NO,NO,NO,NO
2024,P141190011,NO,NO,NO,NO,NO,NO
2024,P141190002,NO,NO,NO,NO,NO,NO
2024,P141190003,NO,NO,NO,NO,NO,NO
2024,P141190004,NO,NO,NO,NO,NO,NO
2024,P141190014,NO,NO,NO,NO,NO,NO
2024,P141190006,NO,NO,NO,NO,NO,NO
2024,P141190009,NO,NO,NO,NO,NO,NO
2024,P141190018,NO,NO,NO,NO,NO,NO
2024,P140020025,NO,NO,NO,NO,NO,NO
2024,P140820001,NO,NO,NO,NO,NO,NO
2024,P140890001,NO,NO,NO,NO,NO,NO
2024,P140140001,NO,NO,NO,NO,NO,NO
2024,P140040001,NO,NO,NO,NO,NO,NO
2024,P210530001,NO,NO,NO,NO,NO,NO
2024,P212080001,NO,NO,NO,NO,NO,NO
2024,P240110001,NO,NO,NO,NO,NO,NO
2024,P240240069,NO,NO,NO,NO,NO,NO
2024,P240240001,NO,NO,NO,NO,NO,NO
