C601,C602,R014-0301,R014-0302,R014-0303,R014-0304,R014-0305
2024,P10,"Agencia Digital, SA de CV",Sí,No,No,No
2024,P10,Amx Contenido SA de CV,Sí,No,No,No
2024,P10,"Atresmedia Corporacion De Medios De Comunicación, SA",Sí,No,No,No
2024,P10,"Cine Latino, Inc.",Sí,No,No,No
2024,P10,"Discovery Networks, S.L.",Sí,No,No,No
2024,P10,"DMS Media Services, Llc.",Sí,No,Sí,No
2024,P10,"Ole distribution, Llc.",Sí,No,Sí,No
2024,P10,"ESPN Mexico, SA De CV",Sí,No,No,No
2024,P10,Hola Tv Us LLC,Sí,No,No,No
2024,P10,"Megacable, SA De CV.",Sí,No,No,No
2024,P10,"MTV Networks Latin America, Llc",Sí,No,Sí,No
2024,P10,MVS Net SA De CV,Sí,No,No,No
2024,P10,Claxson Media BV,Sí,No,Sí,No
2024,P10,"Productora Y Comercializadora De Televisión, Sa De Cv. (Pctv)",Sí,No,No,No
2024,P10,"Teleformula, SA De CV.",Sí,No,No,No
2024,P10,"Turner International Latin America, Inc.",Sí,No,No,No
2024,P10,WDC Mexico S De RL De CV,Sí,No,No,No
2024,P10,Servicios Comerciales Amazon México S. de R.L.de C.V.,No,No,Sí,No
2024,P10,"AMC Networks Latin America, LLC.",Sí,No,No,No
2024,P10,"Latin  American  Golf, SLU",Sí,No,No,No
2024,P10,"NFL International Licensing, Inc. ",Sí,No,No,No
2024,P10,NBA Properties Inc.,Sí,No,No,No
2024,P10,"Tele Red Imagen, SA  ",Sí,No,No,No
2024,P10,"The Outdoor Channel, Inc.",Sí,No,No,No
2024,P10,"PXTV Action Latama, SA DE CV",Sí,No,No,No
2024,P10,"Televisión  Interactiva  ITV, SA DE CV",Sí,No,No,No
2024,P10,Mediabox Broadcasting International LTD,Sí,No,No,No
2024,P10,MBA Networks Corp.,Sí,No,No,No
2024,P10,TRACE Global,Sí,No,No,No
2024,P10,Hispanic Information and Telecommunication,No,No,Sí,No
2024,P10,Netflix Mexico,No,No,Sí,No
2024,P10,Baby Firts TV Inc.,No,No,Sí,No
2024,P10,NBC Universal Global Networks Latin America LLC,No,No,Sí,No
2024,P10,"REMOW Co., Ltd",No,No,Sí,No
2024,P10,Digital Media Distribution Limited,No,No,Sí,No
2024,P10,"SES México, S de RL de CV.",Sí,No,No,No
2024,P10,TV Azteca S.A.B. de C.V.,No,No,Sí,No
2024,P10,"CORPORACIÓN DE RADIO Y TELEVISIÓN ESPAÑOLA, S.A. S.M.E",No,No,Sí,No
2024,P10,THEMA AMERICA INC,No,No,Sí,No
2024,P10,"VENEVISION CONTINENTAL, LLC",No,No,Sí,No
2024,P10,SINERGIA S DE RL DE CV.,No,No,Sí,No
2024,P10,HMTV Pasiones LatAm LLC,Sí,No,No,No
2024,P10,CARACOL TELEVISION SA,No,No,Sí,No
2024,P10,DAZN LIMITED,No,No,Sí,No
2024,P11,"Agencia Digital, SA de CV",Sí,No,No,No
2024,P11,Amx Contenido SA de CV,Sí,No,No,No
2024,P11,"Atresmedia Corporacion De Medios De Comunicación, SA",Sí,No,No,No
2024,P11,"Cine Latino, Inc.",Sí,No,No,No
2024,P11,"Discovery Networks, S.L.",Sí,No,No,No
2024,P11,"DMS Media Services, Llc.",Sí,No,Sí,No
2024,P11,"Ole distribution, Llc.",Sí,No,Sí,No
2024,P11,"ESPN Mexico, SA De CV",Sí,No,No,No
2024,P11,Hola Tv Us LLC,Sí,No,No,No
2024,P11,"Megacable, SA De CV.",Sí,No,No,No
2024,P11,"MTV Networks Latin America, Llc",Sí,No,Sí,No
2024,P11,MVS Net SA De CV,Sí,No,No,No
2024,P11,Claxson Media BV,Sí,No,Sí,No
2024,P11,"Productora Y Comercializadora De Televisión, Sa De Cv. (Pctv)",Sí,No,No,No
2024,P11,"Teleformula, SA De CV.",Sí,No,No,No
2024,P11,"Turner International Latin America, Inc.",Sí,No,No,No
2024,P11,WDC Mexico S De RL De CV,Sí,No,No,No
2024,P11,Servicios Comerciales Amazon México S. de R.L.de C.V.,No,No,Sí,No
2024,P11,"AMC Networks Latin America, LLC.",Sí,No,No,No
2024,P11,"Latin  American  Golf, SLU",Sí,No,No,No
2024,P11,"NFL International Licensing, Inc. ",Sí,No,No,No
2024,P11,NBA Properties Inc.,Sí,No,No,No
2024,P11,"Tele Red Imagen, SA  ",Sí,No,No,No
2024,P11,"The Outdoor Channel, Inc.",Sí,No,No,No
2024,P11,"PXTV Action Latama, SA DE CV",Sí,No,No,No
2024,P11,"Televisión  Interactiva  ITV, SA DE CV",Sí,No,No,No
2024,P11,Mediabox Broadcasting International LTD,Sí,No,No,No
2024,P11,MBA Networks Corp.,Sí,No,No,No
2024,P11,TRACE Global,Sí,No,No,No
2024,P11,Hispanic Information and Telecommunication,No,No,Sí,No
2024,P11,Baby Firts TV Inc.,No,No,Sí,No
2024,P11,NBC Universal Global Networks Latin America LLC,No,No,Sí,No
2024,P11,"REMOW Co., Ltd",No,No,Sí,No
2024,P11,Digital Media Distribution Limited,No,No,Sí,No
2024,P11,"SES México, S de RL de CV.",Sí,No,No,No
2024,P11,TV Azteca S.A.B. de C.V.,No,No,Sí,No
2024,P11,"CORPORACIÓN DE RADIO Y TELEVISIÓN ESPAÑOLA, S.A. S.M.E",No,No,Sí,No
2024,P11,THEMA AMERICA INC,No,No,Sí,No
2024,P11,"VENEVISION CONTINENTAL, LLC",No,No,Sí,No
2024,P11,SINERGIA S DE RL DE CV.,No,No,Sí,No
2024,P11,HMTV Pasiones LatAm LLC,Sí,No,No,No
2024,P11,CARACOL TELEVISION SA,No,No,Sí,No
2024,P11,DAZN LIMITED,No,No,Sí,No
2024,P12,"Agencia Digital, SA de CV",Sí,No,No,No
2024,P12,Amx Contenido SA de CV,Sí,No,No,No
2024,P12,"Atresmedia Corporacion De Medios De Comunicación, SA",Sí,No,No,No
2024,P12,"Cine Latino, Inc.",Sí,No,No,No
2024,P12,"Discovery Networks, S.L.",Sí,No,No,No
2024,P12,"DMS Media Services, Llc.",Sí,No,Sí,No
2024,P12,"Ole distribution, Llc.",Sí,No,Sí,No
2024,P12,"ESPN Mexico, SA De CV",Sí,No,No,No
2024,P12,Hola Tv Us LLC,Sí,No,No,No
2024,P12,"Megacable, SA De CV.",Sí,No,No,No
2024,P12,"MTV Networks Latin America, Llc",Sí,No,Sí,No
2024,P12,MVS Net SA De CV,Sí,No,No,No
2024,P12,Claxson Media BV,Sí,No,Sí,No
2024,P12,"Productora Y Comercializadora De Televisión, Sa De Cv. (Pctv)",Sí,No,No,No
2024,P12,"Teleformula, SA De CV.",Sí,No,No,No
2024,P12,"Turner International Latin America, Inc.",Sí,No,No,No
2024,P12,WDC Mexico S De RL De CV,Sí,No,No,No
2024,P12,Servicios Comerciales Amazon México S. de R.L.de C.V.,No,No,Sí,No
2024,P12,"AMC Networks Latin America, LLC.",Sí,No,No,No
2024,P12,"Latin  American  Golf, SLU",Sí,No,No,No
2024,P12,"NFL International Licensing, Inc. ",Sí,No,No,No
2024,P12,NBA Properties Inc.,Sí,No,No,No
2024,P12,"Tele Red Imagen, SA  ",Sí,No,No,No
2024,P12,"The Outdoor Channel, Inc.",Sí,No,No,No
2024,P12,"PXTV Action Latama, SA DE CV",Sí,No,No,No
