C601,C602,R002-0101,R002-0102,R002-0103,R002-0104,R002-0105,R002-0106,R002-0107,R002-0108,R002-0109,,,
2024,P01,0.00,NA,NA,NA,NA,NA,NA,NA,0.00,,,
2024,P02,0.00,NA,NA,NA,NA,NA,NA,NA,0.00,,,
2024,P03,0.00,NA,NA,NA,NA,NA,NA,NA,0.00,,,
2024,P04,0.00,NA,NA,NA,NA,NA,NA,NA,0.00,,,
2024,P05,0.00,NA,NA,NA,NA,NA,NA,NA,0.00,,,
2024,P06,0.00,NA,NA,NA,NA,NA,NA,NA,1787764.00,,,
2024,P07,0.00,NA,NA,NA,NA,NA,NA,NA,0.00,,,
2024,P08,1629.30,NA,NA,NA,NA,NA,NA,NA,0.00,,,
2024,P09,0.00,NA,NA,NA,NA,NA,NA,NA,0.00,,,
2024,P10,0.00,NA,NA,NA,NA,NA,NA,NA,0.00,,,
2024,P11,0.00,NA,NA,NA,NA,NA,NA,NA,0.00,,,
2024,P12,2443.98,NA,NA,NA,NA,NA,NA,NA,0.00,,,
,,,,,,,,,,,,,
