C601,C003,R027-0401,R027-0402,R027-0403,R027-0404
2024,P020010001,SI,SI,NA,SI
2024,P020010046,SI,NO,NA,NO
2024,P020010060,SI,SI,NA,SI
2024,P020010095,SI,SI,NA,NO
2024,P020010114,SI,SI,NA,NO
2024,P020010118,SI,SI,NA,NO
2024,P020010124,SI,SI,NA,NO
2024,P020010133,SI,NO,NA,NO
2024,P020010139,SI,SI,NA,NO
2024,P020010151,SI,SI,NA,NO
2024,P020010152,SI,SI,NA,NO
2024,P020010170,SI,SI,NA,NO
2024,P020010184,SI,SI,NA,NO
2024,P020010186,SI,SI,NA,NO
2024,P020010190,SI,SI,NA,NO
2024,P020010198,SI,SI,NA,NO
2024,P020010200,SI,SI,NA,NO
2024,P020010243,SI,SI,NA,SI
2024,P020010247,SI,SI,NA,NO
2024,P020010267,SI,SI,NA,NO
2024,P020010268,SI,SI,NA,NO
2024,P020010271,SI,SI,NA,NO
2024,P020010329,SI,SI,NA,NO
2024,P020010339,SI,SI,NA,NO
2024,P020010491,SI,SI,NA,NO
2024,P020010492,SI,SI,NA,NO
2024,P020010520,SI,SI,NA,NO
2024,P020010598,SI,SI,NA,NO
2024,P020010617,SI,SI,NA,NO
2024,P020010660,SI,NO,NA,NO
2024,P020010685,SI,SI,NA,NO
2024,P020010720,SI,SI,NA,NO
2024,P020010783,SI,SI,NA,NO
2024,P020010838,SI,NO,NA,NO
2024,P020010857,SI,SI,NA,SI
2024,P020010892,SI,NO,NA,NO
2024,P020010935,SI,SI,NA,NO
2024,P020010942,SI,SI,NA,NO
2024,P020011001,SI,NO,NA,NO
2024,P020011002,SI,SI,NA,NO
2024,P020011025,SI,SI,NA,NO
2024,P020011037,SI,SI,NA,NO
2024,P020011065,SI,SI,NA,NO
2024,P020011107,SI,SI,NA,NO
2024,P020011148,SI,NO,NA,NO
2024,P020011561,SI,SI,NA,NO
2024,P020011699,SI,NO,NA,NO
2024,P020011729,SI,NO,NA,NO
2024,P020011843,SI,NO,NA,NO
2024,P020011896,SI,NO,NA,NO
2024,P020012151,SI,SI,NA,NO
2024,P020012157,SI,SI,NA,NO
2024,P020012183,SI,SI,NA,NO
2024,P020012224,SI,SI,NA,NO
2024,P020012364,SI,SI,NA,NO
2024,P020012378,SI,NO,NA,NO
2024,P020013173,SI,SI,NA,SI
2024,P020013178,SI,NO,NA,NO
2024,P020013197,SI,SI,NA,NO
2024,P020013261,SI,SI,NA,NO
2024,P020013344,SI,SI,NA,NO
2024,P020013368,SI,SI,NA,NO
2024,P020013370,SI,SI,NA,NO
2024,P020013381,SI,SI,NA,NO
2024,P020014444,SI,SI,NA,NO
2024,P020014445,SI,NO,NA,NO
2024,P020014635,SI,NO,NA,NO
2024,P020014715,SI,NO,NA,NO
2024,P020020001,SI,SI,NA,SI
2024,P020020110,SI,SI,NA,NO
2024,P020020111,SI,SI,NA,SI
2024,P020020124,SI,NO,NA,NO
2024,P020020127,SI,SI,NA,NO
2024,P020020143,SI,SI,NA,NO
2024,P020020152,SI,SI,NA,NO
2024,P020020157,SI,SI,NA,NO
2024,P020020158,SI,SI,NA,NO
2024,P020020159,SI,SI,NA,NO
2024,P020020161,SI,SI,NA,NO
2024,P020020166,SI,NO,NA,NO
2024,P020020167,SI,SI,NA,NO
2024,P020020169,SI,SI,NA,NO
2024,P020020183,SI,SI,NA,NO
2024,P020020185,SI,SI,NA,NO
2024,P020020186,SI,SI,NA,NO
2024,P020020189,SI,SI,NA,NO
2024,P020020192,SI,SI,NA,SI
2024,P020020195,SI,SI,NA,NO
2024,P020020201,SI,SI,NA,NO
2024,P020020202,SI,SI,NA,SI
2024,P020020204,SI,NO,NA,NO
2024,P020020206,SI,SI,NA,NO
2024,P020020211,SI,SI,NA,NO
2024,P020020212,SI,SI,NA,SI
2024,P020020223,SI,SI,NA,NO
2024,P020020225,SI,SI,NA,NO
2024,P020020227,SI,SI,NA,NO
2024,P020020229,SI,SI,NA,NO
2024,P020020231,SI,SI,NA,SI
2024,P020020234,SI,NO,NA,NO
2024,P020020237,SI,SI,NA,NO
2024,P020020241,SI,SI,NA,NO
2024,P020020242,SI,SI,NA,NO
2024,P020020248,SI,SI,NA,NO
2024,P020020251,SI,SI,NA,NO
2024,P020020253,SI,SI,NA,NO
2024,P020020256,SI,SI,NA,NO
2024,P020020257,SI,SI,NA,NO
2024,P020020258,SI,SI,NA,NO
2024,P020020259,SI,NO,NA,NO
2024,P020020260,SI,SI,NA,SI
2024,P020020262,SI,SI,NA,NO
2024,P020020265,SI,SI,NA,NO
2024,P020020266,SI,SI,NA,NO
2024,P020020267,SI,SI,NA,NO
2024,P020020268,SI,SI,NA,NO
2024,P020020270,SI,SI,NA,NO
2024,P020020272,SI,SI,NA,NO
2024,P020020273,SI,SI,NA,NO
2024,P020020275,SI,NO,NA,NO
2024,P020020282,SI,SI,NA,NO
2024,P020020284,SI,SI,NA,SI
2024,P020020289,SI,SI,NA,NO
2024,P020020290,SI,SI,NA,NO
2024,P020020291,SI,SI,NA,NO
2024,P020020295,SI,SI,NA,NO
2024,P020020305,SI,SI,NA,NO
2024,P020020311,SI,SI,NA,NO
2024,P020020327,SI,NO,NA,NO
2024,P020020333,SI,NO,NA,NO
2024,P020020358,SI,SI,NA,NO
2024,P020020378,SI,SI,NA,NO
2024,P020020394,SI,SI,NA,NO
2024,P020020395,SI,NO,NA,NO
2024,P020020412,SI,SI,NA,NO
