C601,C003,R027-0301,R027-0302,R027-0303,R027-0304,R027-0305,R027-0306
2024,P020010001,63863,88361,NA,NA,NA,64872
2024,P020010060,1024,3064,NA,NA,NA,2136
2024,P020010095,256,584,NA,NA,NA,584
2024,P020010114,895,2880,NA,NA,NA,2344
2024,P020010124,640,366,NA,NA,NA,0
2024,P020010139,3409,6808,NA,NA,NA,5576
2024,P020010151,1536,2712,NA,NA,NA,1912
2024,P020010152,128,96,NA,NA,NA,0
2024,P020010186,384,1288,NA,NA,NA,592
2024,P020010190,76,190,NA,NA,NA,0
2024,P020010198,419,720,NA,NA,NA,720
2024,P020010200,256,256,NA,NA,NA,224
2024,P020010243,626,1328,NA,NA,NA,864
2024,P020010247,2684,5144,NA,NA,NA,4176
2024,P020010267,224,432,NA,NA,NA,168
2024,P020010268,2560,7112,NA,NA,NA,5312
2024,P020010271,256,1808,NA,NA,NA,1248
2024,P020010329,256,208,NA,NA,NA,64
2024,P020010491,39,60,NA,NA,NA,0
2024,P020010520,43,48,NA,NA,NA,0
2024,P020010685,1568,4384,NA,NA,NA,3640
2024,P020010720,128,96,NA,NA,NA,0
2024,P020010857,3066,4072,NA,NA,NA,3240
2024,P020010935,130,257,NA,NA,NA,0
2024,P020010942,12,240,NA,NA,NA,0
2024,P020011002,128,240,NA,NA,NA,136
2024,P020011025,256,560,NA,NA,NA,560
2024,P020011037,512,992,NA,NA,NA,656
2024,P020011729,64,0,NA,NA,NA,0
2024,P020012157,224,192,NA,NA,NA,0
2024,P020012183,511,424,NA,NA,NA,216
2024,P020012224,1152,1552,NA,NA,NA,1104
2024,P020013173,1535,5192,NA,NA,NA,3888
2024,P020013197,704,1328,NA,NA,NA,864
2024,P020013381,192,144,NA,NA,NA,0
2024,P020020001,179327,237267,NA,NA,NA,172952
2024,P020020110,1024,2072,NA,NA,NA,1544
2024,P020020111,1408,2928,NA,NA,NA,2360
2024,P020020157,150,288,NA,NA,NA,184
2024,P020020158,270,64,NA,NA,NA,56
2024,P020020159,1024,1688,NA,NA,NA,1056
2024,P020020161,384,848,NA,NA,NA,592
2024,P020020167,576,1584,NA,NA,NA,1144
2024,P020020169,384,912,NA,NA,NA,568
2024,P020020183,256,448,NA,NA,NA,392
2024,P020020185,2368,4984,NA,NA,NA,3736
2024,P020020186,150,192,NA,NA,NA,168
2024,P020020192,606,1752,NA,NA,NA,1192
2024,P020020201,256,192,NA,NA,NA,160
2024,P020020202,120,192,NA,NA,NA,160
2024,P020020211,184,192,NA,NA,NA,0
2024,P020020212,576,1784,NA,NA,NA,1288
2024,P020020225,512,960,NA,NA,NA,672
2024,P020020227,511,1152,NA,NA,NA,920
2024,P020020229,384,2264,NA,NA,NA,1680
2024,P020020231,1378,4016,NA,NA,NA,3200
2024,P020020237,805,1496,NA,NA,NA,1176
2024,P020020242,277,640,NA,NA,NA,440
2024,P020020257,128,144,NA,NA,NA,0
2024,P020020260,1472,5616,NA,NA,NA,4104
2024,P020020262,1608,11008,NA,NA,NA,9912
2024,P020020266,160,736,NA,NA,NA,680
2024,P020020267,300,384,NA,NA,NA,144
2024,P020020268,640,1472,NA,NA,NA,920
2024,P020020270,256,1072,NA,NA,NA,736
2024,P020020282,896,1496,NA,NA,NA,1136
2024,P020020284,4292,8448,NA,NA,NA,6176
2024,P020020289,4032,8368,NA,NA,NA,6504
2024,P020020290,160,192,NA,NA,NA,0
2024,P020020291,640,1496,NA,NA,NA,928
2024,P020020295,160,320,NA,NA,NA,256
2024,P020020378,384,448,NA,NA,NA,288
2024,P020020395,120,0,NA,NA,NA,0
2024,P020020456,1024,1328,NA,NA,NA,600
2024,P020020459,704,1152,NA,NA,NA,888
2024,P020020461,2240,5032,NA,NA,NA,0
2024,P020021174,384,1272,NA,NA,NA,1104
2024,P020021195,256,416,NA,NA,NA,264
2024,P020030001,12685,22720,NA,NA,NA,19362
2024,P020030089,376,744,NA,NA,NA,448
2024,P020030107,384,1648,NA,NA,NA,1184
2024,P020030131,1,392,NA,NA,NA,376
2024,P020030139,383,696,NA,NA,NA,696
2024,P020030155,988,1416,NA,NA,NA,1280
2024,P020030211,0,80,NA,NA,NA,80
2024,P020030340,704,1264,NA,NA,NA,1248
2024,P020040001,307068,405233,NA,NA,NA,331487
2024,P020040187,2731,5512,NA,NA,NA,4568
2024,P020040283,1153,4096,NA,NA,NA,3328
2024,P020040298,12672,10488,NA,NA,NA,9152
2024,P020040537,672,2608,NA,NA,NA,1768
2024,P020040606,4381,5160,NA,NA,NA,4104
2024,P020040678,540,1320,NA,NA,NA,816
2024,P020040720,1152,4064,NA,NA,NA,3264
2024,P020041599,4778,23544,NA,NA,NA,20128
2024,P020050001,19970,23920,NA,NA,NA,18128
2024,P020050007,288,800,NA,NA,NA,464
2024,P020050034,1216,3384,NA,NA,NA,2176
2024,P020050070,90,0,NA,NA,NA,0
2024,P020050086,85,0,NA,NA,NA,0
2024,P020050088,1,7152,NA,NA,NA,6656
2024,P020050089,1728,4400,NA,NA,NA,3216
2024,P020050194,256,648,NA,NA,NA,392
2024,P260550001,30875,50744,NA,NA,NA,41568
2024,P260550011,343,1864,NA,NA,NA,1496
2024,P260550014,256,848,NA,NA,NA,512
2024,P260550016,256,192,NA,NA,NA,0
2024,P260550089,192,192,NA,NA,NA,0
2024,P260700001,2112,5344,NA,NA,NA,4112
2024,P260700019,160,320,NA,NA,NA,296
