C601,C602,C306,C401,R015-0301,R015-0302,R015-0303,R015-0304
2024,P10,P01,P01,5,1,0,0
2024,P10,P01,P02,0,0,0,0
2024,P10,P01,P03,0,0,0,0
2024,P10,P01,P04,0,0,0,0
2024,P10,P01,P05,0,0,0,0
2024,P10,P01,P06,0,0,0,0
2024,P10,P02,P01,7,1,0,2
2024,P10,P02,P02,25,4,0,0
2024,P10,P02,P03,0,0,0,0
2024,P10,P02,P04,0,0,0,0
2024,P10,P02,P05,0,0,0,0
2024,P10,P02,P06,0,0,0,0
2024,P10,P03,P01,0,0,0,0
2024,P10,P03,P02,31,24,0,0
2024,P10,P03,P03,12,6,0,0
2024,P10,P03,P04,19,5,0,0
2024,P10,P03,P05,5,0,0,0
2024,P10,P03,P06,0,1,0,0
2024,P11,P01,P01,5,1,0,0
2024,P11,P01,P02,0,0,0,0
2024,P11,P01,P03,0,0,0,0
2024,P11,P01,P04,0,0,0,0
2024,P11,P01,P05,0,0,0,0
2024,P11,P01,P06,0,0,0,0
2024,P11,P02,P01,6,1,0,2
2024,P11,P02,P02,25,4,0,0
2024,P11,P02,P03,0,0,0,0
2024,P11,P02,P04,0,0,0,0
2024,P11,P02,P05,0,0,0,0
2024,P11,P02,P06,0,0,0,0
2024,P11,P03,P01,0,0,0,0
2024,P11,P03,P02,31,25,0,0
2024,P11,P03,P03,13,6,0,0
2024,P11,P03,P04,17,4,0,0
2024,P11,P03,P05,5,0,0,0
2024,P11,P03,P06,0,1,0,0
2024,P12,P01,P01,5,1,0,0
2024,P12,P01,P02,0,0,0,0
2024,P12,P01,P03,0,0,0,0
2024,P12,P01,P04,0,0,0,0
2024,P12,P01,P05,0,0,0,0
2024,P12,P01,P06,0,0,0,0
2024,P12,P02,P01,6,1,0,2
2024,P12,P02,P02,25,4,0,0
2024,P12,P02,P03,0,0,0,0
2024,P12,P02,P04,0,0,0,0
2024,P12,P02,P05,0,0,0,0
2024,P12,P02,P06,0,0,0,0
2024,P12,P03,P01,0,0,0,0
2024,P12,P03,P02,32,26,0,0
2024,P12,P03,P03,13,6,0,0
2024,P12,P03,P04,17,4,0,0
2024,P12,P03,P05,5,0,0,0
2024,P12,P03,P06,0,1,0,0
