C601,C602,R010-0801,R010-0802,R010-0803,R010-0804,R010-0805
2024,P10,"CLARO ENTERPRISE SOLUTIONS, LLC",No,No,No,Si
2024,P10,AVANTEL S DE RL DE CV,Si,No,No,No
2024,P10,BESTEL SA DE CV,Si,No,No,No
2024,P10,COMISION FEDERAL DE ELECTRICIDAD,Si,No,No,No
2024,P10,TOTAL PLAY TELECOMUNICACIONES S.A DE C.V.,Si,No,No,No
2024,P10,MARCATEL SA DE CV,Si,No,No,No
2024,P10,MEGACABLE COMUNICACIONES DE MEXICO SA DE CV,Si,No,No,No
2024,P10,MEGA CABLE SA DE CV,Si,No,No,No
2024,P10,PEGASO PCS,Si,No,No,No
2024,P10,IP MATRIX SA DE CV,Si,No,No,No
2024,P10,UC TELECOMUNICACIONES SAPI DE CV,Si,No,No,No
2024,P10,"ATC HOLDING FIBRA MEXICO,S. DE R.L. DE C.V.",Si,No,No,No
2024,P10,"IENTC, S. DE R.L. DE C.V.",Si,No,No,No
2024,P11,"CLARO ENTERPRISE SOLUTIONS, LLC",No,No,No,Si
2024,P11,AVANTEL S DE RL DE CV,Si,No,No,No
2024,P11,BESTEL SA DE CV,Si,No,No,No
2024,P11,COMISION FEDERAL DE ELECTRICIDAD,Si,No,No,No
2024,P11,TOTAL PLAY TELECOMUNICACIONES S.A DE C.V.,Si,No,No,No
2024,P11,MARCATEL SA DE CV,Si,No,No,No
2024,P11,MEGACABLE COMUNICACIONES DE MEXICO SA DE CV,Si,No,No,No
2024,P11,MEGA CABLE SA DE CV,Si,No,No,No
2024,P11,PEGASO PCS,Si,No,No,No
2024,P11,IP MATRIX SA DE CV,Si,No,No,No
2024,P11,UC TELECOMUNICACIONES SAPI DE CV,Si,No,No,No
2024,P11,"ATC HOLDING FIBRA MEXICO,S. DE R.L. DE C.V.",Si,No,No,No
2024,P11,"IENTC, S. DE R.L. DE C.V.",Si,No,No,No
2024,P12,"CLARO ENTERPRISE SOLUTIONS, LLC",No,No,No,Si
2024,P12,AVANTEL S DE RL DE CV,Si,No,No,No
2024,P12,BESTEL SA DE CV,Si,No,No,No
2024,P12,COMISION FEDERAL DE ELECTRICIDAD,Si,No,No,No
2024,P12,TOTAL PLAY TELECOMUNICACIONES S.A DE C.V.,Si,No,No,No
2024,P12,MARCATEL SA DE CV,Si,No,No,No
2024,P12,MEGACABLE COMUNICACIONES DE MEXICO SA DE CV,Si,No,No,No
2024,P12,MEGA CABLE SA DE CV,Si,No,No,No
2024,P12,PEGASO PCS,Si,No,No,No
2024,P12,IP MATRIX SA DE CV,Si,No,No,No
2024,P12,UC TELECOMUNICACIONES SAPI DE CV,Si,No,No,No
2024,P12,"ATC HOLDING FIBRA MEXICO,S. DE R.L. DE C.V.",Si,No,No,No
2024,P12,"IENTC, S. DE R.L. DE C.V.",Si,No,No,No
