C601,C602,C002,C205,R008-0201
2024,P10,P02001,P001,2387
2024,P10,P02002,P001,4463
2024,P10,P02003,P001,549
2024,P10,P02004,P001,7780
2024,P10,P02005,P001,522
2024,P10,P26055,P001,952
2024,P10,P26070,P001,119
2024,P11,P02001,P001,2386
2024,P11,P02002,P001,4463
2024,P11,P02003,P001,549
2024,P11,P02004,P001,7779
2024,P11,P02005,P001,522
2024,P11,P26055,P001,951
2024,P11,P26070,P001,119
2024,P12,P02001,P001,2386
2024,P12,P02002,P001,4462
2024,P12,P02003,P001,549
2024,P12,P02004,P001,7779
2024,P12,P02005,P001,522
2024,P12,P26055,P001,951
2024,P12,P26070,P001,119
