C601,C602,C002,R005-0301,R005-0302,R005-0303,R005-0304
2024,P10,P02001,1920606,73267,359212,3493
2024,P10,P02002,7295612,251485,1358989,9440
2024,P10,P02003,370465,14231,69276,508
2024,P10,P02004,6077310,217133,1134901,16074
2024,P10,P02005,357139,13117,66712,688
2024,P10,P26055,923551,34318,172415,830
2024,P10,P26070,53289,2213,9988,38
2024,P11,P02001,1905104,77537,357147,3244
2024,P11,P02002,7214722,254642,1345179,10380
2024,P11,P02003,367359,15036,68848,428
2024,P11,P02004,5985329,228078,1120378,16356
2024,P11,P02005,333889,13109,62494,496
2024,P11,P26055,926994,36605,173466,945
2024,P11,P26070,55706,2457,10468,45
2024,P12,P02001,1903045,79125,357105,3482
2024,P12,P02002,6880953,249871,1284413,11047
2024,P12,P02003,365121,15349,68556,728
2024,P12,P02004,5889175,230887,1103534,16039
2024,P12,P02005,330542,13469,61979,618
2024,P12,P26055,924862,37221,173228,1134
2024,P12,P26070,52371,2311,9840,32
