C601,C602,C002,C102,C205,C309,R005-0201
2024,P10,P02001,P01,P001,P01,1737
2024,P10,P02001,P01,P001,P03,4363
2024,P10,P02001,P01,P003,P01,125
2024,P10,P02001,P01,P003,P03,35627
2024,P10,P02001,P02,P001,P01,3274
2024,P10,P02001,P02,P001,P03,1417
2024,P10,P02001,P02,P003,P01,120
2024,P10,P02001,P02,P003,P03,10789
2024,P10,P02002,P01,P001,P01,5814
2024,P10,P02002,P01,P001,P03,4593
2024,P10,P02002,P01,P003,P01,68
2024,P10,P02002,P01,P003,P03,79020
2024,P10,P02002,P02,P001,P01,10741
2024,P10,P02002,P02,P001,P03,1793
2024,P10,P02002,P02,P003,P01,183
2024,P10,P02002,P02,P003,P03,19537
2024,P10,P02003,P01,P001,P01,19
2024,P10,P02003,P01,P001,P03,72
2024,P10,P02003,P01,P003,P01,3
2024,P10,P02003,P01,P003,P03,9023
2024,P10,P02003,P02,P001,P01,425
2024,P10,P02003,P02,P001,P03,73
2024,P10,P02003,P02,P003,P01,30
2024,P10,P02003,P02,P003,P03,2589
2024,P10,P02004,P01,P001,P01,4407
2024,P10,P02004,P01,P001,P03,2985
2024,P10,P02004,P01,P003,P01,833
2024,P10,P02004,P01,P003,P03,127752
2024,P10,P02004,P02,P001,P01,17671
2024,P10,P02004,P02,P001,P03,2458
2024,P10,P02004,P02,P003,P01,326
2024,P10,P02004,P02,P003,P03,37224
2024,P10,P02005,P01,P001,P01,680
2024,P10,P02005,P01,P001,P03,244
2024,P10,P02005,P01,P003,P01,11
2024,P10,P02005,P01,P003,P03,8632
2024,P10,P02005,P02,P001,P01,725
2024,P10,P02005,P02,P001,P03,115
2024,P10,P02005,P02,P003,P01,13
2024,P10,P02005,P02,P003,P03,2429
2024,P10,P26055,P01,P001,P01,508
2024,P10,P26055,P01,P001,P03,290
2024,P10,P26055,P01,P003,P01,253
2024,P10,P26055,P01,P003,P03,12942
2024,P10,P26055,P02,P001,P01,511
2024,P10,P26055,P02,P001,P03,193
2024,P10,P26055,P02,P003,P01,69
2024,P10,P26055,P02,P003,P03,3647
2024,P10,P26070,P01,P001,P01,34
2024,P10,P26070,P01,P001,P03,14
2024,P10,P26070,P01,P003,P03,1299
2024,P10,P26070,P02,P001,P01,41
2024,P10,P26070,P02,P001,P03,7
2024,P10,P26070,P02,P003,P01,6
2024,P10,P26070,P02,P003,P03,278
2024,P11,P02001,P01,P001,P01,1931
2024,P11,P02001,P01,P001,P03,4074
2024,P11,P02001,P01,P003,P01,921
2024,P11,P02001,P01,P003,P03,35064
2024,P11,P02001,P02,P001,P01,3607
2024,P11,P02001,P02,P001,P03,938
2024,P11,P02001,P02,P003,P01,1006
2024,P11,P02001,P02,P003,P03,10050
2024,P11,P02002,P01,P001,P01,6024
2024,P11,P02002,P01,P001,P03,4151
2024,P11,P02002,P01,P003,P01,1747
2024,P11,P02002,P01,P003,P03,77737
2024,P11,P02002,P02,P001,P01,11449
2024,P11,P02002,P02,P001,P03,937
2024,P11,P02002,P02,P003,P01,1719
2024,P11,P02002,P02,P003,P03,18084
2024,P11,P02003,P01,P001,P01,40
2024,P11,P02003,P01,P001,P03,49
2024,P11,P02003,P01,P003,P01,184
2024,P11,P02003,P01,P003,P03,8861
2024,P11,P02003,P02,P001,P01,470
