C601,C602,C101,C102,C106,R004-0301,R004-0302
2024,P10,P101,P01,P01,1395173.6,9761
2024,P10,P101,P02,P01,6242148,38285
2024,P10,P108,P01,P02,53881746.16,164637
2024,P10,P108,P01,P03,1257410.2,1766
2024,P10,P108,P02,P02,2967803.64,8823
2024,P10,P108,P02,P03,261162.92,357
2024,P10,P201,P01,P01,396270,2100
2024,P10,P201,P01,P02,84944589.15,251733
2024,P10,P201,P01,P03,19907311.04,37135
2024,P10,P201,P01,P04,734179.21,619
2024,P10,P201,P02,P01,651203.7,3451
2024,P10,P201,P02,P02,21307607.6,53787
2024,P10,P201,P02,P03,10219340.73,15326
2024,P10,P201,P02,P04,8401387.27,5670
2024,P10,P201,P02,P05,391110,165
2024,P11,P101,P01,P01,1372160.75,9609
2024,P11,P101,P02,P01,6224922,38170
2024,P11,P108,P01,P02,54517156.44,166514
2024,P11,P108,P01,P03,1366442.56,1960
2024,P11,P108,P02,P02,3018482.36,8964
2024,P11,P108,P02,P03,270611.66,373
2024,P11,P201,P01,P01,399666.6,2118
2024,P11,P201,P01,P02,85230786.11,252506
2024,P11,P201,P01,P03,19884780.92,37089
2024,P11,P201,P01,P04,753078.89,635
2024,P11,P201,P02,P01,647618.4,3432
2024,P11,P201,P02,P02,21349626.5,53923
2024,P11,P201,P02,P03,10249854.73,15377
2024,P11,P201,P02,P04,8366088.3,5645
2024,P11,P201,P02,P05,426565.8,180
2024,P12,P101,P01,P01,1342259.7,9413
2024,P12,P101,P02,P01,6222744,38129
2024,P12,P108,P01,P02,55332068.82,168886
2024,P12,P108,P01,P03,1470034.26,2142
2024,P12,P108,P02,P02,3068992.07,9110
2024,P12,P108,P02,P03,293650.3,408
2024,P12,P201,P01,P01,397213.5,2105
2024,P12,P201,P01,P02,85559043.93,253415
2024,P12,P201,P01,P03,19851801.9,37021
2024,P12,P201,P01,P04,770797.34,650
2024,P12,P201,P02,P01,644221.8,3414
2024,P12,P201,P02,P02,21368100.45,53994
2024,P12,P201,P02,P03,10266632.34,15405
2024,P12,P201,P02,P04,8313779.67,5607
2024,P12,P201,P02,P05,426565.8,180
