C601,C602,C003,C006,C101,C102,C103,R001-0501
2024,P10,P020010001,NA,P101,P01,P02,945
2024,P10,P020010001,NA,P101,P02,P02,3248
2024,P10,P020010001,NA,P108,P01,P02,15967
2024,P10,P020010001,NA,P108,P02,P02,779
2024,P10,P020010001,NA,P201,P01,P02,26054
2024,P10,P020010001,NA,P201,P02,P02,7582
2024,P10,P020010046,NA,P101,P01,P02,5
2024,P10,P020010046,NA,P101,P02,P02,11
2024,P10,P020010060,NA,P101,P01,P02,6
2024,P10,P020010060,NA,P101,P02,P02,9
2024,P10,P020010060,NA,P108,P01,P02,779
2024,P10,P020010060,NA,P108,P02,P02,48
2024,P10,P020010060,NA,P201,P01,P02,692
2024,P10,P020010060,NA,P201,P02,P02,207
2024,P10,P020010095,NA,P101,P01,P02,6
2024,P10,P020010095,NA,P101,P02,P02,1
2024,P10,P020010095,NA,P108,P01,P02,176
2024,P10,P020010095,NA,P108,P02,P02,7
2024,P10,P020010095,NA,P201,P01,P02,208
2024,P10,P020010095,NA,P201,P02,P02,21
2024,P10,P020010114,NA,P101,P01,P02,12
2024,P10,P020010114,NA,P101,P02,P02,41
2024,P10,P020010114,NA,P108,P01,P02,472
2024,P10,P020010114,NA,P108,P02,P02,24
2024,P10,P020010114,NA,P201,P01,P02,644
2024,P10,P020010114,NA,P201,P02,P02,200
2024,P10,P020010118,NA,P201,P01,P02,4
2024,P10,P020010124,NA,P101,P01,P02,14
2024,P10,P020010124,NA,P101,P02,P02,38
2024,P10,P020010124,NA,P201,P01,P02,41
2024,P10,P020010124,NA,P201,P02,P02,30
2024,P10,P020010139,NA,P101,P01,P02,31
2024,P10,P020010139,NA,P101,P02,P02,58
2024,P10,P020010139,NA,P108,P01,P02,1615
2024,P10,P020010139,NA,P108,P02,P02,89
2024,P10,P020010139,NA,P201,P01,P02,1587
2024,P10,P020010139,NA,P201,P02,P02,418
2024,P10,P020010151,NA,P101,P01,P02,14
2024,P10,P020010151,NA,P101,P02,P02,12
2024,P10,P020010151,NA,P108,P01,P02,362
2024,P10,P020010151,NA,P108,P02,P02,18
2024,P10,P020010151,NA,P201,P01,P02,734
2024,P10,P020010151,NA,P201,P02,P02,156
2024,P10,P020010152,NA,P101,P01,P02,2
2024,P10,P020010152,NA,P108,P01,P02,6
2024,P10,P020010152,NA,P108,P02,P02,1
2024,P10,P020010152,NA,P201,P01,P02,34
2024,P10,P020010152,NA,P201,P02,P02,10
2024,P10,P020010170,NA,P101,P01,P02,1
2024,P10,P020010170,NA,P101,P02,P02,5
2024,P10,P020010170,NA,P201,P01,P02,1
2024,P10,P020010170,NA,P201,P02,P02,3
2024,P10,P020010184,NA,P201,P01,P02,4
2024,P10,P020010186,NA,P101,P02,P02,3
2024,P10,P020010186,NA,P108,P01,P02,210
2024,P10,P020010186,NA,P108,P02,P02,12
2024,P10,P020010186,NA,P201,P01,P02,253
2024,P10,P020010186,NA,P201,P02,P02,70
2024,P10,P020010190,NA,P101,P01,P02,8
2024,P10,P020010190,NA,P101,P02,P02,4
2024,P10,P020010190,NA,P108,P01,P02,1
2024,P10,P020010190,NA,P201,P01,P02,25
2024,P10,P020010190,NA,P201,P02,P02,15
2024,P10,P020010198,NA,P101,P01,P02,1
2024,P10,P020010198,NA,P101,P02,P02,3
2024,P10,P020010198,NA,P108,P01,P02,170
2024,P10,P020010198,NA,P108,P02,P02,13
2024,P10,P020010198,NA,P201,P01,P02,343
2024,P10,P020010198,NA,P201,P02,P02,59
2024,P10,P020010200,NA,P101,P01,P02,1
2024,P10,P020010200,NA,P108,P01,P02,79
2024,P10,P020010200,NA,P108,P02,P02,4
2024,P10,P020010200,NA,P201,P01,P02,105
2024,P10,P020010200,NA,P201,P02,P02,9
2024,P10,P020010243,NA,P101,P01,P02,9
2024,P10,P020010243,NA,P101,P02,P02,7
2024,P10,P020010243,NA,P108,P01,P02,521
2024,P10,P020010243,NA,P108,P02,P02,12
2024,P10,P020010243,NA,P201,P01,P02,424
2024,P10,P020010243,NA,P201,P02,P02,81
2024,P10,P020010247,NA,P101,P01,P02,26
2024,P10,P020010247,NA,P101,P02,P02,116
2024,P10,P020010247,NA,P108,P01,P02,929
2024,P10,P020010247,NA,P108,P02,P02,41
2024,P10,P020010247,NA,P201,P01,P02,1446
2024,P10,P020010247,NA,P201,P02,P02,475
2024,P10,P020010267,NA,P101,P01,P02,3
2024,P10,P020010267,NA,P101,P02,P02,4
2024,P10,P020010267,NA,P108,P01,P02,83
2024,P10,P020010267,NA,P108,P02,P02,6
2024,P10,P020010267,NA,P201,P01,P02,92
2024,P10,P020010267,NA,P201,P02,P02,16
2024,P10,P020010268,NA,P101,P01,P02,16
2024,P10,P020010268,NA,P101,P02,P02,47
2024,P10,P020010268,NA,P108,P01,P02,1713
2024,P10,P020010268,NA,P108,P02,P02,112
2024,P10,P020010268,NA,P201,P01,P02,1640
2024,P10,P020010268,NA,P201,P02,P02,510
2024,P10,P020010271,NA,P101,P01,P02,1
2024,P10,P020010271,NA,P101,P02,P02,5
2024,P10,P020010271,NA,P108,P01,P02,224
2024,P10,P020010271,NA,P108,P02,P02,25
2024,P10,P020010271,NA,P201,P01,P02,335
2024,P10,P020010271,NA,P201,P02,P02,131
2024,P10,P020010329,NA,P101,P01,P02,5
2024,P10,P020010329,NA,P101,P02,P02,1
2024,P10,P020010329,NA,P108,P01,P02,5
2024,P10,P020010329,NA,P108,P02,P02,7
2024,P10,P020010329,NA,P201,P01,P02,46
2024,P10,P020010329,NA,P201,P02,P02,23
2024,P10,P020010339,NA,P201,P01,P02,3
2024,P10,P020010491,NA,P101,P01,P02,7
2024,P10,P020010491,NA,P201,P01,P02,26
2024,P10,P020010491,NA,P201,P02,P02,3
2024,P10,P020010492,NA,P108,P01,P02,4
2024,P10,P020010492,NA,P201,P01,P02,13
2024,P10,P020010492,NA,P201,P02,P02,3
2024,P10,P020010520,NA,P101,P01,P02,8
2024,P10,P020010520,NA,P101,P02,P02,1
2024,P10,P020010520,NA,P201,P01,P02,17
2024,P10,P020010520,NA,P201,P02,P02,5
2024,P10,P020010598,NA,P201,P01,P02,2
2024,P10,P020010617,NA,P201,P01,P02,1
2024,P10,P020010617,NA,P201,P02,P02,1
2024,P10,P020010660,NA,P101,P01,P02,1
2024,P10,P020010660,NA,P101,P02,P02,1
2024,P10,P020010685,NA,P101,P01,P02,8
2024,P10,P020010685,NA,P101,P02,P02,27
2024,P10,P020010685,NA,P108,P01,P02,1139
2024,P10,P020010685,NA,P108,P02,P02,57
2024,P10,P020010685,NA,P201,P01,P02,1206
2024,P10,P020010685,NA,P201,P02,P02,309
2024,P10,P020010720,NA,P101,P01,P02,2
2024,P10,P020010720,NA,P108,P01,P02,3
2024,P10,P020010720,NA,P201,P01,P02,50
2024,P10,P020010720,NA,P201,P02,P02,1
2024,P10,P020010783,NA,P201,P01,P02,1
2024,P10,P020010857,NA,P101,P01,P02,13
2024,P10,P020010857,NA,P101,P02,P02,133
2024,P10,P020010857,NA,P108,P01,P02,1112
2024,P10,P020010857,NA,P108,P02,P02,72
2024,P10,P020010857,NA,P201,P01,P02,1283
2024,P10,P020010857,NA,P201,P02,P02,489
2024,P10,P020010935,NA,P101,P01,P02,13
2024,P10,P020010935,NA,P101,P02,P02,5
2024,P10,P020010935,NA,P201,P01,P02,75
2024,P10,P020010935,NA,P201,P02,P02,39
2024,P10,P020010942,NA,P108,P01,P02,70
2024,P10,P020010942,NA,P108,P02,P02,4
2024,P10,P020010942,NA,P201,P01,P02,77
2024,P10,P020010942,NA,P201,P02,P02,13
2024,P10,P020011001,NA,P101,P02,P02,2
2024,P10,P020011002,NA,P101,P01,P02,1
2024,P10,P020011002,NA,P108,P01,P02,44
2024,P10,P020011002,NA,P108,P02,P02,4
2024,P10,P020011002,NA,P201,P01,P02,38
2024,P10,P020011002,NA,P201,P02,P02,24
2024,P10,P020011025,NA,P108,P01,P02,265
2024,P10,P020011025,NA,P108,P02,P02,18
2024,P10,P020011025,NA,P201,P01,P02,118
2024,P10,P020011025,NA,P201,P02,P02,40
2024,P10,P020011037,NA,P101,P01,P02,3
2024,P10,P020011037,NA,P101,P02,P02,4
2024,P10,P020011037,NA,P108,P01,P02,290
2024,P10,P020011037,NA,P108,P02,P02,19
2024,P10,P020011037,NA,P201,P01,P02,271
2024,P10,P020011037,NA,P201,P02,P02,55
2024,P10,P020011065,NA,P108,P01,P02,11
2024,P10,P020011065,NA,P201,P01,P02,8
2024,P10,P020011065,NA,P201,P02,P02,3
2024,P10,P020011107,NA,P201,P01,P02,1
2024,P10,P020011148,NA,P101,P01,P02,1
2024,P10,P020011561,NA,P108,P01,P02,1
2024,P10,P020011561,NA,P201,P01,P02,36
2024,P10,P020011561,NA,P201,P02,P02,8
2024,P10,P020011729,NA,P101,P01,P02,2
2024,P10,P020011896,NA,P101,P01,P02,1
2024,P10,P020012151,NA,P101,P01,P02,1
2024,P10,P020012151,NA,P108,P01,P02,1
2024,P10,P020012151,NA,P201,P01,P02,41
2024,P10,P020012151,NA,P201,P02,P02,5
2024,P10,P020012157,NA,P108,P01,P02,25
2024,P10,P020012157,NA,P108,P02,P02,1
2024,P10,P020012157,NA,P201,P01,P02,62
2024,P10,P020012157,NA,P201,P02,P02,9
2024,P10,P020012183,NA,P101,P01,P02,2
2024,P10,P020012183,NA,P101,P02,P02,13
2024,P10,P020012183,NA,P108,P01,P02,137
2024,P10,P020012183,NA,P108,P02,P02,9
2024,P10,P020012183,NA,P201,P01,P02,115
2024,P10,P020012183,NA,P201,P02,P02,23
2024,P10,P020012224,NA,P101,P01,P02,12
2024,P10,P020012224,NA,P101,P02,P02,3
2024,P10,P020012224,NA,P108,P01,P02,236
2024,P10,P020012224,NA,P108,P02,P02,9
2024,P10,P020012224,NA,P201,P01,P02,536
2024,P10,P020012224,NA,P201,P02,P02,54
2024,P10,P020012364,NA,P101,P02,P02,1
2024,P10,P020012364,NA,P201,P01,P02,3
2024,P10,P020013173,NA,P101,P01,P02,13
2024,P10,P020013173,NA,P101,P02,P02,179
2024,P10,P020013173,NA,P108,P01,P02,1063
2024,P10,P020013173,NA,P108,P02,P02,48
2024,P10,P020013173,NA,P201,P01,P02,1574
2024,P10,P020013173,NA,P201,P02,P02,453
2024,P10,P020013197,NA,P101,P01,P02,2
2024,P10,P020013197,NA,P101,P02,P02,5
2024,P10,P020013197,NA,P108,P01,P02,348
2024,P10,P020013197,NA,P108,P02,P02,16
2024,P10,P020013197,NA,P201,P01,P02,213
2024,P10,P020013197,NA,P201,P02,P02,32
2024,P10,P020013261,NA,P108,P01,P02,3
2024,P10,P020013261,NA,P201,P01,P02,50
2024,P10,P020013261,NA,P201,P02,P02,3
2024,P10,P020013344,NA,P101,P01,P02,1
2024,P10,P020013344,NA,P201,P01,P02,21
2024,P10,P020013344,NA,P201,P02,P02,1
2024,P10,P020013368,NA,P101,P01,P02,3
2024,P10,P020013368,NA,P101,P02,P02,1
2024,P10,P020013368,NA,P108,P01,P02,82
2024,P10,P020013368,NA,P108,P02,P02,1
2024,P10,P020013368,NA,P201,P01,P02,32
2024,P10,P020013368,NA,P201,P02,P02,7
2024,P10,P020013370,NA,P108,P01,P02,1
2024,P10,P020013370,NA,P201,P01,P02,19
2024,P10,P020013370,NA,P201,P02,P02,3
2024,P10,P020013381,NA,P101,P01,P02,6
2024,P10,P020013381,NA,P101,P02,P02,7
2024,P10,P020013381,NA,P108,P01,P02,40
2024,P10,P020013381,NA,P108,P02,P02,2
2024,P10,P020013381,NA,P201,P01,P02,38
2024,P10,P020013381,NA,P201,P02,P02,11
2024,P10,P020014444,NA,P101,P01,P02,2
2024,P10,P020014444,NA,P201,P01,P02,7
2024,P10,P020020001,NA,P101,P01,P02,2760
2024,P10,P020020001,NA,P101,P02,P02,9108
2024,P10,P020020001,NA,P108,P01,P02,27217
2024,P10,P020020001,NA,P108,P02,P02,1809
2024,P10,P020020001,NA,P201,P01,P02,66972
2024,P10,P020020001,NA,P201,P02,P02,17413
2024,P10,P020020110,NA,P101,P01,P02,11
2024,P10,P020020110,NA,P101,P02,P02,5
2024,P10,P020020110,NA,P108,P01,P02,282
2024,P10,P020020110,NA,P108,P02,P02,15
2024,P10,P020020110,NA,P201,P01,P02,550
2024,P10,P020020110,NA,P201,P02,P02,42
2024,P10,P020020111,NA,P101,P01,P02,10
2024,P10,P020020111,NA,P101,P02,P02,25
2024,P10,P020020111,NA,P108,P01,P02,525
2024,P10,P020020111,NA,P108,P02,P02,37
2024,P10,P020020111,NA,P201,P01,P02,631
2024,P10,P020020111,NA,P201,P02,P02,586
2024,P10,P020020127,NA,P201,P01,P02,1
2024,P10,P020020143,NA,P108,P01,P02,3
2024,P10,P020020143,NA,P201,P01,P02,83
2024,P10,P020020143,NA,P201,P02,P02,2
2024,P10,P020020152,NA,P101,P01,P02,3
2024,P10,P020020152,NA,P201,P01,P02,10
2024,P10,P020020152,NA,P201,P02,P02,2
2024,P10,P020020157,NA,P101,P01,P02,8
2024,P10,P020020157,NA,P108,P01,P02,117
2024,P10,P020020157,NA,P108,P02,P02,1
2024,P10,P020020157,NA,P201,P01,P02,32
2024,P10,P020020158,NA,P101,P01,P02,20
2024,P10,P020020158,NA,P101,P02,P02,1
2024,P10,P020020158,NA,P108,P01,P02,24
2024,P10,P020020158,NA,P201,P01,P02,3
2024,P10,P020020159,NA,P101,P01,P02,8
2024,P10,P020020159,NA,P101,P02,P02,5
2024,P10,P020020159,NA,P108,P01,P02,247
2024,P10,P020020159,NA,P108,P02,P02,20
2024,P10,P020020159,NA,P201,P01,P02,619
2024,P10,P020020159,NA,P201,P02,P02,71
2024,P10,P020020161,NA,P101,P01,P02,4
2024,P10,P020020161,NA,P101,P02,P02,13
2024,P10,P020020161,NA,P108,P01,P02,171
2024,P10,P020020161,NA,P108,P02,P02,9
2024,P10,P020020161,NA,P201,P01,P02,213
2024,P10,P020020161,NA,P201,P02,P02,37
