C601,C602,C103,R004-0501,R004-0502,R004-0503,
2024,P10,P01,"2,589,787.0","-2,603,285.0","68,846,881.0",
2024,P10,P02,"87,206.0","-24,487.0","5,209,637.0",
2024,P10,P03,"84,280.0","-108,711.0","10,138,887.0",
2024,P11,P01,"2,633,393.0","-2,464,930.0","69,015,344.0",
2024,P11,P02,"60,896.0","-14,945.0","5,255,588.0",
2024,P11,P03,"117,445.0","-120,280.0","10,136,052.0",
2024,P12,P01,"2,931,956.0","-2,784,672.0","69,162,628.0",
2024,P12,P02,"96,707.0","-16,077.0","5,336,218.0",
2024,P12,P03,"96,441.0","-117,947.0","10,114,546.0",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
