C601,C602,C005,C003,C006,C101,C102,C103,R001-0501
2024,P10,P01,NA,NA,NA,NA,P01,"2,859,578.00"
2024,P10,P01,NA,NA,NA,NA,P02,"764,283.00"
2024,P10,P02,NA,NA,NA,NA,P01,"3,596,645.00"
2024,P10,P02,NA,NA,NA,NA,P02,"1,039,333.00"
2024,P10,P03,NA,NA,NA,NA,P01,"3,923,499.00"
2024,P10,P03,NA,NA,NA,NA,P02,"929,050.00"
2024,P10,P04,NA,NA,NA,NA,P01,"6,824,650.00"
2024,P10,P04,NA,NA,NA,NA,P02,"1,909,366.00"
2024,P10,P05,NA,NA,NA,NA,P01,"8,955,931.00"
2024,P10,P05,NA,NA,NA,NA,P02,"1,773,441.00"
2024,P10,P06,NA,NA,NA,NA,P01,"7,399,122.00"
2024,P10,P06,NA,NA,NA,NA,P02,"1,337,954.00"
2024,P10,P07,NA,NA,NA,NA,P01,"12,106,967.00"
2024,P10,P07,NA,NA,NA,NA,P02,"1,609,863.00"
2024,P10,P08,NA,NA,NA,NA,P01,"7,069,508.00"
2024,P10,P08,NA,NA,NA,NA,P02,"1,132,748.00"
2024,P10,P09,NA,NA,NA,NA,P01,"16,110,981.00"
2024,P10,P09,NA,NA,NA,NA,P02,"4,852,486.00"
2024,P11,P01,NA,NA,NA,NA,P01,"2,863,586.00"
2024,P11,P01,NA,NA,NA,NA,P02,"768,294.00"
2024,P11,P02,NA,NA,NA,NA,P01,"3,598,434.00"
2024,P11,P02,NA,NA,NA,NA,P02,"1,041,604.00"
2024,P11,P03,NA,NA,NA,NA,P01,"3,939,651.00"
2024,P11,P03,NA,NA,NA,NA,P02,"930,692.00"
2024,P11,P04,NA,NA,NA,NA,P01,"6,840,617.00"
2024,P11,P04,NA,NA,NA,NA,P02,"1,918,339.00"
2024,P11,P05,NA,NA,NA,NA,P01,"8,976,234.00"
2024,P11,P05,NA,NA,NA,NA,P02,"1,777,995.00"
2024,P11,P06,NA,NA,NA,NA,P01,"7,418,311.00"
2024,P11,P06,NA,NA,NA,NA,P02,"1,341,135.00"
2024,P11,P07,NA,NA,NA,NA,P01,"12,127,875.00"
2024,P11,P07,NA,NA,NA,NA,P02,"1,611,292.00"
2024,P11,P08,NA,NA,NA,NA,P01,"7,070,967.00"
2024,P11,P08,NA,NA,NA,NA,P02,"1,133,372.00"
2024,P11,P09,NA,NA,NA,NA,P01,"16,179,669.00"
2024,P11,P09,NA,NA,NA,NA,P02,"4,868,917.00"
2024,P12,P01,NA,NA,NA,NA,P01,"2,877,841.00"
2024,P12,P01,NA,NA,NA,NA,P02,"774,674.00"
2024,P12,P02,NA,NA,NA,NA,P01,"3,619,492.00"
2024,P12,P02,NA,NA,NA,NA,P02,"1,048,598.00"
2024,P12,P03,NA,NA,NA,NA,P01,"3,965,411.00"
2024,P12,P03,NA,NA,NA,NA,P02,"935,694.00"
2024,P12,P04,NA,NA,NA,NA,P01,"6,870,873.00"
2024,P12,P04,NA,NA,NA,NA,P02,"1,930,807.00"
2024,P12,P05,NA,NA,NA,NA,P01,"9,006,506.00"
2024,P12,P05,NA,NA,NA,NA,P02,"1,787,065.00"
2024,P12,P06,NA,NA,NA,NA,P01,"7,431,361.00"
2024,P12,P06,NA,NA,NA,NA,P02,"1,345,989.00"
2024,P12,P07,NA,NA,NA,NA,P01,"12,113,866.00"
2024,P12,P07,NA,NA,NA,NA,P02,"1,611,444.00"
2024,P12,P08,NA,NA,NA,NA,P01,"7,038,311.00"
2024,P12,P08,NA,NA,NA,NA,P02,"1,134,691.00"
2024,P12,P09,NA,NA,NA,NA,P01,"16,238,967.00"
2024,P12,P09,NA,NA,NA,NA,P02,"4,881,802.00"
