C601,C602,C003,C006,C101,C102,C103,R001-0501
2024,P10,NA,33,P206,XXX,P01,317
2024,P10,NA,55,P206,XXX,P01,12
2024,P10,NA,56,P206,XXX,P01,577
2024,P10,NA,81,P206,XXX,P01,827
2024,P10,NA,220,P206,XXX,P01,756
2024,P10,NA,221,P206,XXX,P01,197
2024,P10,NA,229,P206,XXX,P01,103
2024,P10,NA,479,P206,XXX,P01,71
2024,P10,NA,657,P206,XXX,P01,101
2024,P10,NA,662,P206,XXX,P01,183
2024,P10,NA,663,P206,XXX,P01,37
2024,P10,NA,667,P206,XXX,P01,43
2024,P10,NA,668,P206,XXX,P01,15
2024,P10,NA,686,P206,XXX,P01,54
2024,P10,NA,961,P206,XXX,P01,236
2024,P10,NA,990,P206,XXX,P01,871
2024,P10,NA,993,P206,XXX,P01,42
2024,P10,NA,56,P111,XXX,P01,84
2024,P10,NA,220,P111,XXX,P01,43
2024,P11,NA,33,P206,XXX,P01,514
2024,P11,NA,55,P206,XXX,P01,10
2024,P11,NA,56,P206,XXX,P01,1247
2024,P11,NA,81,P206,XXX,P01,1586
2024,P11,NA,220,P206,XXX,P01,1034
2024,P11,NA,221,P206,XXX,P01,359
2024,P11,NA,229,P206,XXX,P01,131
2024,P11,NA,479,P206,XXX,P01,71
2024,P11,NA,657,P206,XXX,P01,142
2024,P11,NA,662,P206,XXX,P01,315
2024,P11,NA,663,P206,XXX,P01,50
2024,P11,NA,667,P206,XXX,P01,53
2024,P11,NA,668,P206,XXX,P01,70
2024,P11,NA,686,P206,XXX,P01,49
2024,P11,NA,961,P206,XXX,P01,363
2024,P11,NA,990,P206,XXX,P01,1535
2024,P11,NA,993,P206,XXX,P01,75
2024,P11,NA,56,P111,XXX,P01,136
2024,P12,NA,33,P206,XXX,P01,1210
2024,P12,NA,55,P206,XXX,P01,27
2024,P12,NA,56,P206,XXX,P01,1771
2024,P12,NA,81,P206,XXX,P01,2704
2024,P12,NA,220,P206,XXX,P01,2137
2024,P12,NA,221,P206,XXX,P01,606
2024,P12,NA,229,P206,XXX,P01,127
2024,P12,NA,479,P206,XXX,P01,123
