C601,C602,C306,C401,R025-0201,R025-0202,R025-0203,R025-0204
2024,P10,P02,P01,164801.2,0,0,0
2024,P10,P02,P02,4789439.3341916,0,0,0
2024,P10,P02,P03,120181.14,0,0,0
2024,P10,P02,P04,306078.09,0,0,0
2024,P10,P02,P05,431910.15,0,0,0
2024,P10,P02,P06,52295.7690586,0,0,0
2024,P10,P03,P02,4537,0,0,0
2024,P10,P03,P04,461943.73,0,0,0
2024,P10,P03,P05,1220432.14,0,0,0
2024,P10,P03,P06,4034235.5213342,0,0,0
2024,P11,P02,P01,168027.82,0,0,0
2024,P11,P02,P02,4937987.928532,0,0,0
2024,P11,P02,P03,39055.5,0,0,0
2024,P11,P02,P04,347809.34,0,0,0
2024,P11,P02,P05,98146.23,0,0,0
2024,P11,P02,P06,131343.766297,0,0,0
2024,P11,P03,P02,4537,0,0,0
2024,P11,P03,P04,442872.75,0,0,0
2024,P11,P03,P05,1147030.14,0,0,0
2024,P11,P03,P06,3403543.87656,0,0,0
2024,P12,P02,P01,157743.64,0,0,0
2024,P12,P02,P02,4704261.2785916,0,0,0
2024,P12,P02,P03,42839.5,0,0,0
2024,P12,P02,P04,284558.5,0,0,0
2024,P12,P02,P05,105641.75,0,0,0
2024,P12,P02,P06,190261.4473111,0,0,0
2024,P12,P03,P02,4537,0,0,0
2024,P12,P03,P04,432270.49,0,0,0
2024,P12,P03,P05,1188230.14,0,0,0
2024,P12,P03,P06,3775787.622528,0,0,0
