C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208
2024,P01,414.65,0,142651.57,NA,0,206340.72,NA,143502.94
2024,P02,414.65,0,101823.85,NA,0,252001.82,NA,106862.59
2024,P03,414.65,0,142354.49,NA,0,247258.08,NA,155764.77
2024,P04,414.65,0,122665.48,NA,0,260468.16,NA,83989.15
2024,P05,414.65,0,163085.96,NA,0,216377.26,NA,55496.98
2024,P06,414.65,0,160477.23,NA,0,306539.64,NA,277799.3
2024,P07,414.65,0,159433.84,NA,0,215572.09,NA,101041.87
2024,P08,414.65,0,159741.6,NA,0,312846.38,NA,79374.46
2024,P09,414.66,0,158165.8,NA,0,214650.33,NA,129059.84
2024,P10,414.65,0,158440.6,NA,0,303631.79,NA,65933.18
2024,P11,414.65,0,157342.01,NA,0,309821.23,NA,227965.5
2024,P12,414.65,0,157134.91,NA,0,394605.23,NA,225327.75
