C601,C602,C101,R002-0501
2024,P01,P108,482
2024,P02,P108,494
2024,P03,P108,466
2024,P04,P108,480
2024,P05,P108,497
2024,P06,P108,480
2024,P07,P108,488
2024,P08,P108,484
2024,P09,P108,491
2024,P10,P108,502
2024,P11,P108,517
2024,P12,P108,518
2024,P01,P114,1337
2024,P02,P114,1439
2024,P03,P114,1477
2024,P04,P114,1360
2024,P05,P114,1448
2024,P06,P114,1399
2024,P07,P114,1409
2024,P08,P114,1405
2024,P09,P114,1263
2024,P10,P114,1424
2024,P11,P114,1444
2024,P12,P114,1386
2024,P01,P207,3190
2024,P02,P207,3402
2024,P03,P207,3308
2024,P04,P207,3467
2024,P05,P207,3566
2024,P06,P207,3555
2024,P07,P207,3387
2024,P08,P207,3353
2024,P09,P207,3230
2024,P10,P207,3451
2024,P11,P207,3494
2024,P12,P207,3264
