C601,C602,C101,C102,C103,R004-0101
2024,P10,P108,P01,P01,74314
2024,P10,P108,P02,P02,210
2024,P10,P206,P01,P01,514604
2024,P10,P206,P02,P02,22604
2024,P10,P111,P01,P01,116347
2024,P10,P111,P02,P02,2811
2024,P11,P108,P01,P01,74953
2024,P11,P108,P02,P02,210
2024,P11,P206,P01,P01,525830
2024,P11,P206,P02,P02,22640
2024,P11,P111,P01,P01,117601
2024,P11,P111,P02,P02,2822
2024,P12,P108,P01,P01,75459
2024,P12,P108,P02,P02,210
2024,P12,P206,P01,P01,542893
2024,P12,P206,P02,P02,22682
2024,P12,P111,P01,P01,118858
2024,P12,P111,P02,P02,2836
