C601,C602,R002-0701,R002-0702,R002-0703,R002-0704,R002-0705,R002-0706,R002-0707,R002-0708,R002-0709,R002-0710,R002-0711,R002-0712
2024,P01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A," 1,700,369.29 "
2024,P02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A," 1,700,369.29 "
2024,P03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A," 1,700,369.29 "
2024,P04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A," 1,700,369.29 "
2024,P05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A," 1,700,369.29 "
2024,P06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A," 1,700,369.29 "
2024,P07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A," 1,700,369.29 "
2024,P08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A," 1,700,369.29 "
2024,P09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A," 1,700,369.29 "
2024,P10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A," 1,824,354.54 "
2024,P11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A," 1,824,354.54 "
2024,P12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A," 1,824,354.54 "
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
