C601,C602,C101,C102,R004-0201,R004-0202
2024,P10,P101,P02,NA,34016754
2024,P10,P108,P02,NA,316505597
2024,P10,P201,P02,NA,1411601
2024,P10,XXX,P02,NA,106018
2024,P10,XXX,XXX,NA,16919585
2024,P10,ZZZ,P02,NA,330683263
2024,P11,P101,P02,NA,33722252
2024,P11,P108,P02,NA,312977201
2024,P11,P201,P02,NA,1414510
2024,P11,XXX,P02,NA,104735
2024,P11,XXX,XXX,NA,17415772
2024,P11,ZZZ,P02,NA,348569662
2024,P12,P101,P02,NA,32334151
2024,P12,P108,P02,NA,312798390
2024,P12,P201,P02,NA,1419904
2024,P12,XXX,P02,NA,103513
2024,P12,XXX,XXX,NA,17874178
2024,P12,ZZZ,P02,NA,338127322
