C601,C602,C101,C102,C106,R004-0301,R004-0302
2024,P10,P101,P02,P01,268601,2401
2024,P10,P101,P02,P02,1771585,6382
2024,P10,P101,P02,P03,889895,1301
2024,P10,P101,P02,P04,3395001,2259
2024,P10,P101,P02,P05,6288170,2246
2024,P10,P101,P02,P06,8641031,1411
2024,P10,P101,P02,P07,5767519,374
2024,P10,P101,P02,P08,6994954,92
2024,P11,P101,P02,P01,268513,2399
2024,P11,P101,P02,P02,1751032,6312
2024,P11,P101,P02,P03,879746,1285
2024,P11,P101,P02,P04,3426270,2279
2024,P11,P101,P02,P05,6166521,2203
2024,P11,P101,P02,P06,8465263,1380
2024,P11,P101,P02,P07,5706672,368
2024,P11,P101,P02,P08,7058235,90
2024,P12,P101,P02,P01,265131,2342
2024,P12,P101,P02,P02,1719718,6198
2024,P12,P101,P02,P03,868155,1268
2024,P12,P101,P02,P04,3396837,2263
2024,P12,P101,P02,P05,6097305,2180
2024,P12,P101,P02,P06,8288341,1350
2024,P12,P101,P02,P07,5630055,360
2024,P12,P101,P02,P08,6068609,82
2024,P10,P108,P02,P01,1118,12
2024,P10,P108,P02,P02,238263,503
2024,P10,P108,P02,P03,38491,48
2024,P10,P108,P02,P04,205977,132
2024,P10,P108,P02,P05,1359810,433
2024,P10,P108,P02,P06,64169834,8937
2024,P10,P108,P02,P07,167649874,9975
2024,P10,P108,P02,P08,82842230,1445
2024,P11,P108,P02,P01,1118,13
2024,P11,P108,P02,P02,241914,511
2024,P11,P108,P02,P03,32884,42
2024,P11,P108,P02,P04,204047,131
2024,P11,P108,P02,P05,1443907,459
2024,P11,P108,P02,P06,65192669,9121
2024,P11,P108,P02,P07,167856316,9973
2024,P11,P108,P02,P08,78004346,1355
2024,P12,P108,P02,P01,1293,14
2024,P12,P108,P02,P02,241393,509
2024,P12,P108,P02,P03,35084,45
2024,P12,P108,P02,P04,211922,135
2024,P12,P108,P02,P05,1427627,449
2024,P12,P108,P02,P06,66255474,9266
2024,P12,P108,P02,P07,167194768,9938
2024,P12,P108,P02,P08,77430829,1326
2024,P10,P201,P02,P01,0,17
2024,P10,P201,P02,P04,15577,10
2024,P10,P201,P02,P05,53151,17
2024,P10,P201,P02,P06,148242,20
2024,P10,P201,P02,P07,261799,15
2024,P10,P201,P02,P08,932831,11
2024,P11,P201,P02,P01,0,11
2024,P11,P201,P02,P04,15577,10
2024,P11,P201,P02,P05,53226,17
2024,P11,P201,P02,P06,140872,19
2024,P11,P201,P02,P07,264418,15
2024,P11,P201,P02,P08,940416,11
2024,P12,P201,P02,P01,0,18
2024,P12,P201,P02,P04,15577,10
2024,P12,P201,P02,P05,53265,17
2024,P12,P201,P02,P06,140926,19
2024,P12,P201,P02,P07,265779,15
2024,P12,P201,P02,P08,944357,11
2024,P10,XXX,P02,P01,1242,10
2024,P10,XXX,P02,P02,48627,144
2024,P10,XXX,P02,P03,121720,154
2024,P10,XXX,P02,P04,192298,138
2024,P10,XXX,P02,P05,944874,351
2024,P10,XXX,P02,P06,1142740,176
2024,P10,XXX,P02,P07,1990189,116
2024,P10,XXX,P02,P08,12583912,86
2024,P11,XXX,P02,P01,1173,9
2024,P11,XXX,P02,P02,47414,141
2024,P11,XXX,P02,P03,121836,155
2024,P11,XXX,P02,P04,203433,144
2024,P11,XXX,P02,P05,944554,350
2024,P11,XXX,P02,P06,1177573,180
2024,P11,XXX,P02,P07,1880876,110
2024,P11,XXX,P02,P08,13143648,90
2024,P12,XXX,P02,P01,1173,9
2024,P12,XXX,P02,P02,46191,137
2024,P12,XXX,P02,P03,124276,158
2024,P12,XXX,P02,P04,201967,143
2024,P12,XXX,P02,P05,963048,356
2024,P12,XXX,P02,P06,1172446,179
2024,P12,XXX,P02,P07,1928595,111
2024,P12,XXX,P02,P08,13539994,90
2024,P10,ZZZ,P02,P01,417733,3843
2024,P10,ZZZ,P02,P02,1237998,3431
2024,P10,ZZZ,P02,P03,7668635,9902
2024,P10,ZZZ,P02,P04,20750085,15066
2024,P10,ZZZ,P02,P05,21298027,7921
2024,P10,ZZZ,P02,P06,39065976,6004
2024,P10,ZZZ,P02,P07,78432573,4730
2024,P10,ZZZ,P02,P08,161812235,1381
2024,P11,ZZZ,P02,P01,418106,3782
2024,P11,ZZZ,P02,P02,1229150,3423
2024,P11,ZZZ,P02,P03,7729035,9943
2024,P11,ZZZ,P02,P04,21072178,15287
2024,P11,ZZZ,P02,P05,20895554,7761
2024,P11,ZZZ,P02,P06,39515268,6076
2024,P11,ZZZ,P02,P07,75913057,4626
2024,P11,ZZZ,P02,P08,181797315,1437
2024,P12,ZZZ,P02,P01,417867,3675
2024,P12,ZZZ,P02,P02,1376763,3763
2024,P12,ZZZ,P02,P03,7803271,10035
2024,P12,ZZZ,P02,P04,20959946,15184
2024,P12,ZZZ,P02,P05,21166854,7870
2024,P12,ZZZ,P02,P06,39304519,6033
2024,P12,ZZZ,P02,P07,77477344,4681
2024,P12,ZZZ,P02,P08,169620757,1391
