C601,C602,R004-0801,R004-0802,R004-0803
2023,P10,171558,7663968.48,13712
2023,P10,212417,15120883.2,9049
2023,P10,244661,32727.01,11
2023,P10,244689,17298805.7,5707
2023,P10,244795,1231826.73,179
2023,P10,244923,7842491.36,15917
2023,P10,252076,426176.24,18
2023,P10,300019,18623469.2,1078
2023,P10,300649,315579.44,76
2023,P10,307055,10456734.5,6350
2023,P10,358615,29754.68,684
2023,P10,360879,22205.72,10
2023,P10,360885,2055857.59,1574
2023,P10,361194,4146337.73,883
2023,P10,361197,1778233.91,217
2023,P10,364478,30532431.8,10077
2023,P10,364479,63265500.1,7737
2023,P10,371552,214041054,24021
2023,P10,371553,38303969.8,5516
2023,P10,408878,5692885.76,944
2023,P10,458231,76382.69,31
2023,P10,461055,462329.85,416
2023,P10,524426,4467.71,4
2023,P10,543792,64.76,1
2023,P10,580327,0,0
2023,P10,587462,0,0
2023,P11,171558,7827174.86,13642
2023,P11,212417,15713721.6,7767
2023,P11,244661,32727.01,11
2023,P11,244689,17292727.7,5620
2023,P11,244795,1228024.22,177
2023,P11,244923,8236965.05,15926
2023,P11,252076,405538.86,18
2023,P11,300019,18449418.5,1086
2023,P11,300649,304642.16,77
2023,P11,307055,10274627.7,6258
2023,P11,358615,29607.76,684
2023,P11,360879,22205.72,10
2023,P11,360885,2038860.29,1563
2023,P11,361194,4109746.46,891
2023,P11,361197,1705850.02,234
2023,P11,364478,31589557.8,9605
2023,P11,364479,62886638.3,7659
2023,P11,371552,217398352,24511
2023,P11,371553,38077819,5570
2023,P11,408878,5488207.26,968
2023,P11,458231,88505.89,33
2023,P11,461055,500320.64,435
2023,P11,524426,6759.19,5
2023,P11,543792,23.54,2
2023,P11,580327,0,0
2023,P11,587462,39809.5,9
2023,P12,171558,7527357.18,13381
2023,P12,212417,13086872.8,7533
2023,P12,244661,32727.01,11
2023,P12,244689,16482097.9,5457
2023,P12,244795,1227094.98,175
2023,P12,244923,8686759.49,15817
2023,P12,252076,405538.86,18
2023,P12,300019,18601638.8,1096
2023,P12,300649,243764.49,74
2023,P12,307055,10235198.3,6141
2023,P12,358615,30358.37,681
2023,P12,360879,22205.72,10
2023,P12,360885,2039626.55,1565
2023,P12,361194,4062830.22,899
2023,P12,361197,1542953.91,238
2023,P12,364478,29579340.6,9959
2023,P12,364479,62033983.6,7633
2023,P12,371552,218171489,24728
2023,P12,371553,38005789.9,5606
2023,P12,408878,6270851.46,1082
2023,P12,458231,85340.25,33
2023,P12,461055,580441.58,449
2023,P12,524426,5671.71,5
2023,P12,543792,37.09,3
2023,P12,580327,0,0
2023,P12,587462,26454.17,6
