C601,C602,R019-0101,R019-0102,R019-0103,R019-0104,R019-0105,R019-0106
2024,P10,PEGASO PCS,NA,NA,NA,NA,1139334.76
2024,P11,PEGASO PCS,NA,NA,NA,NA,1232051.64
2024,P12,PEGASO PCS,NA,NA,NA,NA,1045219.02
2024,P10,LEVEL SMS S.A. de C.V.,NA,NA,NA,NA,1665837.09
2024,P11,LEVEL SMS S.A. de C.V.,NA,NA,NA,NA,1461309.47
2024,P12,LEVEL SMS S.A. de C.V.,NA,NA,NA,NA,1758385.77
2024,P10,MOBILE SERVICES CLOUD,NA,NA,NA,NA,1758385.77
2024,P11,MOBILE SERVICES CLOUD,NA,NA,NA,NA,72124.2
2024,P12,MOBILE SERVICES CLOUD,NA,NA,NA,NA,402406
2024,P10,Tecnologías Romber S.A. de C.V.,NA,NA,NA,NA,366497.29
2024,P11,Tecnologías Romber S.A. de C.V.,NA,NA,NA,NA,344650.66
2024,P12,Tecnologías Romber S.A. de C.V.,NA,NA,NA,NA,265864.02
2024,P12,SINCH MEXICO,NA,NA,NA,NA,203771.37
