C601,C602,R002-0101,R002-0102,R002-0103,R002-0104,R002-0105,R002-0106,R002-0107,R002-0108,R002-0109,,,,
2024,1,N/A,N/A,"$132,875.53",N/A,N/A,N/A,N/A,N/A,N/A,,,,
2024,2,N/A,N/A,"$136,985.08",N/A,N/A,N/A,N/A,N/A,N/A,,,,
2024,3,N/A,N/A,"$141,094.64",N/A,N/A,N/A,N/A,N/A,N/A,,,,
2024,4,N/A,N/A,"$140,476.00",N/A,N/A,N/A,N/A,N/A,N/A,,,,
2024,5,N/A,N/A,"$132,293.53",N/A,N/A,N/A,N/A,N/A,N/A,,,,
2024,6,N/A,N/A,"$136,385.09",N/A,N/A,N/A,N/A,N/A,N/A,,,,
2024,7,N/A,N/A,"$133,457.53",N/A,N/A,N/A,N/A,N/A,N/A,,,,
2024,8,N/A,N/A,"$137,585.83",N/A,N/A,N/A,N/A,N/A,N/A,,,,
2024,9,N/A,N/A,"$141,712.63",N/A,N/A,N/A,N/A,N/A,N/A,,,,
2024,10,N/A,N/A,"$136,985.38",N/A,N/A,N/A,N/A,N/A,N/A,,,,
2024,11,N/A,N/A,"$135,615.24",N/A,N/A,N/A,N/A,N/A,N/A,,,,
2024,12,N/A,N/A,"$138,354.94",N/A,N/A,N/A,N/A,N/A,N/A,,,,
