C601,C602,R002-0301,R002-0302,,,,,,,,,,,
2024,1,-35645.46,-28516.368,,,,,,,,,,,
2024,2,-31669.97,-25335.976,,,,,,,,,,,
2024,3,-27493.39,-21994.712,,,,,,,,,,,
2024,4,-39138.09,-31310.472,,,,,,,,,,,
2024,5,-47175.35,-37740.28,,,,,,,,,,,
2024,6,-42938.57,-34350.856,,,,,,,,,,,
2024,7,-25282.06,-20225.648,,,,,,,,,,,
2024,8,-21178.43,-16942.744,,,,,,,,,,,
2024,9,-17014.62,-13611.696,,,,,,,,,,,
2024,10,-58263.62,-46610.896,,,,,,,,,,,
2024,11,-59227.24,-47381.792,,,,,,,,,,,
2024,12,-54585.01,-43668.008,,,,,,,,,,,
