C601,C602,C101,C102,C103,R004-0101
2024,P07,P101,P02,P02,165
2024,P07,P108,P02,P02,10494
2024,P07,P115,P02,P02,62
2024,P07,P201,P01,P02,2299787
2024,P07,P201,P02,P02,219528
2024,P07,P207,P01,P02,44574
2024,P07,P301,P01,P02,2435993
2024,P07,P301,P02,P02,50797
2024,P08,P101,P02,P02,173
2024,P08,P108,P02,P02,11085
2024,P08,P115,P02,P02,54
2024,P08,P201,P01,P02,2346529
2024,P08,P201,P02,P02,223426
2024,P08,P207,P01,P02,43012
2024,P08,P301,P01,P02,2431696
2024,P08,P301,P02,P02,51471
2024,P09,P101,P02,P02,173
2024,P09,P108,P02,P02,11150
2024,P09,P115,P02,P02,52
2024,P09,P201,P01,P02,2384516
2024,P09,P201,P02,P02,225361
2024,P09,P207,P01,P02,41735
2024,P09,P301,P01,P02,2431692
2024,P09,P301,P02,P02,52014
