C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208
2024,P01,0,NA,836579,NA,0,297014,NA,1540715
2024,P02,3620.69,NA,810296,NA,0,440662,NA,444204
2024,P03,900,NA,954481,NA,0,392650,NA,736858
2024,P04,0,NA,1187980,NA,0,543630,NA,609275
2024,P05,2724.14,NA,842645,NA,0,356485,NA,489752
2024,P06,0,NA,835171,NA,0,556866,NA,429644
2024,P07,0,NA,679551,NA,0,350362,NA,648204
2024,P08,0,NA,1064833,NA,0,431361,NA,468370
2024,P09,3900,NA,858755,NA,0,353514,NA,464935
2024,P10,0,NA,843981,NA,0,421053,NA,481394
2024,P11,0,NA,997001,NA,0,660918,NA,553955
2024,P12,0,NA,1083693,NA,0,441549,NA,558382
